VC:cf32204 BD:May 26 2016 SN:US4300161200001274
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  26/02/2024 09:37:07.913,   1.818678e+00,   0.000000e+00,   3.629161e+04,   0.000000e+00,   4.450382e+02,   0.000000e+00,   1.887166e+00,   0.000000e+00,   4.617976e+02,   0.000000e+00,   1.400727e+02,   0.000000e+00,   2.709618e+01,   0.000000e+00,   2.820023e+01,   0.000000e+00,   7.562440e+00,   0.000000e+00,   9.299585e+00,   0.000000e+00,              3,              0,       1 meters
  26/02/2024 09:37:08.890,   1.819176e+00,   0.000000e+00,   3.623242e+04,   0.000000e+00,   4.409190e+02,   0.000000e+00,   1.887567e+00,   0.000000e+00,   4.574952e+02,   0.000000e+00,   1.400730e+02,   0.000000e+00,   2.709703e+01,   0.000000e+00,   2.820661e+01,   0.000000e+00,   7.564709e+00,   0.000000e+00,   9.302459e+00,   0.000000e+00,              3,              0,       1 meters
  26/02/2024 09:37:09.866,   1.819496e+00,   0.000000e+00,   3.609223e+04,   0.000000e+00,   4.378632e+02,   0.000000e+00,   1.887624e+00,   0.000000e+00,   4.542584e+02,   0.000000e+00,   1.400988e+02,   0.000000e+00,   2.709770e+01,   0.000000e+00,   2.821129e+01,   0.000000e+00,   7.561864e+00,   0.000000e+00,   9.298418e+00,   0.000000e+00,              3,              0,       1 meters
  26/02/2024 09:37:10.844,   1.818761e+00,   0.000000e+00,   3.606645e+04,   0.000000e+00,   4.356983e+02,   0.000000e+00,   1.886812e+00,   0.000000e+00,   4.520003e+02,   0.000000e+00,   1.400699e+02,   0.000000e+00,   2.709892e+01,   0.000000e+00,   2.821962e+01,   0.000000e+00,   7.562158e+00,   0.000000e+00,   9.296919e+00,   0.000000e+00,              3,              0,       1 meters
  26/02/2024 09:37:11.820,   1.821980e+00,   0.000000e+00,   3.605604e+04,   0.000000e+00,   4.354968e+02,   0.000000e+00,   1.890131e+00,   0.000000e+00,   4.517864e+02,   0.000000e+00,   1.400696e+02,   0.000000e+00,   2.709976e+01,   0.000000e+00,   2.822530e+01,   0.000000e+00,   7.557316e+00,   0.000000e+00,   9.304318e+00,   0.000000e+00,              3,              0,       1 meters
  26/02/2024 09:37:12.797,   1.820700e+00,   0.000000e+00,   3.602975e+04,   0.000000e+00,   4.377126e+02,   0.000000e+00,   1.888752e+00,   0.000000e+00,   4.540727e+02,   0.000000e+00,   1.400626e+02,   0.000000e+00,   2.710058e+01,   0.000000e+00,   2.823311e+01,   0.000000e+00,   7.566271e+00,   0.000000e+00,   9.304184e+00,   0.000000e+00,              3,              0,       1 meters
  26/02/2024 09:37:13.776,   1.818619e+00,   0.000000e+00,   3.614551e+04,   0.000000e+00,   4.408531e+02,   0.000000e+00,   1.886819e+00,   0.000000e+00,   4.573855e+02,   0.000000e+00,   1.400683e+02,   0.000000e+00,   2.710173e+01,   0.000000e+00,   2.823872e+01,   0.000000e+00,   7.560891e+00,   0.000000e+00,   9.301387e+00,   0.000000e+00,              3,              0,       1 meters
  26/02/2024 09:37:14.751,   1.820002e+00,   0.000000e+00,   3.615463e+04,   0.000000e+00,   4.437308e+02,   0.000000e+00,   1.888272e+00,   0.000000e+00,   4.603755e+02,   0.000000e+00,   1.400467e+02,   0.000000e+00,   2.710253e+01,   0.000000e+00,   2.824473e+01,   0.000000e+00,   7.560792e+00,   0.000000e+00,   9.298356e+00,   0.000000e+00,              3,              0,       1 meters
  26/02/2024 09:37:15.728,   1.819580e+00,   0.000000e+00,   3.627014e+04,   0.000000e+00,   4.463019e+02,   0.000000e+00,   1.888061e+00,   0.000000e+00,   4.630986e+02,   0.000000e+00,   1.400457e+02,   0.000000e+00,   2.710298e+01,   0.000000e+00,   2.825004e+01,   0.000000e+00,   7.563378e+00,   0.000000e+00,   9.299268e+00,   0.000000e+00,              3,              0,       1 meters
  26/02/2024 09:37:16.706,   1.819506e+00,   0.000000e+00,   3.633851e+04,   0.000000e+00,   4.469430e+02,   0.000000e+00,   1.888118e+00,   0.000000e+00,   4.637967e+02,   0.000000e+00,   1.400681e+02,   0.000000e+00,   2.710387e+01,   0.000000e+00,   2.825356e+01,   0.000000e+00,   7.559722e+00,   0.000000e+00,   9.301204e+00,   0.000000e+00,              3,              0,       1 meters
