VC:cf32204 BD:May 26 2016 SN:US4300161200001274
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  01/01/2002 10:03:21.658,   1.833058e+00,   0.000000e+00,   2.624919e+04,   0.000000e+00,   4.392008e+02,   0.000000e+00,   1.882471e+00,   0.000000e+00,   4.510403e+02,   0.000000e+00,   1.403631e+02,   0.000000e+00,   3.475278e+01,   0.000000e+00,   3.435580e+01,   0.000000e+00,   7.668050e+00,   0.000000e+00,   9.523946e+00,   0.000000e+00,              3,              0,       1 meters
  01/01/2002 10:03:22.633,   1.828641e+00,   0.000000e+00,   2.615240e+04,   0.000000e+00,   4.397478e+02,   0.000000e+00,   1.877749e+00,   0.000000e+00,   4.515571e+02,   0.000000e+00,   1.404261e+02,   0.000000e+00,   3.475175e+01,   0.000000e+00,   3.435483e+01,   0.000000e+00,   7.675194e+00,   0.000000e+00,   9.532408e+00,   0.000000e+00,              3,              0,       1 meters
  01/01/2002 10:03:23.610,   1.823305e+00,   0.000000e+00,   2.605766e+04,   0.000000e+00,   4.410357e+02,   0.000000e+00,   1.872087e+00,   0.000000e+00,   4.528356e+02,   0.000000e+00,   1.404359e+02,   0.000000e+00,   3.474993e+01,   0.000000e+00,   3.435838e+01,   0.000000e+00,   7.676148e+00,   0.000000e+00,   9.529496e+00,   0.000000e+00,              3,              0,       1 meters
  01/01/2002 10:03:24.587,   1.823787e+00,   0.000000e+00,   2.585797e+04,   0.000000e+00,   4.421087e+02,   0.000000e+00,   1.872198e+00,   0.000000e+00,   4.538442e+02,   0.000000e+00,   1.403794e+02,   0.000000e+00,   3.474954e+01,   0.000000e+00,   3.436100e+01,   0.000000e+00,   7.676672e+00,   0.000000e+00,   9.524520e+00,   0.000000e+00,              3,              0,       1 meters
  01/01/2002 10:03:25.563,   1.824755e+00,   0.000000e+00,   2.593801e+04,   0.000000e+00,   4.435467e+02,   0.000000e+00,   1.873346e+00,   0.000000e+00,   4.553577e+02,   0.000000e+00,   1.403386e+02,   0.000000e+00,   3.474893e+01,   0.000000e+00,   3.436206e+01,   0.000000e+00,   7.674527e+00,   0.000000e+00,   9.526892e+00,   0.000000e+00,              3,              0,       1 meters
  01/01/2002 10:03:26.540,   1.820637e+00,   0.000000e+00,   2.586228e+04,   0.000000e+00,   4.455561e+02,   0.000000e+00,   1.868973e+00,   0.000000e+00,   4.573852e+02,   0.000000e+00,   1.403831e+02,   0.000000e+00,   3.474775e+01,   0.000000e+00,   3.436029e+01,   0.000000e+00,   7.680595e+00,   0.000000e+00,   9.528884e+00,   0.000000e+00,              3,              0,       1 meters
  01/01/2002 10:03:27.516,   1.819211e+00,   0.000000e+00,   2.581072e+04,   0.000000e+00,   4.445854e+02,   0.000000e+00,   1.867411e+00,   0.000000e+00,   4.563645e+02,   0.000000e+00,   1.404430e+02,   0.000000e+00,   3.474621e+01,   0.000000e+00,   3.435943e+01,   0.000000e+00,   7.676152e+00,   0.000000e+00,   9.533955e+00,   0.000000e+00,              3,              0,       1 meters
  01/01/2002 10:03:28.493,   1.816988e+00,   0.000000e+00,   2.581954e+04,   0.000000e+00,   4.431521e+02,   0.000000e+00,   1.865145e+00,   0.000000e+00,   4.548974e+02,   0.000000e+00,   1.404109e+02,   0.000000e+00,   3.474502e+01,   0.000000e+00,   3.435994e+01,   0.000000e+00,   7.677770e+00,   0.000000e+00,   9.519249e+00,   0.000000e+00,              3,              0,       1 meters
  01/01/2002 10:03:29.476,   1.820132e+00,   0.000000e+00,   2.572585e+04,   0.000000e+00,   4.402362e+02,   0.000000e+00,   1.868193e+00,   0.000000e+00,   4.518607e+02,   0.000000e+00,   1.403665e+02,   0.000000e+00,   3.474446e+01,   0.000000e+00,   3.436258e+01,   0.000000e+00,   7.678162e+00,   0.000000e+00,   9.520206e+00,   0.000000e+00,              3,              0,       1 meters
  01/01/2002 10:03:30.453,   1.819187e+00,   0.000000e+00,   2.565959e+04,   0.000000e+00,   4.374471e+02,   0.000000e+00,   1.867096e+00,   0.000000e+00,   4.489674e+02,   0.000000e+00,   1.403516e+02,   0.000000e+00,   3.474329e+01,   0.000000e+00,   3.436531e+01,   0.000000e+00,   7.677347e+00,   0.000000e+00,   9.529080e+00,   0.000000e+00,              3,              0,       1 meters
