sample ,flux_source,position,flux_start,measurement_day_actual,tag,t0,t1,t2,t3,file,directon,chamber,chamber_SA_cm2,soil_moisture,notes
MD15,m,mid,12:02:15,11/14/2022,1,39.1,38.7,38.8,,f0000,N,sm,47.78,,
MD15,m,low,12:05:10,11/14/2022,2,40.1,41,41.6,,f0000,E,sm,47.78,,
MD15,m,mid,12:07:55,11/14/2022,3,40.7,39.2,38.9,,f0000,S,sm,47.78,,
MD15,m,low,12:10:40,11/14/2022,4,40.2,40.4,40.2,,f0000,W,sm,47.78,,
MD15,s,0,12:13:45,11/14/2022,5,48.9,49.7,49,,f0000,N,lg,183.85,,
MD15,s,1,12:16:45,11/14/2022,6,50.6,51.9,50.3,,f0000,N,lg,183.85,,
MD15,s,2,12:19:20,11/14/2022,7,47.9,50,49.3,,f0000,N,lg,183.85,,
MD35,m,mid,13:32:15,11/14/2022,1,39.7,39.7,39.3,,f0001,N,med,83.32,,Extender
MD35,m,low,13:34:55,11/14/2022,2,39.5,38.2,37.4,,f0001,E,med,83.32,,Extender
MD35,m,mid,13:37:35,11/14/2022,3,37.7,38.4,38.4,,f0001,S,med,83.32,,Extender
MD35,m,low,13:40:15,11/14/2022,4,38,39.6,39.9,,f0001,W,med,83.32,,Extender
MD35,m,top,13:45:45,11/14/2022,5,38.7,38.8,38.4,,f0001,,med,83.32,,Extender
MD35,s,2,13:49:00,11/14/2022,6,42.8,49.2,48.8,,f0001,N,lg,183.85,,Extender
MD11,m,mid,14:31:00,11/14/2022,1,42,42,41.7,,f0003,N,med,83.32,,Extender
MD11,m,low,14:33:55,11/14/2022,2,38.6,39.9,40,,f0003,E,med,83.32,,Extender
MD11,m,mid,14:36:50,11/14/2022,3,39.3,38.6,37.7,,f0003,S,med,83.32,,Extender
MD11,m,low,14:39:35,11/14/2022,4,37.6,37.8,37.7,,f0003,W,med,83.32,,Extender
MD11,m,top,14:42:35,11/14/2022,5,39.8,41.3,41.8,,f0003,,med,83.32,,Extender
MD11,s,2,14:45:35,11/14/2022,6,40.9,40.1,40.1,,f0003,N,lg,183.85,,Extender
MD10,m,mid,14:57:15,11/14/2022,1,38.8,37.7,37.4,,f0004,N,sm,47.78,,
MD10,m,low,14:59:45,11/14/2022,2,38.2,40,40.4,,f0004,E,sm,47.78,,
MD10,m,mid,15:02:30,11/14/2022,3,39.2,38.8,39,,f0004,S,sm,47.78,,
MD10,m,low,15:05:10,11/14/2022,4,41.5,41.6,41.5,,f0004,W,sm,47.78,,
MD10,s,2,15:08:30,11/14/2022,5,45.4,49.3,49.1,,f0004,N,lg,183.85,,
MD2,m,mid,15:34:15,11/14/2022,1,42.2,43.8,43.8,,f0005,N,med,83.32,,
MD2,m,low,15:37:00,11/14/2022,2,42.4,42,40.7,,f0005,E,med,83.32,,
