VC:cf32204 BD:May 26 2016 SN:US4300161200001274
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  08/03/2024 10:12:28.878,   1.840956e+00,   0.000000e+00,   1.600714e+04,   0.000000e+00,   4.994927e+02,   0.000000e+00,   1.870904e+00,   0.000000e+00,   5.076182e+02,   0.000000e+00,   1.400948e+02,   0.000000e+00,   2.602101e+01,   0.000000e+00,   2.743347e+01,   0.000000e+00,   7.545573e+00,   0.000000e+00,   9.754399e+00,   0.000000e+00,              3,              0,       1 meters
  08/03/2024 10:12:29.854,   1.837096e+00,   0.000000e+00,   1.607106e+04,   0.000000e+00,   4.984589e+02,   0.000000e+00,   1.867102e+00,   0.000000e+00,   5.066005e+02,   0.000000e+00,   1.400835e+02,   0.000000e+00,   2.602103e+01,   0.000000e+00,   2.743734e+01,   0.000000e+00,   7.546767e+00,   0.000000e+00,   9.760789e+00,   0.000000e+00,              3,              0,       1 meters
  08/03/2024 10:12:30.831,   1.835481e+00,   0.000000e+00,   1.606182e+04,   0.000000e+00,   4.982247e+02,   0.000000e+00,   1.865443e+00,   0.000000e+00,   5.063577e+02,   0.000000e+00,   1.401143e+02,   0.000000e+00,   2.602149e+01,   0.000000e+00,   2.743843e+01,   0.000000e+00,   7.549202e+00,   0.000000e+00,   9.757188e+00,   0.000000e+00,              3,              0,       1 meters
  08/03/2024 10:12:31.807,   1.842230e+00,   0.000000e+00,   1.613571e+04,   0.000000e+00,   4.975697e+02,   0.000000e+00,   1.872443e+00,   0.000000e+00,   5.057300e+02,   0.000000e+00,   1.400956e+02,   0.000000e+00,   2.602173e+01,   0.000000e+00,   2.744223e+01,   0.000000e+00,   7.544654e+00,   0.000000e+00,   9.762570e+00,   0.000000e+00,              3,              0,       1 meters
  08/03/2024 10:12:32.784,   1.837669e+00,   0.000000e+00,   1.599119e+04,   0.000000e+00,   4.973781e+02,   0.000000e+00,   1.867533e+00,   0.000000e+00,   5.054610e+02,   0.000000e+00,   1.400861e+02,   0.000000e+00,   2.602193e+01,   0.000000e+00,   2.744478e+01,   0.000000e+00,   7.550111e+00,   0.000000e+00,   9.762373e+00,   0.000000e+00,              3,              0,       1 meters
  08/03/2024 10:12:33.761,   1.838348e+00,   0.000000e+00,   1.599609e+04,   0.000000e+00,   4.970177e+02,   0.000000e+00,   1.868232e+00,   0.000000e+00,   5.050972e+02,   0.000000e+00,   1.401082e+02,   0.000000e+00,   2.602211e+01,   0.000000e+00,   2.744539e+01,   0.000000e+00,   7.547849e+00,   0.000000e+00,   9.755572e+00,   0.000000e+00,              3,              0,       1 meters
  08/03/2024 10:12:34.738,   1.838828e+00,   0.000000e+00,   1.598679e+04,   0.000000e+00,   4.973364e+02,   0.000000e+00,   1.868703e+00,   0.000000e+00,   5.054164e+02,   0.000000e+00,   1.400923e+02,   0.000000e+00,   2.602241e+01,   0.000000e+00,   2.744812e+01,   0.000000e+00,   7.546429e+00,   0.000000e+00,   9.754873e+00,   0.000000e+00,              3,              0,       1 meters
  08/03/2024 10:12:35.715,   1.841758e+00,   0.000000e+00,   1.591623e+04,   0.000000e+00,   4.966533e+02,   0.000000e+00,   1.871546e+00,   0.000000e+00,   5.046860e+02,   0.000000e+00,   1.400854e+02,   0.000000e+00,   2.602277e+01,   0.000000e+00,   2.745065e+01,   0.000000e+00,   7.547426e+00,   0.000000e+00,   9.763462e+00,   0.000000e+00,              3,              0,       1 meters
  08/03/2024 10:12:36.692,   1.838043e+00,   0.000000e+00,   1.588182e+04,   0.000000e+00,   4.963812e+02,   0.000000e+00,   1.867705e+00,   0.000000e+00,   5.043918e+02,   0.000000e+00,   1.401001e+02,   0.000000e+00,   2.602280e+01,   0.000000e+00,   2.745199e+01,   0.000000e+00,   7.549843e+00,   0.000000e+00,   9.757379e+00,   0.000000e+00,              3,              0,       1 meters
  08/03/2024 10:12:37.669,   1.837610e+00,   0.000000e+00,   1.601473e+04,   0.000000e+00,   4.962341e+02,   0.000000e+00,   1.867517e+00,   0.000000e+00,   5.043105e+02,   0.000000e+00,   1.400883e+02,   0.000000e+00,   2.602302e+01,   0.000000e+00,   2.745780e+01,   0.000000e+00,   7.552879e+00,   0.000000e+00,   9.761131e+00,   0.000000e+00,              3,              0,       1 meters
  08/03/2024 10:12:38.645,   1.837917e+00,   0.000000e+00,   1.588303e+04,   0.000000e+00,   4.969958e+02,   0.000000e+00,   1.867580e+00,   0.000000e+00,   5.050170e+02,   0.000000e+00,   1.400851e+02,   0.000000e+00,   2.602378e+01,   0.000000e+00,   2.746112e+01,   0.000000e+00,   7.549732e+00,   0.000000e+00,   9.756378e+00,   0.000000e+00,              3,              0,       1 meters
