id,year,month,day,hour,minute,second,Etime,Tcham
0,2024,3,6,11,4,42,-60,24.01
1,2024,3,6,11,4,43,-59,24.09
2,2024,3,6,11,4,44,-58,24.09
3,2024,3,6,11,4,45,-57,24.01
4,2024,3,6,11,4,46,-56,24.09
5,2024,3,6,11,4,47,-55,24.09
6,2024,3,6,11,4,48,-54,24.09
7,2024,3,6,11,4,49,-53,24.09
8,2024,3,6,11,4,50,-52,24.09
9,2024,3,6,11,4,51,-51,24.09
10,2024,3,6,11,4,52,-50,24.09
11,2024,3,6,11,4,53,-49,24.09
12,2024,3,6,11,4,54,-48,24.09
13,2024,3,6,11,4,55,-47,24.09
14,2024,3,6,11,4,57,-46,24.01
15,2024,3,6,11,4,58,-45,24.09
16,2024,3,6,11,4,59,-44,24.09
17,2024,3,6,11,5,0,-43,24.09
18,2024,3,6,11,5,1,-42,24.09
19,2024,3,6,11,5,2,-41,24.09
20,2024,3,6,11,5,3,-40,24.09
21,2024,3,6,11,5,4,-39,24.09
22,2024,3,6,11,5,5,-38,24.09
23,2024,3,6,11,5,6,-37,24.09
24,2024,3,6,11,5,7,-36,24.09
25,2024,3,6,11,5,8,-35,24.01
26,2024,3,6,11,5,9,-34,24.09
27,2024,3,6,11,5,10,-33,24.09
28,2024,3,6,11,5,11,-32,24.09
29,2024,3,6,11,5,12,-31,24.09
30,2024,3,6,11,5,13,-30,24.09
31,2024,3,6,11,5,14,-29,24.09
32,2024,3,6,11,5,15,-28,24.09
33,2024,3,6,11,5,16,-27,24.09
34,2024,3,6,11,5,17,-26,24.09
35,2024,3,6,11,5,18,-25,24.09
36,2024,3,6,11,5,19,-24,24.01
37,2024,3,6,11,5,20,-23,24.09
38,2024,3,6,11,5,21,-22,24.09
39,2024,3,6,11,5,22,-21,24.09
40,2024,3,6,11,5,23,-20,24.01
41,2024,3,6,11,5,24,-19,24.09
42,2024,3,6,11,5,25,-18,24.09
43,2024,3,6,11,5,26,-17,24.01
44,2024,3,6,11,5,27,-16,24.09
45,2024,3,6,11,5,28,-15,24.09
46,2024,3,6,11,5,29,-14,24.09
47,2024,3,6,11,5,30,-13,24.09
48,2024,3,6,11,5,31,-12,24.01
49,2024,3,6,11,5,32,-11,24.09
50,2024,3,6,11,5,34,-10,24.09
51,2024,3,6,11,5,35,-9,24.09
52,2024,3,6,11,5,36,-8,24.09
53,2024,3,6,11,5,37,-7,24.01
54,2024,3,6,11,5,38,-6,24.09
55,2024,3,6,11,5,39,-5,24.01
56,2024,3,6,11,5,40,-4,24.09
57,2024,3,6,11,5,41,-3,24.09
58,2024,3,6,11,5,42,-2,24.09
59,2024,3,6,11,5,43,-1,24.01
60,2024,3,6,11,5,44,0,24.01
61,2024,3,6,11,5,45,1,24.01
62,2024,3,6,11,5,46,2,24.01
63,2024,3,6,11,5,47,3,24.01
64,2024,3,6,11,5,48,4,24.09
65,2024,3,6,11,5,49,5,24.01
66,2024,3,6,11,5,50,6,24.01
67,2024,3,6,11,5,51,7,24.09
68,2024,3,6,11,5,52,8,24.09
69,2024,3,6,11,5,53,9,24.01
70,2024,3,6,11,5,54,10,24.09
71,2024,3,6,11,5,55,11,24.01
72,2024,3,6,11,5,56,12,24.01
73,2024,3,6,11,5,57,13,24.01
74,2024,3,6,11,5,58,14,24.01
75,2024,3,6,11,5,59,15,24.01
76,2024,3,6,11,6,0,16,24.01
77,2024,3,6,11,6,1,17,24.01
78,2024,3,6,11,6,2,18,24.01
79,2024,3,6,11,6,3,19,24.01
80,2024,3,6,11,6,4,20,24.01
81,2024,3,6,11,6,5,21,23.92
82,2024,3,6,11,6,6,22,24.01
83,2024,3,6,11,6,7,23,24.01
84,2024,3,6,11,6,8,24,24.01
85,2024,3,6,11,6,9,25,24.01
86,2024,3,6,11,6,10,26,24.01
87,2024,3,6,11,6,12,27,24.01
88,2024,3,6,11,6,13,28,24.01
89,2024,3,6,11,6,14,29,24.01
90,2024,3,6,11,6,15,30,24.01
91,2024,3,6,11,6,16,31,24.01
92,2024,3,6,11,6,17,32,24.01
93,2024,3,6,11,6,18,33,24.01
94,2024,3,6,11,6,19,34,24.01
95,2024,3,6,11,6,20,35,23.92
96,2024,3,6,11,6,21,36,24.01
97,2024,3,6,11,6,22,37,24.01
98,2024,3,6,11,6,23,38,24.01
99,2024,3,6,11,6,24,39,24.01
100,2024,3,6,11,6,25,40,24.01
101,2024,3,6,11,6,26,41,24.01
102,2024,3,6,11,6,27,42,24.01
103,2024,3,6,11,6,28,43,24.01
104,2024,3,6,11,6,29,44,24.01
105,2024,3,6,11,6,30,45,24.01
106,2024,3,6,11,6,31,46,23.92
107,2024,3,6,11,6,32,47,24.01
108,2024,3,6,11,6,33,48,24.01
109,2024,3,6,11,6,34,49,24.09
110,2024,3,6,11,6,35,50,24.01
111,2024,3,6,11,6,36,51,24.01
112,2024,3,6,11,6,37,52,23.92
113,2024,3,6,11,6,38,53,24.01
114,2024,3,6,11,6,39,54,23.92
115,2024,3,6,11,6,40,55,24.01
116,2024,3,6,11,6,41,56,23.92
117,2024,3,6,11,6,42,57,24.01
118,2024,3,6,11,6,43,58,24.01
119,2024,3,6,11,6,44,59,24.01
120,2024,3,6,11,6,45,60,24.01
121,2024,3,6,11,6,46,61,24.01
122,2024,3,6,11,6,47,62,24.01
123,2024,3,6,11,6,49,63,23.92
124,2024,3,6,11,6,50,64,24.01
125,2024,3,6,11,6,51,65,24.01
126,2024,3,6,11,6,52,66,24.01
127,2024,3,6,11,6,53,67,24.01
128,2024,3,6,11,6,54,68,24.01
129,2024,3,6,11,6,55,69,24.01
130,2024,3,6,11,6,56,70,24.01
131,2024,3,6,11,6,57,71,24.01
132,2024,3,6,11,6,58,72,23.92
133,2024,3,6,11,6,59,73,24.01
134,2024,3,6,11,7,0,74,24.01
135,2024,3,6,11,7,1,75,24.01
136,2024,3,6,11,7,2,76,24.09
137,2024,3,6,11,7,3,77,24.01
138,2024,3,6,11,7,4,78,24.01
139,2024,3,6,11,7,5,79,24.01
140,2024,3,6,11,7,6,80,24.01
141,2024,3,6,11,7,7,81,24.01
142,2024,3,6,11,7,8,82,24.01
143,2024,3,6,11,7,9,83,24.01
144,2024,3,6,11,7,10,84,24.01
145,2024,3,6,11,7,11,85,24.01
146,2024,3,6,11,7,12,86,24.01
147,2024,3,6,11,7,13,87,24.01
148,2024,3,6,11,7,14,88,24.01
149,2024,3,6,11,7,15,89,24.01
150,2024,3,6,11,7,16,90,24.01
151,2024,3,6,11,7,17,91,24.01
152,2024,3,6,11,7,18,92,24.01
153,2024,3,6,11,7,19,93,24.01
154,2024,3,6,11,7,20,94,24.01
155,2024,3,6,11,7,21,95,24.09
156,2024,3,6,11,7,22,96,23.92
157,2024,3,6,11,7,23,97,24.01
158,2024,3,6,11,7,24,98,24.01
159,2024,3,6,11,7,26,99,24.01
160,2024,3,6,11,7,27,100,24.01
161,2024,3,6,11,7,28,101,24.01
162,2024,3,6,11,7,29,102,24.01
163,2024,3,6,11,7,30,103,23.92
164,2024,3,6,11,7,31,104,24.01
165,2024,3,6,11,7,32,105,24.01
166,2024,3,6,11,7,33,106,24.01
167,2024,3,6,11,7,34,107,24.01
168,2024,3,6,11,7,35,108,23.92
169,2024,3,6,11,7,36,109,24.01
170,2024,3,6,11,7,37,110,24.01
171,2024,3,6,11,7,38,111,24.01
172,2024,3,6,11,7,39,112,23.92
173,2024,3,6,11,7,40,113,24.01
174,2024,3,6,11,7,41,114,24.01
175,2024,3,6,11,7,42,115,24.01
176,2024,3,6,11,7,43,116,23.92
177,2024,3,6,11,7,44,117,23.92
178,2024,3,6,11,7,45,118,24.01
179,2024,3,6,11,7,46,119,24.01
180,2024,3,6,11,7,47,120,24.01
181,2024,3,6,11,7,48,121,24.01
182,2024,3,6,11,7,49,122,23.92
183,2024,3,6,11,7,50,123,24.01
184,2024,3,6,11,7,51,124,24.01
185,2024,3,6,11,7,52,125,24.01
186,2024,3,6,11,7,53,126,24.01
187,2024,3,6,11,7,54,127,24.01
188,2024,3,6,11,7,55,128,24.01
189,2024,3,6,11,7,56,129,24.01
190,2024,3,6,11,7,57,130,24.01
191,2024,3,6,11,7,58,131,24.01
192,2024,3,6,11,7,59,132,24.01
193,2024,3,6,11,8,0,133,24.01
194,2024,3,6,11,8,1,134,24.01
195,2024,3,6,11,8,3,135,24.01
196,2024,3,6,11,8,4,136,24.01
197,2024,3,6,11,8,5,137,24.01
198,2024,3,6,11,8,6,138,24.01
199,2024,3,6,11,8,7,139,24.01
200,2024,3,6,11,8,8,140,23.92
