sample ,flux_source,position,flux_start,measurement_day_actual,tag,t0,t1,t2,t3,file,directon,chamber,chamber_SA_cm2,soil_moisture,notes,fieldnotes
MD36,m,mid,11:55:15,8/7/2023,1,26,26.8,27.3,,f0001,N,sm,47.78,,,
MD36,m,low,11:58:00,8/7/2023,2,27.9,28,28.1,,f0001,E,sm,47.78,,,
MD36,m,mid,12:00:45,8/7/2023,3,26.11,25.6,25.8,,f0001,S,sm,47.78,,,
MD36,m,low,12:03:30,8/7/2023,4,26.2,26.7,26.8,,f0001,W,sm,47.78,,,
MD22,m,mid,13:32:50,8/7/2023,1,25.5,26.1,26.4,,f0002,N,sm,47.78,,,"redid measurement, og starts at 13:21:45 look at notebook if there's issues "
MD22,m,low,13:24:20,8/7/2023,2,26.9,27.7,27.9,,f0002,E,sm,47.78,,,
MD22,m,mid,13:27:10,8/7/2023,3,27.1,27.3,27,,f0002,S,sm,47.78,,,
MD22,m,low,13:30:00,8/7/2023,4,26.6,26,26.1,,f0002,W,sm,47.78,,,
MD24,m,mid,13:48:30,8/7/2023,1,25.4,25.1,24.9,,f0003,N,sm,47.78,,,
MD24,m,low,13:51:00,8/7/2023,2,24.8,24.8,25,,f0003,E,sm,47.78,,,
MD24,m,mid,13:54:40,8/7/2023,3,25,25,25.2,25.5,f0003,S,sm,47.78,,,cut out first minute: og started at 13:53:40 and then was corrected for by running an extra minute longer
MD24,m,low,13:57:25,8/7/2023,4,25.3,25.8,26,,f0003,W,sm,47.78,,,
MD42,m,mid,14:17:45,8/7/2023,1,31.6,29.7,29.9,,f0004,N,sm,47.78,,,
MD42,m,low,14:20:30,8/7/2023,2,27.1,26.1,26,,f0004,E,sm,47.78,,,
MD42,m,mid,14:24:00,8/7/2023,3,26.3,27.5,27.7,,f0004,S,sm,47.78,,,
MD42,m,low,14:27:00,8/7/2023,4,27.8,28,28.1,,f0004,W,sm,47.78,,,
MD37,m,mid,14:37:40,8/7/2023,1,29.9,30.1,30.4,,f0005,N,sm,47.78,,,
