VC:cf32204 BD:May 26 2016 SN:US4300161200001274
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  16/08/2023 05:53:13.197,   1.851312e+00,   0.000000e+00,   1.012466e+04,   0.000000e+00,   4.430025e+02,   0.000000e+00,   1.870247e+00,   0.000000e+00,   4.475337e+02,   0.000000e+00,   1.402707e+02,   0.000000e+00,   1.840699e+01,   0.000000e+00,   1.740849e+01,   0.000000e+00,   7.586029e+00,   0.000000e+00,   9.673186e+00,   0.000000e+00,              3,              0,       1 meters
  16/08/2023 05:53:14.172,   1.852297e+00,   0.000000e+00,   1.010318e+04,   0.000000e+00,   4.439915e+02,   0.000000e+00,   1.871202e+00,   0.000000e+00,   4.485230e+02,   0.000000e+00,   1.402826e+02,   0.000000e+00,   1.840500e+01,   0.000000e+00,   1.741201e+01,   0.000000e+00,   7.581331e+00,   0.000000e+00,   9.672429e+00,   0.000000e+00,              3,              0,       1 meters
  16/08/2023 05:53:15.151,   1.851650e+00,   0.000000e+00,   1.019486e+04,   0.000000e+00,   4.433466e+02,   0.000000e+00,   1.870722e+00,   0.000000e+00,   4.479130e+02,   0.000000e+00,   1.402612e+02,   0.000000e+00,   1.840434e+01,   0.000000e+00,   1.741634e+01,   0.000000e+00,   7.585170e+00,   0.000000e+00,   9.686081e+00,   0.000000e+00,              3,              0,       1 meters
  16/08/2023 05:53:16.127,   1.851928e+00,   0.000000e+00,   9.934236e+03,   0.000000e+00,   4.434089e+02,   0.000000e+00,   1.870510e+00,   0.000000e+00,   4.478580e+02,   0.000000e+00,   1.402723e+02,   0.000000e+00,   1.840295e+01,   0.000000e+00,   1.741927e+01,   0.000000e+00,   7.584077e+00,   0.000000e+00,   9.671145e+00,   0.000000e+00,              3,              0,       1 meters
  16/08/2023 05:53:17.103,   1.852757e+00,   0.000000e+00,   1.004139e+04,   0.000000e+00,   4.440924e+02,   0.000000e+00,   1.871550e+00,   0.000000e+00,   4.485969e+02,   0.000000e+00,   1.402818e+02,   0.000000e+00,   1.840166e+01,   0.000000e+00,   1.742363e+01,   0.000000e+00,   7.579629e+00,   0.000000e+00,   9.670548e+00,   0.000000e+00,              3,              0,       1 meters
  16/08/2023 05:53:18.081,   1.853920e+00,   0.000000e+00,   9.975276e+03,   0.000000e+00,   4.443421e+02,   0.000000e+00,   1.872599e+00,   0.000000e+00,   4.488192e+02,   0.000000e+00,   1.402585e+02,   0.000000e+00,   1.840081e+01,   0.000000e+00,   1.742792e+01,   0.000000e+00,   7.583029e+00,   0.000000e+00,   9.676174e+00,   0.000000e+00,              3,              0,       1 meters
  16/08/2023 05:53:19.058,   1.852305e+00,   0.000000e+00,   1.008181e+04,   0.000000e+00,   4.434810e+02,   0.000000e+00,   1.871170e+00,   0.000000e+00,   4.479976e+02,   0.000000e+00,   1.402728e+02,   0.000000e+00,   1.839879e+01,   0.000000e+00,   1.742971e+01,   0.000000e+00,   7.585807e+00,   0.000000e+00,   9.674081e+00,   0.000000e+00,              3,              0,       1 meters
  16/08/2023 05:53:20.034,   1.852996e+00,   0.000000e+00,   1.009065e+04,   0.000000e+00,   4.441404e+02,   0.000000e+00,   1.871885e+00,   0.000000e+00,   4.486677e+02,   0.000000e+00,   1.402822e+02,   0.000000e+00,   1.839772e+01,   0.000000e+00,   1.743319e+01,   0.000000e+00,   7.584900e+00,   0.000000e+00,   9.668720e+00,   0.000000e+00,              3,              0,       1 meters
  16/08/2023 05:53:21.012,   1.852343e+00,   0.000000e+00,   1.018833e+04,   0.000000e+00,   4.442403e+02,   0.000000e+00,   1.871410e+00,   0.000000e+00,   4.488129e+02,   0.000000e+00,   1.402630e+02,   0.000000e+00,   1.839635e+01,   0.000000e+00,   1.743689e+01,   0.000000e+00,   7.580871e+00,   0.000000e+00,   9.677118e+00,   0.000000e+00,              3,              0,       1 meters
  16/08/2023 05:53:21.988,   1.850843e+00,   0.000000e+00,   1.008078e+04,   0.000000e+00,   4.441806e+02,   0.000000e+00,   1.869691e+00,   0.000000e+00,   4.487038e+02,   0.000000e+00,   1.402824e+02,   0.000000e+00,   1.839507e+01,   0.000000e+00,   1.744170e+01,   0.000000e+00,   7.586518e+00,   0.000000e+00,   9.673713e+00,   0.000000e+00,              3,              0,       1 meters
