"sample","Time_start","flux.CO2","R2.CO2","p.CO2","fDOY_end","flux_source","position","flux_start","measurement_day_actual","tag","t0","t1","t2","t3","file","directon","chamber","chamber_SA_cm2","soil_moisture","notes","fieldnotes","avg_respT","campaign","species"
"MD10",220.441435185185,79.4781004441616,0.99883156822218,3.1436020142803e-135,220.442476851852,"m","mid","10:35:10","8/9/2023",1,29.7,29.7,29.7,NA,"f0002","N","sm",47.78,NA,"","",29.7,"aug23","Ami"
"MD10",220.443287037037,163.854319271048,0.999736793874398,1.7887004624085e-166,220.444328703704,"m","low","10:37:50","8/9/2023",2,27.6,27.7,27.9,NA,"f0002","E","sm",47.78,NA,"","",27.7333333333333,"aug23","Ami"
"MD10",220.445138888889,80.9265766248964,0.970886572699115,1.10598395948721e-71,220.446180555556,"m","mid","10:40:30","8/9/2023",3,27.7,27.8,28,NA,"f0002","S","sm",47.78,NA,"","",27.8333333333333,"aug23","Ami"
"MD10",220.446990740741,102.076153016805,0.996271491125273,2.67221063794666e-112,220.448032407407,"m","low","10:43:10","8/9/2023",4,28.2,28.2,28.2,NA,"f0002","W","sm",47.78,NA,"","",28.2,"aug23","Ami"
"MD10",220.448958333333,167.677136469618,0.99581288937356,5.23871266874021e-110,220.45,"s","2","10:46:00","8/9/2023",5,29.2,29.2,28.2,NA,"f0002","N","lg",183.85,NA,"","",28.8666666666667,"aug23","Ami"
"MD11",220.454398148148,603.144282007942,0.999259996075232,8.01287585067284e-146,220.455439814815,"m","mid","10:53:50","8/9/2023",1,28.3,28.4,28.4,NA,"f0003","N","med",83.32,NA,"Extender","",28.3666666666667,"aug23","Nasuti"
"MD11",220.456423611111,587.609396026572,0.996243430168305,3.75869991149239e-112,220.457465277778,"m","low","10:56:45","8/9/2023",2,28.4,28.4,28.4,NA,"f0003","E","med",83.32,NA,"Extender","",28.4,"aug23","Nasuti"
"MD11",220.458506944444,506.252820406332,0.998147223248744,4.0510818083152e-126,220.459548611111,"m","mid","10:59:45","8/9/2023",3,28.4,28.4,29.4,NA,"f0003","S","med",83.32,NA,"Extender","",28.7333333333333,"aug23","Nasuti"
"MD11",220.460648148148,497.083863940998,0.998767965107911,3.5061868182552e-134,220.461689814815,"m","low","11:02:50","8/9/2023",4,28.8,28.8,28.8,NA,"f0003","W","med",83.32,NA,"Extender","",28.8,"aug23","Nasuti"
"MD11",220.4625,423.751797641971,0.997969849961378,2.59530401134759e-124,220.463541666667,"m","top","11:05:30","8/9/2023",5,29.2,29.6,29.6,NA,"f0003","","med",83.32,NA,"Extender","",29.4666666666667,"aug23","Nasuti"
"MD15",220.359895833333,42.7046700638906,0.996296786603455,1.96041117690854e-112,220.3609375,"m","mid","8:37:45","8/9/2023",1,19.5,19.5,19.5,NA,"f0000","N","sm",47.78,NA,"","temperature sensor acting up",19.5,"aug23","Ami"
"MD15",220.36244212963,95.6644197146182,0.979313511082116,1.9472222456301e-78,220.363483796296,"m","low","8:41:25","8/9/2023",2,19.1,19.5,20.1,NA,"f0000","E","sm",47.78,NA,"","temperature sensor acting up",19.5666666666667,"aug23","Ami"
"MD15",220.366319444444,28.6599375537264,0.983917683178577,2.59625516730804e-84,220.367361111111,"m","mid","8:47:00","8/9/2023",3,24,24,24,NA,"f0000","S","sm",47.78,NA,"","temperature sensor acting up",24,"aug23","Ami"
"MD15",220.368518518519,43.5068882353513,0.990715360440193,2.86099950321014e-94,220.369560185185,"m","low","8:50:10","8/9/2023",4,23.6,23.6,23.6,NA,"f0000","W","sm",47.78,NA,"","temperature sensor acting up",23.6,"aug23","Ami"
"MD15",220.370601851852,135.851968752462,0.991174980357577,2.83904979860126e-95,220.371643518519,"s","2","8:53:10","8/9/2023",5,25.3,23.7,23.4,NA,"f0000","N","lg",183.85,NA,"","temperature sensor acting up",24.1333333333333,"aug23","Ami"
"MD2",220.47974537037,329.02344071108,0.998373221163772,4.36841275417881e-130,220.480787037037,"m","mid","11:30:20","8/9/2023",1,27.8,27.9,27.9,NA,"f0004","N","med",83.32,NA,"Extender","",27.8666666666667,"aug23","Copto"
"MD2",220.482060185185,1159.61546784607,0.999262965945045,2.46641803903734e-144,220.483101851852,"m","low","11:33:40","8/9/2023",2,33,32.5,32.4,NA,"f0004","E","med",83.32,NA,"Extender","",32.6333333333333,"aug23","Copto"
"MD2",220.484085648148,588.529630781083,0.998091984129844,1.54209906570655e-125,220.485127314815,"m","mid","11:36:35","8/9/2023",3,28.9,28.9,29,NA,"f0004","S","med",83.32,NA,"Extender","",28.9333333333333,"aug23","Copto"
"MD2",220.486053240741,1016.99459716561,0.998981338175013,6.12081472255648e-138,220.487094907407,"m","low","11:39:25","8/9/2023",4,28.4,28.4,28.3,NA,"f0004","W","med",83.32,NA,"Extender","",28.3666666666667,"aug23","Copto"
"MD2",220.488194444444,289.199681214658,0.985925869119295,4.7579474304426e-86,220.489236111111,"m","top","11:42:30","8/9/2023",5,28.1,28.1,28.1,NA,"f0004","","med",83.32,NA,"Extender","",28.1,"aug23","Copto"
"MD22",218.558912037037,40.9511412170124,0.98840686239345,6.99598263458674e-90,218.559953703704,"m","low","13:24:20","8/7/2023",2,26.9,27.7,27.9,NA,"f0002","E","sm",47.78,NA,"","",27.5,"aug23","Ami"
"MD22",218.56087962963,29.2660391963017,0.978059074389958,2.83817407060344e-77,218.561921296296,"m","mid","13:27:10","8/7/2023",3,27.1,27.3,27,NA,"f0002","S","sm",47.78,NA,"","",27.1333333333333,"aug23","Ami"
"MD22",218.562847222222,29.8255105120675,0.97692741105588,2.79941874382e-76,218.563888888889,"m","low","13:30:00","8/7/2023",4,26.6,26,26.1,NA,"f0002","W","sm",47.78,NA,"","",26.2333333333333,"aug23","Ami"
"MD22",218.564814814815,22.2665974966039,0.974882980966034,1.33406842120693e-74,218.565856481481,"m","mid","13:32:50","8/7/2023",1,25.5,26.1,26.4,NA,"f0002","N","sm",47.78,NA,"","redid measurement, og starts at 13:21:45 look at notebook if there's issues ",26,"aug23","Ami"
"MD24",218.575694444444,34.9598156459723,0.921852730422886,3.68195770798327e-52,218.576736111111,"m","mid","13:48:30","8/7/2023",1,25.4,25.1,24.9,NA,"f0003","N","sm",47.78,NA,"","",25.1333333333333,"aug23","Ami"
"MD24",218.577430555556,57.9473930083842,0.985549948874741,1.88777676676777e-86,218.578472222222,"m","low","13:51:00","8/7/2023",2,24.8,24.8,25,NA,"f0003","E","sm",47.78,NA,"","",24.8666666666667,"aug23","Ami"
"MD24",218.579976851852,12.2796684071113,0.962995211359288,6.0949572917584e-67,218.581018518519,"m","mid","13:54:40","8/7/2023",3,25,25.2,25.5,NA,"f0003","S","sm",47.78,NA,"","cut out first minute: og started at 13:53:40 and then was corrected for by running an extra minute longer",25.2333333333333,"aug23","Ami"
"MD24",218.581886574074,47.0410714769233,0.997154821351628,1.21287421246455e-117,218.582928240741,"m","low","13:57:25","8/7/2023",4,25.3,25.8,26,NA,"f0003","W","sm",47.78,NA,"","",25.7,"aug23","Ami"
"MD25",218.639930555556,319.457521460423,0.998420713523609,2.82835419109459e-129,218.640972222222,"m","mid","15:21:00","8/7/2023",1,28.7,28,28,NA,"f0006","W","med",83.32,NA,"Extender","mixed up directions so they are not the normal configuration with low/high",28.2333333333333,"aug23","Nasuti"
"MD25",218.641840277778,519.772835147607,0.998442042026668,1.52350415838424e-129,218.642881944444,"m","low","15:23:45","8/7/2023",2,27.9,28.2,28.3,NA,"f0006","N","med",83.32,NA,"Extender","",28.1333333333333,"aug23","Nasuti"
"MD25",218.64375,485.636141785347,0.999237326773034,1.16893451950301e-143,218.644791666667,"m","mid","15:26:30","8/7/2023",3,27.8,27.6,28.1,NA,"f0006","E","med",83.32,NA,"Extender","",27.8333333333333,"aug23","Nasuti"
"MD25",218.644502314815,-973.10915939467,0.699710772934259,1.67819977616928e-25,218.645543981481,"m","low","15:27:35","8/7/2023",4,32.4,31.2,31.4,NA,"f0006","S","med",83.32,NA,"Extender","",31.6666666666667,"aug23","Nasuti"
"MD25",218.647916666667,638.564276408512,0.997788536633955,1.27240471254653e-122,218.648958333333,"m","top","15:32:30","8/7/2023",5,30.3,29.2,29.3,NA,"f0006","","med",83.32,NA,"Extender","",29.6,"aug23","Nasuti"
"MD26",218.655208333333,1843.08009471905,0.998444716379776,1.40894390812617e-129,218.65625,"m","mid","15:43:00","8/7/2023",1,30,28.9,29.1,NA,"f0007","W","med",83.32,NA,"Extender","mixed up directions so they are not the normal configuration with low/high",29.3333333333333,"aug23","Copto"
"MD26",218.657407407407,1756.94454295228,0.995313503731049,8.82715757194113e-108,218.658449074074,"m","low","15:46:10","8/7/2023",2,28.7,29.5,29.7,NA,"f0007","N","med",83.32,NA,"Extender","",29.3,"aug23","Copto"
"MD26",218.659490740741,2278.42410542995,0.999343414796098,1.28265689426192e-146,218.660532407407,"m","mid","15:49:10","8/7/2023",3,29.7,30.2,31,NA,"f0007","E","med",83.32,NA,"Extender","",30.3,"aug23","Copto"
"MD26",218.661458333333,1247.998498758,0.998888851602888,3.19220969393122e-136,218.6625,"m","low","15:52:00","8/7/2023",4,27.2,26.5,26.3,NA,"f0007","S","med",83.32,NA,"Extender","",26.6666666666667,"aug23","Copto"
"MD26",218.663541666667,1703.17486011592,0.999397060471575,2.65344666169899e-148,218.664583333333,"m","top","15:55:00","8/7/2023",5,28.5,29.3,29.5,NA,"f0007","","med",83.32,NA,"Extender","",29.1,"aug23","Copto"
