"sample","extract_ID","avg_flux","avg_dif","species_s","rank","Time_start","flux_start","fDOY_end","file","flux_source","position","measurement_day_alt","month_alt","year_alt","measurement_day_actual","tag","t0","t1","t2","t3","directon","chamber","chamber_SA_cm2","soil_moisture","notes","measurement_day_altyr","avg_respT","campaign","species","ID_measurement","flux.CO2","flux.CO2_umol","flux.CH4","CH4_CO2","R2.CO2","R2.CH4","p.CO2","p.CH4","fieldnotes","wall_thickness_mm","ID_mound","precip_1mo","precip_2mo","precip_3mo","top_emitters"
"MD37","MD37-1-mid",8484.831586537,1758.9742169026,"A. laurensis","top",1155.42309027778,"2024-04-12 14:25:00",1155.42413194444,"f0052","m","mid","3/01/2005",3,2005,"05/23/2022","1",37.6,39,39.2,NA,"N","med",83.32,NA,"","/01/2005",38.6,"may22","Ami","MD37-1",423.055146884017,423055.146884017,10243.8058034396,0.0242138782115987,0.999548592666214,0.999774955230187,5.06050651419919e-154,8.90246226817749e-168,NA,NA,"MD37-may22",129.9,177.9,273.4,"y"
"MD37","MD37-2-low",8484.831586537,1651.95994153704,"A. laurensis","top",1155.42523148148,"2024-04-12 14:25:00",1155.42627314815,"f0052","m","low","3/01/2005",3,2005,"05/23/2022","2",35.8,37,35.6,NA,"E","med",83.32,NA,"","/01/2005",36.1333333333333,"may22","Ami","MD37-2",117.218747193378,117218.747193378,6832.87164499996,0.0582916283325196,0.790279389921238,0.983123934515324,1.27578004421692e-32,1.84366367942174e-82,NA,NA,"MD37-may22",129.9,177.9,273.4,"y"
"MD37","MD37-3-mid",8484.831586537,4068.0116929307,"A. laurensis","top",1155.42731481481,"2024-04-12 14:25:00",1155.42835648148,"f0052","m","mid","3/01/2005",3,2005,"05/23/2022","3",36.7,39.5,40.2,NA,"S","med",83.32,NA,"","/01/2005",38.8,"may22","Ami","MD37-3",458.359958696928,458359.958696928,12552.8432794677,0.0273864307762707,0.999565803466065,0.999710538325424,8.63073094670227e-155,8.38844537893399e-163,NA,NA,"MD37-may22",129.9,177.9,273.4,"y"
"MD54","MD54-1-mid",7622.71925316276,998.946797839742,"A. laurensis","top",1642.42118055556,"2024-04-12 16:27:00",1642.42222222222,"f0071","m","mid","7/01/2006",7,2006,"05/25/2022","1",33.9,31.1,31.2,NA,"N","sm",47.78,NA,"","/01/2006",32.0666666666667,"may22","Ami","MD54-1",357.491612083182,357491.612083182,8621.6660510025,0.0241171142471348,0.998276933184729,0.998341446156244,1.49052437057428e-127,2.62587853602528e-128,NA,NA,"MD54-may22",129.9,177.9,273.4,"y"
"MD54","MD54-2-low",7622.71925316276,1424.66210252582,"A. laurensis","top",1642.42326388889,"2024-04-12 16:27:00",1642.42430555556,"f0071","m","low","7/01/2006",7,2006,"05/25/2022","2",34.7,34.6,34.7,NA,"E","sm",47.78,NA,"","/01/2006",34.6666666666667,"may22","Ami","MD54-2",269.710745212442,269710.745212442,6198.05715063694,0.0229803864349377,0.995625433820172,0.99696781335811,3.84326082274985e-109,2.19667761378475e-116,NA,NA,"MD54-may22",129.9,177.9,273.4,"y"
"MD54","MD54-3-mid",7622.71925316276,2012.23840604797,"A. laurensis","top",1642.4255787037,"2024-04-12 16:27:00",1642.42662037037,"f0071","m","mid","7/01/2006",7,2006,"05/25/2022","3",33,33,33,NA,"S","sm",47.78,NA,"","/01/2006",33,"may22","Ami","MD54-3",252.973714437162,252973.714437162,5610.48084711479,0.0221781178317181,0.998796919966127,0.999114262262463,4.09892292380197e-136,3.1267357553351e-142,NA,NA,"MD54-may22",129.9,177.9,273.4,"y"
"MD10","MD10-1-low",3623.04756103445,488.866675555765,"A. laurensis","top",334.420659722222,"2024-04-12 15:01:00",334.421701388889,"f0019","m","low","12/01/2002",12,2002,"05/17/2022","1",32,32.2,32.3,NA,"N","med",83.32,NA,"colony overtaken by ants, ant sample taken","/01/2002",32.1666666666667,"may22","Ami","MD10-1",394.525959594908,394525.959594908,4111.91423659021,0.0104224174267575,0.999444612215518,0.999768062838927,1.48052234460284e-151,5.32048014090525e-169,NA,NA,"MD10-may22",129.9,177.9,273.4,"y"
"MD10","MD10-2-mid",3623.04756103445,411.723396198925,"A. laurensis","top",334.422858796296,"2024-04-12 15:01:00",334.423900462963,"f0019","m","mid","12/01/2002",12,2002,"05/17/2022","2",31.5,31.5,31.6,NA,"E","med",83.32,NA,"colony overtaken by ants, ant sample taken","/01/2002",31.5333333333333,"may22","Ami","MD10-2",239.493408672777,239493.408672777,4034.77095723337,0.0168471064802712,0.997482348708153,0.999197065191704,4.64580169868252e-120,1.21436694890108e-142,NA,NA,"MD10-may22",129.9,177.9,273.4,"y"
"MD10","MD10-4-mid",3623.04756103445,370.054642520005,"A. laurensis","top",334.427199074074,"2024-04-12 15:01:00",334.428240740741,"f0019","m","mid","12/01/2002",12,2002,"05/17/2022","4",31.9,32.2,32.3,NA,"W","med",83.32,NA,"colony overtaken by ants, ant sample taken","/01/2002",32.1333333333333,"may22","Ami","MD10-4",255.118604391267,255118.604391267,3993.10220355445,0.0156519443694916,0.998226220846467,0.998052127963954,5.57869803828327e-127,3.95038829481196e-125,NA,NA,"MD10-may22",129.9,177.9,273.4,"y"
"MD47","MD47-2-low",3470.88753016692,533.092771608015,"A. laurensis","top",1430.42361111111,"2024-04-12 15:19:00",1430.42465277778,"f0062","m","low","12/01/2005",12,2005,"05/24/2022","2",32,31.2,30.9,NA,"E","med",83.32,NA,"","/01/2005",31.3666666666667,"may22","Ami","MD47-2",251.24567893098,251245.67893098,2937.79475855891,0.0116929165550583,0.998833878525652,0.99956031164988,9.75727346081095e-137,3.18880229515737e-156,NA,NA,"MD47-may22",129.9,177.9,273.4,"y"
"MD47","MD47-3-mid",3470.88753016692,79.886613890345,"A. laurensis","top",1430.42563657407,"2024-04-12 15:19:00",1430.42667824074,"f0062","m","mid","12/01/2005",12,2005,"05/24/2022","3",31.4,31,30.8,NA,"S","med",83.32,NA,"","/01/2005",31.0666666666667,"may22","Ami","MD47-3",244.794740321647,244794.740321647,3391.00091627658,0.0138524255538374,0.998704388521876,0.999451942513938,3.46022658254665e-133,3.45088870434372e-150,NA,NA,"MD47-may22",129.9,177.9,273.4,"y"
"MD47","MD47-4-low",3470.88753016692,845.674769285375,"A. laurensis","top",1430.42766203704,"2024-04-12 15:19:00",1430.4287037037,"f0062","m","low","12/01/2005",12,2005,"05/24/2022","4",31,31,30.9,NA,"W","med",83.32,NA,"","/01/2005",30.9666666666667,"may22","Ami","MD47-4",206.352174976067,206352.174976067,2625.21276088155,0.0127220018940243,0.997969445334323,0.999355694144901,2.61894486682949e-124,5.4331633823519e-147,NA,NA,"MD47-may22",129.9,177.9,273.4,"y"
"MD41","MD41-1-mid",289.905149293338,192.372428261835,"A. laurensis","bottom",1247.4541087963,"2024-04-12 09:12:00",1247.45515046296,"f0056","m","mid","6/01/2005",6,2005,"05/24/2022","1",30,27.3,26.8,NA,"N","sm",47.78,NA,"found nasute soldiers and ami workers in ami like mound","/01/2005",28.0333333333333,"may22","Ami","MD41-1",59.4278002138762,59427.8002138762,97.5327210315031,0.00164119689237175,0.990503510819085,0.983603904298411,7.98681347266825e-94,4.95939350535965e-83,NA,NA,"MD41-may22",129.9,177.9,273.4,"y"
"MD41","MD41-3-mid",289.905149293338,158.092061881575,"A. laurensis","bottom",1247.45833333333,"2024-04-12 09:12:00",1247.459375,"f0056","m","mid","6/01/2005",6,2005,"05/24/2022","3",29.4,29.7,30.1,NA,"S","sm",47.78,NA,"found nasute soldiers and ami workers in ami like mound","/01/2005",29.7333333333333,"may22","Ami","MD41-3",113.169016191337,113169.016191337,131.813087411763,0.00116474536801578,0.994919615008735,0.992117809354271,3.47220086575925e-106,1.66089850493536e-97,NA,NA,"MD41-may22",129.9,177.9,273.4,"y"
"MD41","MD41-4-low",289.905149293338,174.115305544394,"A. laurensis","bottom",1247.46053240741,"2024-04-12 09:12:00",1247.46157407407,"f0056","m","low","6/01/2005",6,2005,"05/24/2022","4",30.1,29.8,30.1,NA,"W","sm",47.78,NA,"found nasute soldiers and ami workers in ami like mound","/01/2005",30,"may22","Ami","MD41-4",71.5975750495342,71597.5750495342,115.789843748944,0.00161723136110177,0.996163603936355,0.985424890120963,9.7849660978591e-112,2.33713646857709e-85,NA,NA,"MD41-may22",129.9,177.9,273.4,"y"
"MD24","MD24-1-mid",711.905554498981,261.79750166669,"A. laurensis","bottom",761.423611111111,"2024-04-12 12:13:00",761.424652777778,"f0037","m","mid","2/01/2004",2,2004,"05/19/2022","1",36.6,34.6,34.1,NA,"N","med",83.32,NA,"","/01/2004",35.1,"may22","Ami","MD24-1",124.47899694287,124478.99694287,450.108052832291,0.00361593573122114,0.996079074924827,0.99788147451096,2.63778692645375e-111,1.80388952626806e-123,NA,NA,"MD24-may22",129.9,177.9,273.4,"y"
"MD24","MD24-3-mid",711.905554498981,271.777163183704,"A. laurensis","bottom",761.427662037037,"2024-04-12 12:13:00",761.428703703704,"f0037","m","mid","2/01/2004",2,2004,"05/19/2022","3",32.4,32.3,32,NA,"S","med",83.32,NA,"","/01/2004",32.2333333333333,"may22","Ami","MD24-3",126.31225697757,126312.25697757,440.128391315277,0.00348444720921607,0.99684314087639,0.99749320187019,1.37407282595379e-115,3.81672208105615e-120,NA,NA,"MD24-may22",129.9,177.9,273.4,"y"
"MD24","MD24-4-low",711.905554498981,228.739963231667,"A. laurensis","bottom",761.429513888889,"2024-04-12 12:13:00",761.430555555556,"f0037","m","low","2/01/2004",2,2004,"05/19/2022","4",32.1,32.1,31.8,NA,"W","med",83.32,NA,"","/01/2004",32,"may22","Ami","MD24-4",89.9361315126976,89936.1315126976,483.165591267314,0.00537231903508212,0.993606599148949,0.995298970891667,1.21169137493579e-101,1.01626325975544e-107,NA,NA,"MD24-may22",129.9,177.9,273.4,"y"
"MD23","MD23-1-mid",875.231144948271,92.2465624690858,"A. laurensis","bottom",730.422222222222,"2024-04-12 11:01:00",730.423263888889,"f0036","m","mid","1/01/2004",1,2004,"05/19/2022","1",33,32.3,32.1,NA,"N","med",83.32,NA,"","/01/2004",32.4666666666667,"may22","Ami","MD23-1",217.685318034201,217685.318034201,967.477707417357,0.00444438658589439,0.99933266264713,0.999390862191739,6.90077510633128e-148,1.03731608314473e-149,NA,NA,"MD23-may22",129.9,177.9,273.4,"y"
"MD23","MD23-2-low",875.231144948271,53.8088057308507,"A. laurensis","bottom",730.424594907407,"2024-04-12 11:01:00",730.425636574074,"f0036","m","low","1/01/2004",1,2004,"05/19/2022","2",34.6,33.8,33.8,NA,"E","med",83.32,NA,"","/01/2004",34.0666666666667,"may22","Ami","MD23-2",186.792902062045,186792.902062045,929.039950679122,0.00497363625931853,0.997433350062008,0.998925416364012,1.11674605691217e-119,6.96441837125927e-137,NA,NA,"MD23-may22",129.9,177.9,273.4,"y"
"MD23","MD23-4-low",875.231144948271,48.2963547437843,"A. laurensis","bottom",730.428587962963,"2024-04-12 11:01:00",730.42962962963,"f0036","m","low","1/01/2004",1,2004,"05/19/2022","4",29.4,29.6,29.6,NA,"W","med",83.32,NA,"","/01/2004",29.5333333333333,"may22","Ami","MD23-4",261.091551832855,261091.551832855,826.934790204487,0.00316722155274435,0.997769038764969,0.999254854562365,8.91197151227193e-124,1.10182492569084e-145,NA,NA,"MD23-may22",129.9,177.9,273.4,"y"
"MD42","MD42-1-mid",1538.08859934454,86.1974257708,"A. laurensis","bottom",1277.42083333333,"2024-04-12 09:59:00",1277.421875,"f0057","m","mid","7/01/2005",7,2005,"05/24/2022","1",35.6,33.6,33.1,NA,"N","sm",47.78,NA,"found nasute soldiers and ami workers in ami like mound","/01/2005",34.1,"may22","Ami","MD42-1",153.983914353057,153983.914353057,1451.89117357374,0.00942884962805153,0.998954211281431,0.998968854817759,2.02371073304783e-137,1.06536187554059e-137,NA,NA,"MD42-may22",129.9,177.9,273.4,"y"
"MD42","MD42-2-low",1538.08859934454,407.16855893722,"A. laurensis","bottom",1277.4228587963,"2024-04-12 09:59:00",1277.42390046296,"f0057","m","low","7/01/2005",7,2005,"05/24/2022","2",35.9,35.6,35.6,NA,"E","sm",47.78,NA,"found nasute soldiers and ami workers in ami like mound","/01/2005",35.7,"may22","Ami","MD42-2",157.94185212059,157941.85212059,1945.25715828176,0.0123162868623102,0.997349224189917,0.995980572493982,4.84464186129479e-119,8.15742525894004e-111,NA,NA,"MD42-may22",129.9,177.9,273.4,"y"
"MD42","MD42-3-mid",1538.08859934454,256.51433652631,"A. laurensis","bottom",1277.42476851852,"2024-04-12 09:59:00",1277.42581018519,"f0057","m","mid","7/01/2005",7,2005,"05/24/2022","3",35.4,33.7,34.6,NA,"S","sm",47.78,NA,"found nasute soldiers and ami workers in ami like mound","/01/2005",34.5666666666667,"may22","Ami","MD42-3",156.951175257769,156951.175257769,1794.60293587085,0.011434147803758,0.998240106742212,0.998340167631897,3.90147145557792e-127,2.71957897949284e-128,NA,NA,"MD42-may22",129.9,177.9,273.4,"y"
"MD59","MD59-2-low",6995.67187969661,5410.38011588099,"C. acinaciformis","top",1765.42314814815,"2024-04-12 13:39:00",1765.42418981481,"f0076","m","low","11/01/2006",11,2006,"05/26/2022","2",41.7,43.4,43.6,NA,"E","med",83.32,NA,"Extender","/01/2006",42.9,"may22","Copto","MD59-2",4832.54938686984,4832549.38686984,12406.0519955776,0.00256718576519573,0.999248110140019,0.999476979289854,6.11509858369823e-144,4.11099308483081e-151,NA,NA,"MD59-may22",129.9,177.9,273.4,"y"
"MD59","MD59-3-mid",6995.67187969661,3976.87937805106,"C. acinaciformis","top",1765.42511574074,"2024-04-12 13:39:00",1765.42615740741,"f0076","m","mid","11/01/2006",11,2006,"05/26/2022","3",40.1,43.6,44.4,NA,"S","med",83.32,NA,"Extender","/01/2006",42.7,"may22","Copto","MD59-3",1393.83112813785,1393831.12813785,3018.79250164555,0.00216582370755246,0.997563568703659,0.997349035805849,1.04486284847496e-120,4.86033260649445e-119,NA,NA,"MD59-may22",129.9,177.9,273.4,"y"
"MD59","MD59-5-top",6995.67187969661,2541.41219328839,"C. acinaciformis","top",1765.42916666667,"2024-04-12 13:39:00",1765.43020833333,"f0076","m","top","11/01/2006",11,2006,"05/26/2022","5",39,40,40,NA,"","med",83.32,NA,"Extender","/01/2006",39.6666666666667,"may22","Copto","MD59-5",1406.39572286344,1406395.72286344,4454.25968640822,0.00316714535887473,0.999205054041508,0.999197541480153,7.7047101838236e-143,1.18201992647584e-142,NA,NA,"MD59-may22",129.9,177.9,273.4,"y"
