"sample","extract_ID","Time_start","flux_start","fDOY_end","file","flux_source","position","measurement_day_alt","month_alt","year_alt","measurement_day_actual","tag","t0","t1","t2","t3","directon","chamber","chamber_SA_cm2","soil_moisture","notes","measurement_day_altyr","avg_respT","campaign","species","ID_measurement","flux.CO2","flux.CO2_umol","flux.CH4","CH4_CO2","R2.CO2","R2.CH4","p.CO2","p.CH4","fieldnotes","wall_thickness_mm","species_s","ID_mound","precip_1mo","precip_2mo","precip_3mo","variable_emitters"
"MD11","MD11-1-mid",365.422280092593,"2024-04-12 15:54:00",365.423321759259,"f0020","m","mid","1/01/2003",1,2003,"05/17/2022","1",31.8,30.8,30.7,NA,"N","med",83.32,NA,"Extender","/01/2003",31.1,"may22","Nasuti","MD11-1",1143.63511485451,1143635.11485451,12694.1223775335,0.011099801162671,0.999507796913692,0.999458799835568,5.72281824508475e-154,4.50241359907668e-152,NA,NA,"N. magnus","MD11-may22",129.9,177.9,273.4,"y"
"MD11","MD11-2-low",365.424305555556,"2024-04-12 15:54:00",365.425347222222,"f0020","m","low","1/01/2003",1,2003,"05/17/2022","2",29.6,29.7,30.8,NA,"E","med",83.32,NA,"Extender","/01/2003",30.0333333333333,"may22","Nasuti","MD11-2",302.612260338958,302612.260338958,3038.66688441661,0.0100414533139304,0.993778800650406,0.995665187846985,3.4980381770474e-102,2.5368636535948e-109,NA,NA,"N. magnus","MD11-may22",129.9,177.9,273.4,"y"
"MD11","MD11-3-mid",365.4265625,"2024-04-12 15:54:00",365.427604166667,"f0020","m","mid","1/01/2003",1,2003,"05/17/2022","3",30.1,30,30.1,NA,"S","med",83.32,NA,"Extender","/01/2003",30.0666666666667,"may22","Nasuti","MD11-3",553.160549293695,553160.549293695,5386.76040168019,0.00973814999742533,0.994859195237841,0.991431644864506,5.94616374152336e-106,7.41120623317892e-96,NA,NA,"N. magnus","MD11-may22",129.9,177.9,273.4,"y"
"MD11","MD11-4-low",365.428819444444,"2024-04-12 15:54:00",365.429861111111,"f0020","m","low","1/01/2003",1,2003,"05/17/2022","4",31.2,31.8,32.1,NA,"W","med",83.32,NA,"Extender","/01/2003",31.7,"may22","Nasuti","MD11-4",1364.13196625721,1364131.96625721,14782.7125955624,0.010836717386018,0.998917671942326,0.999190895542729,9.65577391581206e-137,1.72031219812219e-142,NA,NA,"N. magnus","MD11-may22",129.9,177.9,273.4,"y"
"MD11","MD11-5-top",365.430902777778,"2024-04-12 15:54:00",365.431944444444,"f0020","m","top","1/01/2003",1,2003,"05/17/2022","5",31.9,32.4,32.2,NA,"","med",83.32,NA,"Extender","/01/2003",32.1666666666667,"may22","Nasuti","MD11-5",622.829045992546,622829.045992546,8624.36275362464,0.0138470785990412,0.99863792169362,0.998474796886782,3.37062421602983e-132,5.79375553063757e-130,NA,NA,"N. magnus","MD11-may22",129.9,177.9,273.4,"y"
"MD14","MD14-1-mid",455.42337962963,"2024-04-12 10:43:00",455.424421296296,"f0025","m","mid","4/01/2003",4,2003,"05/18/2022","1",33.5,34.3,34.1,NA,"N","med",83.32,NA,"Extender, accidentally put a worker from mound 16 into this mound 14. both are suspected to be coptotermes","/01/2003",33.9666666666667,"may22","Copto","MD14-1",1838.42122476597,1838421.22476597,311.871059941526,0.000169640698083883,0.998186651699444,0.993613503214828,1.52232667887372e-126,1.15356022735724e-101,NA,NA,"C. acinaciformis","MD14-may22",129.9,177.9,273.4,"y"
"MD14","MD14-2-low",455.425694444444,"2024-04-12 10:43:00",455.426736111111,"f0025","m","low","4/01/2003",4,2003,"05/18/2022","2",33.1,29.9,29.8,NA,"E","med",83.32,NA,"Extender, accidentally put a worker from mound 16 into this mound 14. both are suspected to be coptotermes","/01/2003",30.9333333333333,"may22","Copto","MD14-2",1639.17817131165,1639178.17131165,391.913195174345,0.000239091272708165,0.982067619722429,0.985537980358874,2.92143762525239e-81,1.63960101824792e-85,NA,NA,"C. acinaciformis","MD14-may22",129.9,177.9,273.4,"y"
"MD14","MD14-3-mid",455.427893518519,"2024-04-12 10:43:00",455.428935185185,"f0025","m","mid","4/01/2003",4,2003,"05/18/2022","3",33.1,33.7,32.2,NA,"S","med",83.32,NA,"Extender, accidentally put a worker from mound 16 into this mound 14. both are suspected to be coptotermes","/01/2003",33,"may22","Copto","MD14-3",3482.0859230971,3482085.9230971,5506.98394853082,0.00158151868453398,0.999701687026812,0.999697800890937,5.67345871839192e-164,1.02900271554067e-163,NA,NA,"C. acinaciformis","MD14-may22",129.9,177.9,273.4,"y"
"MD14","MD14-4-low",455.429976851852,"2024-04-12 10:43:00",455.431018518518,"f0025","m","low","4/01/2003",4,2003,"05/18/2022","4",31.4,31.8,31.7,NA,"W","med",83.32,NA,"Extender, accidentally put a worker from mound 16 into this mound 14. both are suspected to be coptotermes","/01/2003",31.6333333333333,"may22","Copto","MD14-4",5631.31522280775,5631315.22280775,6789.49593104915,0.00120566788794749,0.997710673725539,0.998114602575753,6.14346326081957e-122,8.96312857364632e-126,NA,NA,"C. acinaciformis","MD14-may22",129.9,177.9,273.4,"y"
"MD14","MD14-5-top",455.433159722222,"2024-04-12 10:43:00",455.434201388889,"f0025","m","top","4/01/2003",4,2003,"05/18/2022","5",32.5,32.4,33,NA,"","med",83.32,NA,"Extender, accidentally put a worker from mound 16 into this mound 14. both are suspected to be coptotermes","/01/2003",32.6333333333333,"may22","Copto","MD14-5",1536.16181188515,1536161.81188515,1448.92188559622,0.000943209155693129,0.998068085035853,0.998764444918765,2.71701128780764e-125,3.99222503209243e-134,NA,NA,"C. acinaciformis","MD14-may22",129.9,177.9,273.4,"y"
