"species_s","campaign","mean_CH4flux","mean_CO2flux","sd_CH4flux","sd_CO2flux","count"
"A. laurensis","aug23",883.986983098649,77745.8221481017,1144.40099997778,46574.6881807417,8
"A. laurensis","feb24",1460.26330483339,143206.432465582,1212.47181192316,89504.8140198831,8
"A. laurensis","may22",2972.43154637226,202408.558045779,2605.77717331792,68281.1890242033,14
"A. laurensis","nov22",1480.52911613477,96209.3076048628,1297.12972277742,73009.3294510644,8
"C. acinaciformis","aug23",2836.02837319149,1225039.37845748,2661.30036998917,531726.034504485,8
"C. acinaciformis","feb24",1590.06981069739,1262014.01458562,1433.22115346324,418175.604801739,8
"C. acinaciformis","may22",1664.68216381872,1402182.03527866,1852.05837216255,787082.797004668,25
"C. acinaciformis","nov22",2496.96176126116,1627588.800981,1401.17782233095,508269.33235052,8
"N. magnus","aug23",5577.62257134929,393689.246986616,4089.09227868819,226589.341712208,8
"N. magnus","feb24",5325.52183648801,738530.342076205,3480.64799916457,577527.336003127,7
"N. magnus","may22",5164.09220129897,504719.401108464,2996.29771747139,222265.5689083,19
"N. magnus","nov22",4407.89639343791,381014.331806183,2890.25483437345,152782.326043815,8
