"Time_start","flux.CO2","R2.CO2","p.CO2","fDOY_end","file","sample","flux_source","position","flux_start","measurement_day_alt","month_alt","year_alt","measurement_day_actual","tag","t0","t1","t2","t3","directon","chamber","chamber_SA_cm2","soil_moisture","notes","measurement_day_altyr","avg_respT"
0.424722222222222,6.05601543825739,0.998577261032228,2.44752196031771e-131,0.425763888888889,"f0005","MD1","m","mid","10:11:06","1/01/2002",1,"2002","05/16/2022",1,38.6,35.6,36.3,NA,"N","med",83.32,NA,"","/01/2002",36.8333333333333
0.427268518518518,3.7160568614669,0.997790143958543,1.2309985797638e-122,0.428310185185185,"f0005","MD1","m","low","10:14:46","1/01/2002",1,"2002","05/16/2022",2,31.4,31.4,30.9,NA,"E","med",83.32,NA,"","/01/2002",31.2333333333333
0.429513888888889,5.0248393902874,0.999719486518558,2.0099301879746e-163,0.430555555555556,"f0005","MD1","m","mid","10:18:00","1/01/2002",1,"2002","05/16/2022",3,33.3,33,34.2,NA,"S","med",83.32,NA,"","/01/2002",33.5
0.43224537037037,2.32453421751922,0.994059181801127,4.29039405313999e-103,0.433287037037037,"f0005","MD1","m","low","10:21:56","1/01/2002",1,"2002","05/16/2022",4,41.4,42.5,41.8,NA,"W","med",83.32,NA,"","/01/2002",41.9
31.4209490740741,2.13635858153813,0.997647183047973,1.02901357679295e-122,31.4219907407407,"f0007","MD1","m","top","10:05:40","2/01/2002",2,"2002","05/16/2022",5,38.6,39.2,37.6,NA,"","med",83.32,NA,"","/01/2002",38.4666666666667
31.4247222222222,6.43253881157683,0.999101431361317,2.03235456369549e-140,31.4257638888889,"f0007","MD1","s","0","10:11:06","2/01/2002",2,"2002","05/16/2022",6,43.5,44.1,44.1,NA,"N","lg",183.85,NA,"","/01/2002",43.9
31.4268055555556,4.74173125020546,0.99587434639036,2.67316222846875e-110,31.4278472222222,"f0007","MD1","s","1","10:14:06","2/01/2002",2,"2002","05/16/2022",7,42.9,43.6,43.2,NA,"N","lg",183.85,NA,"","/01/2002",43.2333333333333
31.4290162037037,7.3508131711515,0.999163226787692,7.94433618192775e-142,31.4300578703704,"f0007","MD1","s","2","10:17:17","2/01/2002",2,"2002","05/16/2022",8,43.9,45,45,NA,"N","lg",183.85,NA,"","/01/2002",44.6333333333333
59.4191782407407,4.03281358133889,0.984611168010711,2.76935342760374e-84,59.4202199074074,"f0009","MD2","m","mid","10:03:07","3/01/2002",3,"2002","05/16/2022",1,36,36.4,36.2,NA,"N","med",83.32,NA,"","/01/2002",36.2
59.4215277777778,16.1202878882576,0.999482246723047,2.59373900541023e-151,59.4225694444444,"f0009","MD2","m","low","10:06:30","3/01/2002",3,"2002","05/16/2022",2,35,34.5,35.5,NA,"E","med",83.32,NA,"","/01/2002",35
59.4237847222222,7.97101199164661,0.999025092472259,8.30365507030907e-139,59.4248263888889,"f0009","MD2","m","mid","10:09:45","3/01/2002",3,"2002","05/16/2022",3,35.2,34.7,34.3,NA,"S","med",83.32,NA,"","/01/2002",34.7333333333333
59.4262152777778,11.4418169415722,0.999585456851479,1.04890852484451e-155,59.4272569444444,"f0009","MD2","m","low","10:13:15","3/01/2002",3,"2002","05/16/2022",4,34.9,34.4,34.5,NA,"W","med",83.32,NA,"","/01/2002",34.6
59.4286458333333,7.72962887877792,0.999577517862685,2.48654346451736e-155,59.4296875,"f0009","MD2","m","top","10:16:45","3/01/2002",3,"2002","05/16/2022",5,36.3,36.8,36.8,NA,"","med",83.32,NA,"","/01/2002",36.6333333333333
59.4313657407407,16.9234221639947,0.999624750685896,1.12943643074046e-157,59.4324074074074,"f0009","MD2","s","0","10:20:40","3/01/2002",3,"2002","05/16/2022",6,39,37.7,37.3,NA,"N","lg",183.85,NA,"","/01/2002",38
59.433912037037,7.5264353952497,0.998913116441585,1.16891976857884e-136,59.4349537037037,"f0009","MD2","s","1","10:24:20","3/01/2002",3,"2002","05/16/2022",7,34.8,34.8,34.9,NA,"N","lg",183.85,NA,"","/01/2002",34.8333333333333
59.4369212962963,7.52571288105977,0.998993553782301,1.11544032711623e-139,59.437962962963,"f0009","MD2","s","2","10:28:40","3/01/2002",3,"2002","05/16/2022",8,35.6,35.8,35.7,NA,"N","lg",183.85,NA,"","/01/2002",35.7
90.4214699074074,2.23008396137322,0.99830110868848,7.83649993796764e-128,90.4225115740741,"f0010","MD3","m","mid","10:06:25","4/01/2002",4,"2002","05/16/2022",1,31.8,31.7,31.8,NA,"N","med",83.32,NA,"","/01/2002",31.7666666666667
90.4236111111111,1.16818714976287,0.997699889278802,7.60822451593618e-122,90.4246527777778,"f0010","MD3","m","low","10:09:30","4/01/2002",4,"2002","05/16/2022",2,29.8,29.5,29.7,NA,"E","med",83.32,NA,"","/01/2002",29.6666666666667
90.4256365740741,0.766405098639976,0.995006500813734,1.58385940323475e-106,90.4266782407407,"f0010","MD3","m","low","10:12:25","4/01/2002",4,"2002","05/16/2022",3,30,30.4,30.6,NA,"S","med",83.32,NA,"","/01/2002",30.3333333333333
90.4277199074074,1.16105950663206,0.997613987049645,4.03502362101656e-121,90.4287615740741,"f0010","MD3","m","mid","10:15:25","4/01/2002",4,"2002","05/16/2022",4,32.6,32.6,32.5,NA,"W","med",83.32,NA,"","/01/2002",32.5666666666667
90.4303240740741,9.0261272536186,0.997669428416896,1.38440563900695e-121,90.4313657407407,"f0010","MD3","s","0","10:19:10","4/01/2002",4,"2002","05/16/2022",5,32.4,30.1,29.8,NA,"N","lg",183.85,NA,"","/01/2002",30.7666666666667
90.4328703703704,9.86642936253854,0.999696803067462,6.91463484218628e-162,90.433912037037,"f0010","MD3","s","1","10:22:50","4/01/2002",4,"2002","05/16/2022",6,30.4,30.8,31,NA,"N","lg",183.85,NA,"","/01/2002",30.7333333333333
90.4350115740741,11.6917741310803,0.999346735426706,1.01840256892358e-146,90.4360532407407,"f0010","MD3","s","2","10:25:55","4/01/2002",4,"2002","05/16/2022",7,29.9,30,30.2,NA,"N","lg",183.85,NA,"","/01/2002",30.0333333333333
120.381828703704,2.76539122028322,0.995836015535714,4.07171063771864e-110,120.38287037037,"f0011","MD4","m","mid","10:09:20","5/01/2002",5,"2002","05/16/2022",1,32.3,32.5,33.2,NA,"N","med",83.32,NA,"","/01/2002",32.6666666666667
120.384143518519,3.96421455473816,0.997211194467444,4.8792061445552e-118,120.385185185185,"f0011","MD4","m","low","10:12:40","5/01/2002",5,"2002","05/16/2022",2,30.1,30.1,29.9,NA,"E","med",83.32,NA,"","/01/2002",30.0333333333333
120.386342592593,10.771921495687,0.997004677246236,1.2590663322537e-116,120.387384259259,"f0011","MD4","m","mid","10:15:50","5/01/2002",5,"2002","05/16/2022",3,30.1,30.4,30.8,NA,"S","med",83.32,NA,"","/01/2002",30.4333333333333
120.388888888889,6.50312361491038,0.981122980155944,3.02166224260647e-80,120.389930555556,"f0011","MD4","m","low","10:19:30","5/01/2002",5,"2002","05/16/2022",4,30.7,31,31.2,NA,"W","med",83.32,NA,"","/01/2002",30.9666666666667
