"sample","Time_start","flux.CO2","R2.CO2","p.CO2","fDOY_end","file","flux_source","position","flux_start","measurement_day_alt","month_alt","year_alt","measurement_day_actual","tag","t0","t1","t2","t3","directon","chamber","chamber_SA_cm2","soil_moisture","notes","measurement_day_altyr","avg_respT","campaign","species"
"MD1",0.424722222222222,726.838146694354,0.998577261032229,2.44752196028293e-131,0.425763888888889,"f0005","m","mid","10:11:06","1/01/2002",1,"2002","05/16/2022",1,38.6,35.6,36.3,NA,"N","med",83.32,NA,"","/01/2002",36.8333333333333,"may22","Nasuti"
"MD1",0.427268518518518,445.998183085318,0.997790143958545,1.23099857971453e-122,0.428310185185185,"f0005","m","low","10:14:46","1/01/2002",1,"2002","05/16/2022",2,31.4,31.4,30.9,NA,"E","med",83.32,NA,"","/01/2002",31.2333333333333,"may22","Nasuti"
"MD1",0.429513888888889,603.077219189556,0.999719486518558,2.00993018799299e-163,0.430555555555556,"f0005","m","mid","10:18:00","1/01/2002",1,"2002","05/16/2022",3,33.3,33,34.2,NA,"S","med",83.32,NA,"","/01/2002",33.5,"may22","Nasuti"
"MD1",0.43224537037037,278.988744301397,0.994059181801126,4.29039405315901e-103,0.433287037037037,"f0005","m","low","10:21:56","1/01/2002",1,"2002","05/16/2022",4,41.4,42.5,41.8,NA,"W","med",83.32,NA,"","/01/2002",41.9,"may22","Nasuti"
"MD1",31.4209490740741,256.404054433062,0.997647183048081,1.02901357460603e-122,31.4219907407407,"f0007","m","top","10:05:40","2/01/2002",2,"2002","05/16/2022",5,38.6,39.2,37.6,NA,"","med",83.32,NA,"","/01/2002",38.4666666666667,"may22","Nasuti"
"MD1",31.4247222222222,349.879728668687,0.999101431361343,2.03235456104565e-140,31.4257638888889,"f0007","s","0","10:11:06","2/01/2002",2,"2002","05/16/2022",6,43.5,44.1,44.1,NA,"N","lg",183.85,NA,"","/01/2002",43.9,"may22","Nasuti"
"MD1",31.4268055555556,257.913040533306,0.99587434639037,2.67316222817319e-110,31.4278472222222,"f0007","s","1","10:14:06","2/01/2002",2,"2002","05/16/2022",7,42.9,43.6,43.2,NA,"N","lg",183.85,NA,"","/01/2002",43.2333333333333,"may22","Nasuti"
"MD1",31.4290162037037,399.826661471087,0.999163226787638,7.94433620526578e-142,31.4300578703704,"f0007","s","2","10:17:17","2/01/2002",2,"2002","05/16/2022",8,43.9,45,45,NA,"N","lg",183.85,NA,"","/01/2002",44.6333333333333,"may22","Nasuti"
"MD10",334.420659722222,394.525959594908,0.999444612215518,1.48052234460284e-151,334.421701388889,"f0019","m","low","10:05:15","12/01/2002",12,"2002","05/17/2022",1,32,32.2,32.3,NA,"N","med",83.32,NA,"colony overtaken by ants, ant sample taken","/01/2002",32.1666666666667,"may22","Ami"
"MD10",334.422858796296,239.493408672777,0.997482348708153,4.64580169868252e-120,334.423900462963,"f0019","m","mid","10:08:25","12/01/2002",12,"2002","05/17/2022",2,31.5,31.5,31.6,NA,"E","med",83.32,NA,"colony overtaken by ants, ant sample taken","/01/2002",31.5333333333333,"may22","Ami"
"MD10",334.42494212963,294.079969394032,0.998718882260823,2.07395910379188e-133,334.425983796296,"f0019","m","low","10:11:25","12/01/2002",12,"2002","05/17/2022",3,31.1,31.2,31.3,NA,"S","med",83.32,NA,"colony overtaken by ants, ant sample taken","/01/2002",31.2,"may22","Ami"
"MD10",334.427199074074,255.118604391267,0.998226220846467,5.57869803828327e-127,334.428240740741,"f0019","m","mid","10:14:40","12/01/2002",12,"2002","05/17/2022",4,31.9,32.2,32.3,NA,"W","med",83.32,NA,"colony overtaken by ants, ant sample taken","/01/2002",32.1333333333333,"may22","Ami"
"MD10",334.429513888889,472.579406062793,0.996208989463486,3.48660559691671e-113,334.430555555556,"f0019","s","0","10:18:00","12/01/2002",12,"2002","05/17/2022",5,32.5,32.2,32.2,NA,"N","lg",183.85,NA,"colony overtaken by ants, ant sample taken","/01/2002",32.3,"may22","Ami"
"MD10",334.431539351852,498.02867374863,0.999129984166973,4.67624027635927e-141,334.432581018519,"f0019","s","1","10:20:55","12/01/2002",12,"2002","05/17/2022",6,34.7,34.6,33.5,NA,"N","lg",183.85,NA,"colony overtaken by ants, ant sample taken","/01/2002",34.2666666666667,"may22","Ami"
"MD10",334.433969907407,341.801231120746,0.99683570556516,1.52931882853849e-115,334.435011574074,"f0019","s","2","10:24:25","12/01/2002",12,"2002","05/17/2022",7,30.2,30.8,31.3,NA,"N","lg",183.85,NA,"colony overtaken by ants, ant sample taken","/01/2002",30.7666666666667,"may22","Ami"
"MD11",365.422280092593,1143.63511485451,0.999507796913692,5.72281824508475e-154,365.423321759259,"f0020","m","mid","10:07:35","1/01/2003",1,"2003","05/17/2022",1,31.8,30.8,30.7,NA,"N","med",83.32,NA,"Extender","/01/2003",31.1,"may22","Nasuti"
"MD11",365.424305555556,302.612260338958,0.993778800650406,3.4980381770474e-102,365.425347222222,"f0020","m","low","10:10:30","1/01/2003",1,"2003","05/17/2022",2,29.6,29.7,30.8,NA,"E","med",83.32,NA,"Extender","/01/2003",30.0333333333333,"may22","Nasuti"
"MD11",365.4265625,553.160549293695,0.994859195237841,5.94616374152336e-106,365.427604166667,"f0020","m","mid","10:13:45","1/01/2003",1,"2003","05/17/2022",3,30.1,30,30.1,NA,"S","med",83.32,NA,"Extender","/01/2003",30.0666666666667,"may22","Nasuti"
"MD11",365.428819444444,1364.13196625721,0.998917671942326,9.65577391581206e-137,365.429861111111,"f0020","m","low","10:17:00","1/01/2003",1,"2003","05/17/2022",4,31.2,31.8,32.1,NA,"W","med",83.32,NA,"Extender","/01/2003",31.7,"may22","Nasuti"
"MD11",365.430902777778,622.829045992546,0.99863792169362,3.37062421602983e-132,365.431944444444,"f0020","m","top","10:20:00","1/01/2003",1,"2003","05/17/2022",5,31.9,32.4,32.2,NA,"","med",83.32,NA,"Extender","/01/2003",32.1666666666667,"may22","Nasuti"
"MD11",365.433506944444,540.373160415912,0.994730441467125,1.32313318033591e-106,365.434548611111,"f0020","s","0","10:23:45","1/01/2003",1,"2003","05/17/2022",6,30.9,30.5,30.5,NA,"N","lg",183.85,NA,"Extender","/01/2003",30.6333333333333,"may22","Nasuti"
"MD11",365.435648148148,334.504230317824,0.997864008828046,2.62093185004005e-123,365.436689814815,"f0020","s","1","10:26:50","1/01/2003",1,"2003","05/17/2022",7,31.5,32.2,32.6,NA,"N","lg",183.85,NA,"Extender","/01/2003",32.1,"may22","Nasuti"
"MD11",365.437847222222,437.35113982522,0.999227643957481,2.07533831431711e-143,365.438888888889,"f0020","s","2","10:30:00","1/01/2003",1,"2003","05/17/2022",8,31.7,33.1,32.3,NA,"N","lg",183.85,NA,"Extender","/01/2003",32.3666666666667,"may22","Nasuti"
"MD12",396.422511574074,3431.11456834239,0.994997937444701,1.71228719471499e-106,396.423553240741,"f0022","m","mid","10:07:55","2/01/2003",2,"2003","05/18/2022",1,25.7,24.3,24.2,NA,"N","med",83.32,NA,"Extender","/01/2003",24.7333333333333,"may22","Copto"
"MD12",396.424479166667,1647.75012985613,0.999664393814638,7.02361361427043e-160,396.425520833333,"f0022","m","low","10:10:45","2/01/2003",2,"2003","05/18/2022",2,24.3,24.3,24.6,NA,"E","med",83.32,NA,"Extender","/01/2003",24.4,"may22","Copto"
"MD12",396.426678240741,2953.77393428982,0.999821918341505,2.11075260581641e-172,396.427719907407,"f0022","m","mid","10:13:55","2/01/2003",2,"2003","05/18/2022",3,25,27.2,28.2,NA,"S","med",83.32,NA,"Extender","/01/2003",26.8,"may22","Copto"
"MD12",396.428703703704,1311.43573603675,0.998924119329279,7.35735603962151e-137,396.42974537037,"f0022","m","low","10:16:50","2/01/2003",2,"2003","05/18/2022",4,25.2,25.5,26,NA,"W","med",83.32,NA,"Extender","/01/2003",25.5666666666667,"may22","Copto"
