"sample","Time_start","flux_start","flux.CO2","R2.CO2","p.CO2","fDOY_end","file","flux_source","position","measurement_day_alt","month_alt","year_alt","measurement_day_actual","tag","t0","t1","t2","t3","directon","chamber","chamber_SA_cm2","soil_moisture","notes","measurement_day_altyr","avg_respT","campaign","species","ID_measurement"
"MD1",0.424722222222222,2024-04-12 12:04:00,726.838146694354,0.998577261032229,2.44752196028293e-131,0.425763888888889,"f0005","m","mid","1/01/2002",1,"2002","05/16/2022",1,38.6,35.6,36.3,NA,"N","med",83.32,NA,"","/01/2002",36.8333333333333,"may22","Nasuti","MD1-1"
"MD1",0.427268518518518,2024-04-12 12:04:00,445.998183085318,0.997790143958545,1.23099857971453e-122,0.428310185185185,"f0005","m","low","1/01/2002",1,"2002","05/16/2022",2,31.4,31.4,30.9,NA,"E","med",83.32,NA,"","/01/2002",31.2333333333333,"may22","Nasuti","MD1-2"
"MD1",0.429513888888889,2024-04-12 12:04:00,603.077219189556,0.999719486518558,2.00993018799299e-163,0.430555555555556,"f0005","m","mid","1/01/2002",1,"2002","05/16/2022",3,33.3,33,34.2,NA,"S","med",83.32,NA,"","/01/2002",33.5,"may22","Nasuti","MD1-3"
"MD1",0.43224537037037,2024-04-12 12:04:00,278.988744301397,0.994059181801126,4.29039405315901e-103,0.433287037037037,"f0005","m","low","1/01/2002",1,"2002","05/16/2022",4,41.4,42.5,41.8,NA,"W","med",83.32,NA,"","/01/2002",41.9,"may22","Nasuti","MD1-4"
"MD1",31.4209490740741,2024-04-12 12:04:00,256.404054433062,0.997647183048081,1.02901357460603e-122,31.4219907407407,"f0007","m","top","2/01/2002",2,"2002","05/16/2022",5,38.6,39.2,37.6,NA,"","med",83.32,NA,"","/01/2002",38.4666666666667,"may22","Nasuti","MD1-5"
"MD1",31.4247222222222,2024-04-12 12:04:00,349.879728668687,0.999101431361343,2.03235456104565e-140,31.4257638888889,"f0007","s","0","2/01/2002",2,"2002","05/16/2022",6,43.5,44.1,44.1,NA,"N","lg",183.85,NA,"","/01/2002",43.9,"may22","Nasuti","MD1-6"
"MD1",31.4268055555556,2024-04-12 12:04:00,257.913040533306,0.99587434639037,2.67316222817319e-110,31.4278472222222,"f0007","s","1","2/01/2002",2,"2002","05/16/2022",7,42.9,43.6,43.2,NA,"N","lg",183.85,NA,"","/01/2002",43.2333333333333,"may22","Nasuti","MD1-7"
"MD1",31.4290162037037,2024-04-12 12:04:00,399.826661471087,0.999163226787638,7.94433620526578e-142,31.4300578703704,"f0007","s","2","2/01/2002",2,"2002","05/16/2022",8,43.9,45,45,NA,"N","lg",183.85,NA,"","/01/2002",44.6333333333333,"may22","Nasuti","MD1-8"
"MD10",334.420659722222,2024-04-12 15:01:00,394.525959594908,0.999444612215518,1.48052234460284e-151,334.421701388889,"f0019","m","low","12/01/2002",12,"2002","05/17/2022",1,32,32.2,32.3,NA,"N","med",83.32,NA,"colony overtaken by ants, ant sample taken","/01/2002",32.1666666666667,"may22","Ami","MD10-1"
"MD10",334.422858796296,2024-04-12 15:01:00,239.493408672777,0.997482348708153,4.64580169868252e-120,334.423900462963,"f0019","m","mid","12/01/2002",12,"2002","05/17/2022",2,31.5,31.5,31.6,NA,"E","med",83.32,NA,"colony overtaken by ants, ant sample taken","/01/2002",31.5333333333333,"may22","Ami","MD10-2"
"MD10",334.42494212963,2024-04-12 15:01:00,294.079969394032,0.998718882260823,2.07395910379188e-133,334.425983796296,"f0019","m","low","12/01/2002",12,"2002","05/17/2022",3,31.1,31.2,31.3,NA,"S","med",83.32,NA,"colony overtaken by ants, ant sample taken","/01/2002",31.2,"may22","Ami","MD10-3"
"MD10",334.427199074074,2024-04-12 15:01:00,255.118604391267,0.998226220846467,5.57869803828327e-127,334.428240740741,"f0019","m","mid","12/01/2002",12,"2002","05/17/2022",4,31.9,32.2,32.3,NA,"W","med",83.32,NA,"colony overtaken by ants, ant sample taken","/01/2002",32.1333333333333,"may22","Ami","MD10-4"
"MD10",334.429513888889,2024-04-12 15:01:00,472.579406062793,0.996208989463486,3.48660559691671e-113,334.430555555556,"f0019","s","0","12/01/2002",12,"2002","05/17/2022",5,32.5,32.2,32.2,NA,"N","lg",183.85,NA,"colony overtaken by ants, ant sample taken","/01/2002",32.3,"may22","Ami","MD10-5"
"MD10",334.431539351852,2024-04-12 15:01:00,498.02867374863,0.999129984166973,4.67624027635927e-141,334.432581018519,"f0019","s","1","12/01/2002",12,"2002","05/17/2022",6,34.7,34.6,33.5,NA,"N","lg",183.85,NA,"colony overtaken by ants, ant sample taken","/01/2002",34.2666666666667,"may22","Ami","MD10-6"
"MD10",334.433969907407,2024-04-12 15:01:00,341.801231120746,0.99683570556516,1.52931882853849e-115,334.435011574074,"f0019","s","2","12/01/2002",12,"2002","05/17/2022",7,30.2,30.8,31.3,NA,"N","lg",183.85,NA,"colony overtaken by ants, ant sample taken","/01/2002",30.7666666666667,"may22","Ami","MD10-7"
"MD11",365.422280092593,2024-04-12 15:54:00,1143.63511485451,0.999507796913692,5.72281824508475e-154,365.423321759259,"f0020","m","mid","1/01/2003",1,"2003","05/17/2022",1,31.8,30.8,30.7,NA,"N","med",83.32,NA,"Extender","/01/2003",31.1,"may22","Nasuti","MD11-1"
"MD11",365.424305555556,2024-04-12 15:54:00,302.612260338958,0.993778800650406,3.4980381770474e-102,365.425347222222,"f0020","m","low","1/01/2003",1,"2003","05/17/2022",2,29.6,29.7,30.8,NA,"E","med",83.32,NA,"Extender","/01/2003",30.0333333333333,"may22","Nasuti","MD11-2"
