"chunk","species","ID","material","all_mass_g","mass_mound_material_g","mass_termite_g","flux.CH4","sd.CH4","R2.CH4","p.CH4","Time_start","fDOY_end","flux.CO2","sd.CO2","R2.CO2","p.CO2","TEF_umol_g_d","MEF_umol_g_d","AEF_umol_g_d","TRF_mmol_g_d","MRF_mmol_g_d","ARF_mmol_g_d","ID_measurement","TEF_ug_g_h"
2,"ami","NT04","A",838.77,0,0,2.81670042431861,0.00918068342127507,0.998059666864047,4.08526177101434e-250,51.5551736111111,51.5572569444444,0.0933367025302835,0.00265278274746621,0.871212516474115,2.25503073126583e-83,NA,NA,0.00335813205565127,NA,NA,0.000111278064940667,"NT04-A",NA
2,"ami","NT05","T",0,0,3.17,3.1736510552301,0.0228092962724302,0.990635803159832,1.45109519346936e-187,51.6926851851852,51.6947685185185,0.121523936345905,0.00454902997534966,0.795907282529661,4.65915397195844e-65,1.00115175243852,NA,NA,0.0383356266075409,NA,NA,"NT05-T",0.669103087879743
2,"ami","NT06","M",0,835.6,0,0,0,0,0,51.6972800925926,51.6993634259259,0.0183661045865994,0.000746443270938134,0.767883532632199,6.14980584202072e-60,NA,3.2202505625306e-06,NA,NA,2.19795411519858e-05,NA,"NT06-M",NA
6,"ami","NT14","A",1069.8,0,0,5.75596011062806,0.0158083294293207,0.998621558209863,1.05793493718488e-263,58.4275694444444,58.4296527777778,0.902184293473562,0.00418435557264844,0.996078868050193,3.69924784550695e-222,NA,NA,0.00538040765622365,NA,NA,0.000843320521100731,"NT14-A",NA
6,"ami","NT15","T",0,0,5.5,5.20094089679732,0.0146273979562383,0.998554582807805,8.12477205483185e-262,58.5180208333333,58.5201041666667,0.3108157023951,0.00369548023962072,0.974782915995606,3.39380372916811e-148,0.945625617599512,NA,NA,0.0565119458900182,NA,NA,"NT15-T",0.631993121095674
6,"ami","NT16","M",0,1064.3,0,0.203544691417954,0.00696869087852035,0.822587986210653,5.21538169573372e-71,58.5237615740741,58.5258449074074,0.70138744776192,0.00224775875546377,0.998113827916771,1.32686701166331e-252,NA,0.000191247478547359,NA,NA,0.000659012917186808,NA,"NT16-M",NA
7,"ami","NT17","A",837.6,0,0,8.68814807866405,0.0167799722205175,0.999314120388048,5.05701991188073e-293,58.5514236111111,58.5535069444444,0.508023550869677,0.00360143502123057,0.990837714354583,1.88482198430326e-189,NA,NA,0.0103726696259122,NA,NA,0.000606522863980035,"NT17-A",NA
7,"ami","NT18","T",0,0,13.09,9.08319585182895,0.0131173238618247,0.999618496524564,9.49108386201259e-315,58.6904166666667,58.6925,0.689085089090465,0.00511831213304517,0.990004692207234,5.67059529640638e-185,0.693903426419324,NA,NA,0.052642100006911,NA,NA,"NT18-T",0.463758789990248
7,"ami","NT19","M",0,824.51,0,0.178082662934138,0.0123657640539619,0.531245767779614,6.26486758457657e-32,58.6938541666667,58.6959375,0.100464047221473,0.00406447776058624,0.76950941465077,3.22909517261282e-60,NA,0.00021598605588063,NA,NA,0.00012184697240964,NA,"NT19-M",NA
8,"nas","NT21","A",4.65,0,0,2.74988467079091,0.018388359638004,0.991883500360068,3.01380032969707e-193,60.4042708333333,60.4063541666667,0.251902633928994,0.00498669088500962,0.933083807553279,2.09459213433344e-109,NA,NA,0.591373047481916,NA,NA,0.0541726094470955,"NT21-A",NA
8,"nas","NT22","T",0,0,4.65,2.57594264032508,0.010904273248336,0.99673148605139,2.15715221102678e-229,60.4767361111111,60.4788194444444,0.842449862024736,0.00239799251129636,0.998519477034839,7.30172619901572e-261,0.553966159209695,NA,NA,0.181172013338653,NA,NA,"NT22-T",0.370234049738479
