"sample","ID_mound","species_s","mean_mound_fluxCH4","mean_mound_fluxCO2","mean_mound_fluxCH4_CO2","campaign","wall_thickness_mm","temp","precip_1mo","precip_2mo","precip_3mo","sa_m2_final","volume_m3_final","basal_area_m2","perimeter_m","mound_CH4flux","mound_CO2flux"
"MD1","MD1-may22","N. magnus",5442.79223378095,462261.269540737,0.0118209164402546,"may22",NA,36.3866666666667,129.9,177.9,273.4,8.469571,1.71025,1.1,4.11,46098.1152622563,3915154.64292541
"MD10","MD10-aug23","A. laurensis",1014.09466425891,106583.787339228,0.00961390687362196,"aug23",NA,28.3666666666666,17.1,26.1,30.1,0.647758,0.00845,0.16,1.53,656.887931531024,69040.5009192835
"MD10","MD10-may22","A. laurensis",3623.04756103445,295804.485513246,0.0127301656711966,"may22",NA,31.7583333333333,129.9,177.9,273.4,0.647758,0.00845,0.16,1.53,2346.85804204055,191609.721927089
"MD10","MD10-nov22","A. laurensis",294.922396951585,-3033.20330069086,0.00630055426085405,"nov22",NA,39.5083333333333,28,28,64.6,0.647758,0.00845,0.16,1.53,191.038342004565,-1964.78170364891
"MD10","MD10-feb24","A. laurensis",2211.96547495457,182108.878338059,0.0130971642988176,"feb24",8.3375,38.175,160.2,580.6,1356.2,0.647758,0.00845,0.16,1.53,1432.81833212563,117962.482814505
"MD11","MD11-aug23","N. magnus",6196.6859121767,523568.432004763,0.0118611416721357,"aug23",NA,28.7533333333333,17.1,26.1,30.1,5.379335,0.83445,1.3,4.21,33334.0494113791,2816449.99117834
"MD11","MD11-feb24","N. magnus",10017.3568910573,761906.906677161,0.0139420763372119,"feb24",14.466,38.2733333333333,160.2,580.6,1356.2,5.379335,0.83445,1.3,4.21,53886.7185315556,4098552.48983018
"MD11","MD11-may22","N. magnus",8905.32500256347,797273.787347384,0.0111126400918172,"may22",NA,31.0133333333333,129.9,177.9,273.4,5.379335,0.83445,1.3,4.21,47904.7264726648,4288802.78886034
"MD11","MD11-nov22","N. magnus",5901.58461260662,459039.471915819,0.0122788588471474,"nov22",NA,39.72,28,28,64.6,5.379335,0.83445,1.3,4.21,31746.6006620562,2469327.09765828
"MD12","MD12-may22","C. acinaciformis",1061.98215319242,2160407.62941256,0.000434672235623283,"may22",NA,25.6133333333333,129.9,177.9,273.4,3.381063,0.66915,1.6,4.61,3590.62856481924,7304474.30072451
"MD13","MD13-may22","C. acinaciformis",1822.60260596366,841965.171076044,0.00214683621275522,"may22",NA,29.6933333333333,129.9,177.9,273.4,1.328431,0.15715,0.68,2.97,2421.20180244292,1118492.63417772
"MD14","MD14-may22","C. acinaciformis",2889.83720405841,2825432.47077352,0.000827825539793329,"may22",NA,32.4333333333333,129.9,177.9,273.4,4.52089,0.86985,1.7,4.76,13064.6361174556,12773469.4027953
"MD15","MD15-feb24","A. laurensis",2260.07290823498,147414.828882667,-0.0285005421446466,"feb24",8.4725,30.875,160.2,580.6,1356.2,0.338234,0.01305,0.1,1.2,764.43350004395,49860.7072323001
"MD15","MD15-may22","A. laurensis",5643.0816660282,193643.279608173,0.124502298253889,"may22",NA,37.6666666666667,129.9,177.9,273.4,0.338234,0.01305,0.1,1.2,1908.68208422738,65496.7410349907
"MD15","MD15-nov22","A. laurensis",291.611850933898,41465.9469823629,0.0049561617876521,"nov22",NA,39.9083333333334,28,28,64.6,0.338234,0.01305,0.1,1.2,98.6330427887761,14025.1931116325
"MD15","MD15-aug23","A. laurensis",209.17801385985,52633.9788918966,0.00375838433544777,"aug23",NA,21.6666666666667,17.1,26.1,30.1,0.338234,0.01305,0.1,1.2,70.7511163398724,17802.6012165218
"MD16","MD16-may22","C. acinaciformis",1251.60983389389,1273109.23437229,0.000780560387428058,"may22",NA,35.4533333333333,129.9,177.9,273.4,5.406955,1.43535,2.8,6.21,6767.39804942175,6883644.34033545
"MD2","MD2-may22","C. acinaciformis",1753.33799379152,1135275.06676819,0.00163908960910294,"may22",NA,35.4333333333333,129.9,177.9,273.4,2.266276,0.34735,1.1,3.83,3973.54781521787,2572846.63721514
"MD2","MD2-nov22","C. acinaciformis",3686.98256280289,1438396.12757897,0.00246653891970848,"nov22",NA,42.4533333333333,28,28,64.6,2.266276,0.34735,1.1,3.83,8355.72009449869,3259802.62242515
"MD2","MD2-aug23","C. acinaciformis",2051.95232069639,676672.5635437,0.00272239540697306,"aug23",NA,29.18,17.1,26.1,30.1,2.266276,0.34735,1.1,3.83,4650.29029753854,1533526.79061756
"MD2","MD2-feb24","C. acinaciformis",3743.1865419349,1814961.15357569,0.00185237626445335,"feb24",74.326,34.4333333333333,160.2,580.6,1356.2,2.266276,0.34735,1.1,3.83,8483.09382351006,4113202.9032809
"MD21","MD21-may22","A. laurensis",975.739563492915,160098.189137269,0.00596544508946183,"may22",NA,28.4777777777778,129.9,177.9,273.4,0.483553,0.02205,0.12,1.31,471.821793145689,77415.9596518938
"MD21","MD21-nov22","A. laurensis",1453.88255637049,109729.142309585,0.0119073537794721,"nov22",NA,36.5416666666667,28,28,64.6,0.483553,0.02205,0.12,1.31,703.029271780619,53059.8559512267
"MD22","MD22-aug23","A. laurensis",39.7120433589738,30577.3221054964,0.00120083376075521,"aug23",NA,26.7166666666667,17.1,26.1,30.1,0.783887,0.04835,0.09,1.09,31.1297545325359,23969.1652933112
"MD22","MD22-feb24","A. laurensis",132.085634034092,7988.4915773487,0.00128544382789461,"feb24",5.8025,37.075,160.2,580.6,1356.2,0.783887,0.04835,0.09,1.09,103.540211406082,6262.07469709314
"MD22","MD22-may22","A. laurensis",831.873115082645,195603.180823377,0.0042825745742189,"may22",NA,28.6666666666667,129.9,177.9,273.4,0.783887,0.04835,0.09,1.09,652.094520562789,153330.790606094
"MD23","MD23-may22","A. laurensis",875.231144948271,202479.069529746,0.00449284894098959,"may22",NA,31.425,129.9,177.9,273.4,0.850966,0.04965,0.12,1.3,744.79194649205,172302.80388145
"MD24","MD24-feb24","A. laurensis",691.590028795004,43918.2260063155,0.0147460786171694,"feb24",5.2325,37.05,160.2,580.6,1356.2,0.884771,0.04315,0.09,1.12,611.898801366985,38857.5727418338
"MD24","MD24-nov22","A. laurensis",483.162788419372,52492.2784323407,0.0101613639691491,"nov22",NA,37.475,28,28,64.6,0.884771,0.04315,0.09,1.12,427.488423472596,46443.6456808605
"MD24","MD24-aug23","A. laurensis",195.134975708151,38056.9871345978,0.00494356722123586,"aug23",NA,25.2333333333333,17.1,26.1,30.1,0.884771,0.04315,0.09,1.12,172.649767592277,33671.7185640652
"MD24","MD24-may22","A. laurensis",711.905554498981,118167.402045699,0.00591148182118445,"may22",NA,33.1166666666666,129.9,177.9,273.4,0.884771,0.04315,0.09,1.12,629.873389359617,104551.090475375
"MD25","MD25-feb24","N. magnus",1276.49762279234,317999.425020634,0.00426870169826566,"feb24",7.368,39.8533333333333,160.2,580.6,1356.2,2.920115,0.48075,2.1,5.31,3727.51985578025,928594.890994128
"MD25","MD25-may22","N. magnus",3244.6045205984,634807.432357205,0.0051133794449317,"may22",NA,34.54,129.9,177.9,273.4,2.920115,0.48075,2.1,5.31,9474.61832966721,1853710.70533776
"MD25","MD25-aug23","N. magnus",1699.62773920432,198064.323081444,0.0080306453751333,"aug23",NA,29.0933333333333,17.1,26.1,30.1,2.920115,0.48075,2.1,5.31,4963.10845566662,578370.60079497
"MD25","MD25-nov22","N. magnus",1299.55510497832,308696.763343223,0.0041305231567201,"nov22",NA,44.4133333333333,28,28,64.6,2.920115,0.48075,2.1,5.31,3794.85035537378,901430.049089995
"MD26","MD26-feb24","C. acinaciformis",3795.95080711004,952079.185925684,0.00354210749833339,"feb24",63.754,41.0066666666667,160.2,580.6,1356.2,4.697676,0.46915,2.6,5.92,17832.1470037415,4472559.54182263
"MD26","MD26-may22","C. acinaciformis",5531.28918834306,2351685.16441203,0.0025346525465838,"may22",NA,35.7,129.9,177.9,273.4,4.697676,0.46915,2.6,5.92,25984.2044691387,11047454.9564144
"MD26","MD26-aug23","C. acinaciformis",7077.6481288358,1765924.42039504,0.00392188768445794,"aug23",NA,28.94,17.1,26.1,30.1,4.697676,0.46915,2.6,5.92,33248.4977512769,8295740.76750369
"MD26","MD26-nov22","C. acinaciformis",4419.56617311429,1718781.6591711,0.00288742901670919,"nov22",NA,54.96,28,28,64.6,4.697676,0.46915,2.6,5.92,20761.6899418509,8074279.34952824
"MD27","MD27-feb24","C. acinaciformis",1554.32774058811,1514968.48204674,0.00106354658225124,"feb24",65.992,43.2333333333333,160.2,580.6,1356.2,4.702802,0.91865,1.5,4.49,7309.69560709323,7124596.80730639
"MD27","MD27-may22","C. acinaciformis",2850.33879156727,1585155.04095737,0.0018911682055723,"may22",NA,30.6866666666667,129.9,177.9,273.4,4.702802,0.91865,1.5,4.49,13404.5789696601,7454670.29692441
"MD27","MD27-nov22","C. acinaciformis",2826.04327892096,1529916.48317889,0.00180882315599288,"nov22",NA,36.0333333333334,28,28,64.6,4.702802,0.91865,1.5,4.49,13290.321984196,7194894.29692664
"MD27","MD27-aug23","C. acinaciformis",4459.50910304436,1020838.69211516,0.00424944944752239,"aug23",NA,23.8066666666667,17.1,26.1,30.1,4.702802,0.91865,1.5,4.49,20972.1883288152,4800802.24295654
