"sample","Time_start","flux_start","fDOY_end","file","flux_source","position","measurement_day_alt","month_alt","year_alt","measurement_day_actual","tag","t0","t1","t2","t3","directon","chamber","chamber_SA_cm2","soil_moisture","notes","measurement_day_altyr","avg_respT","campaign","species","ID_measurement","flux.CO2","flux.CO2_umol","flux.CH4","CH4_CO2","R2.CO2","R2.CH4","p.CO2","p.CH4","fieldnotes","wall_thickness_mm","species_s","ID_mound","precip_1mo","precip_2mo","precip_3mo"
"MD10",334.420659722222,"2024-04-12 15:01:00",334.421701388889,"f0019","m","low","12/01/2002",12,2002,"05/17/2022",1,32,32.2,32.3,NA,"N","med",83.32,NA,"colony overtaken by ants, ant sample taken","/01/2002",32.1666666666667,"may22","Ami","MD10-1",394.525959594908,394525.959594908,4111.91423659021,0.0104224174267575,0.999444612215518,0.999768062838927,1.48052234460284e-151,5.32048014090525e-169,NA,NA,"A. laurensis","MD10-may22",129.9,177.9,273.4
"MD10",334.422858796296,"2024-04-12 15:01:00",334.423900462963,"f0019","m","mid","12/01/2002",12,2002,"05/17/2022",2,31.5,31.5,31.6,NA,"E","med",83.32,NA,"colony overtaken by ants, ant sample taken","/01/2002",31.5333333333333,"may22","Ami","MD10-2",239.493408672777,239493.408672777,4034.77095723337,0.0168471064802712,0.997482348708153,0.999197065191704,4.64580169868252e-120,1.21436694890108e-142,NA,NA,"A. laurensis","MD10-may22",129.9,177.9,273.4
"MD10",334.42494212963,"2024-04-12 15:01:00",334.425983796296,"f0019","m","low","12/01/2002",12,2002,"05/17/2022",3,31.1,31.2,31.3,NA,"S","med",83.32,NA,"colony overtaken by ants, ant sample taken","/01/2002",31.2,"may22","Ami","MD10-3",294.079969394032,294079.969394032,2352.40284675975,0.00799919440826591,0.998718882260823,0.999596814724191,2.07395910379188e-133,2.96328992029377e-156,NA,NA,"A. laurensis","MD10-may22",129.9,177.9,273.4
"MD10",334.427199074074,"2024-04-12 15:01:00",334.428240740741,"f0019","m","mid","12/01/2002",12,2002,"05/17/2022",4,31.9,32.2,32.3,NA,"W","med",83.32,NA,"colony overtaken by ants, ant sample taken","/01/2002",32.1333333333333,"may22","Ami","MD10-4",255.118604391267,255118.604391267,3993.10220355445,0.0156519443694916,0.998226220846467,0.998052127963954,5.57869803828327e-127,3.95038829481196e-125,NA,NA,"A. laurensis","MD10-may22",129.9,177.9,273.4
"MD10",334.429513888889,"2024-04-12 15:01:00",334.430555555556,"f0019","s","0","12/01/2002",12,2002,"05/17/2022",5,32.5,32.2,32.2,NA,"N","lg",183.85,NA,"colony overtaken by ants, ant sample taken","/01/2002",32.3,"may22","Ami","MD10-5",472.579406062793,472579.406062793,-42.5328693896486,-9.00015295715132e-05,0.996208989463486,0.514177942235109,3.48660559691671e-113,4.33509567854274e-16,NA,NA,"A. laurensis","MD10-may22",129.9,177.9,273.4
"MD10",334.431539351852,"2024-04-12 15:01:00",334.432581018519,"f0019","s","1","12/01/2002",12,2002,"05/17/2022",6,34.7,34.6,33.5,NA,"N","lg",183.85,NA,"colony overtaken by ants, ant sample taken","/01/2002",34.2666666666667,"may22","Ami","MD10-6",498.02867374863,498028.67374863,13.8969738645423,2.79039633600625e-05,0.999129984166973,0.155167653395709,4.67624027635927e-141,9.36168489777052e-05,NA,NA,"A. laurensis","MD10-may22",129.9,177.9,273.4
"MD10",334.433969907407,"2024-04-12 15:01:00",334.435011574074,"f0019","s","2","12/01/2002",12,2002,"05/17/2022",7,30.2,30.8,31.3,NA,"N","lg",183.85,NA,"colony overtaken by ants, ant sample taken","/01/2002",30.7666666666667,"may22","Ami","MD10-7",341.801231120746,341801.231120746,-34.0787843971658,-9.97035156527186e-05,0.99683570556516,0.408418287195387,1.52931882853849e-115,5.44276888440201e-12,NA,NA,"A. laurensis","MD10-may22",129.9,177.9,273.4
"MD11",365.422280092593,"2024-04-12 15:54:00",365.423321759259,"f0020","m","mid","1/01/2003",1,2003,"05/17/2022",1,31.8,30.8,30.7,NA,"N","med",83.32,NA,"Extender","/01/2003",31.1,"may22","Nasuti","MD11-1",1143.63511485451,1143635.11485451,12694.1223775335,0.011099801162671,0.999507796913692,0.999458799835568,5.72281824508475e-154,4.50241359907668e-152,NA,NA,"N. magnus","MD11-may22",129.9,177.9,273.4
"MD11",365.424305555556,"2024-04-12 15:54:00",365.425347222222,"f0020","m","low","1/01/2003",1,2003,"05/17/2022",2,29.6,29.7,30.8,NA,"E","med",83.32,NA,"Extender","/01/2003",30.0333333333333,"may22","Nasuti","MD11-2",302.612260338958,302612.260338958,3038.66688441661,0.0100414533139304,0.993778800650406,0.995665187846985,3.4980381770474e-102,2.5368636535948e-109,NA,NA,"N. magnus","MD11-may22",129.9,177.9,273.4
"MD11",365.4265625,"2024-04-12 15:54:00",365.427604166667,"f0020","m","mid","1/01/2003",1,2003,"05/17/2022",3,30.1,30,30.1,NA,"S","med",83.32,NA,"Extender","/01/2003",30.0666666666667,"may22","Nasuti","MD11-3",553.160549293695,553160.549293695,5386.76040168019,0.00973814999742533,0.994859195237841,0.991431644864506,5.94616374152336e-106,7.41120623317892e-96,NA,NA,"N. magnus","MD11-may22",129.9,177.9,273.4
"MD11",365.428819444444,"2024-04-12 15:54:00",365.429861111111,"f0020","m","low","1/01/2003",1,2003,"05/17/2022",4,31.2,31.8,32.1,NA,"W","med",83.32,NA,"Extender","/01/2003",31.7,"may22","Nasuti","MD11-4",1364.13196625721,1364131.96625721,14782.7125955624,0.010836717386018,0.998917671942326,0.999190895542729,9.65577391581206e-137,1.72031219812219e-142,NA,NA,"N. magnus","MD11-may22",129.9,177.9,273.4
"MD11",365.430902777778,"2024-04-12 15:54:00",365.431944444444,"f0020","m","top","1/01/2003",1,2003,"05/17/2022",5,31.9,32.4,32.2,NA,"","med",83.32,NA,"Extender","/01/2003",32.1666666666667,"may22","Nasuti","MD11-5",622.829045992546,622829.045992546,8624.36275362464,0.0138470785990412,0.99863792169362,0.998474796886782,3.37062421602983e-132,5.79375553063757e-130,NA,NA,"N. magnus","MD11-may22",129.9,177.9,273.4
"MD11",365.433506944444,"2024-04-12 15:54:00",365.434548611111,"f0020","s","0","1/01/2003",1,2003,"05/17/2022",6,30.9,30.5,30.5,NA,"N","lg",183.85,NA,"Extender","/01/2003",30.6333333333333,"may22","Nasuti","MD11-6",540.373160415912,540373.160415912,19.4559484731048,3.60046536325565e-05,0.994730441467125,0.146748519578679,1.32313318033591e-106,0.000138502606168095,NA,NA,"N. magnus","MD11-may22",129.9,177.9,273.4
"MD11",365.435648148148,"2024-04-12 15:54:00",365.436689814815,"f0020","s","1","1/01/2003",1,2003,"05/17/2022",7,31.5,32.2,32.6,NA,"N","lg",183.85,NA,"Extender","/01/2003",32.1,"may22","Nasuti","MD11-7",334.504230317824,334504.230317824,0,0,0.997864008828046,0,2.62093185004005e-123,0,NA,NA,"N. magnus","MD11-may22",129.9,177.9,273.4
"MD11",365.437847222222,"2024-04-12 15:54:00",365.438888888889,"f0020","s","2","1/01/2003",1,2003,"05/17/2022",8,31.7,33.1,32.3,NA,"N","lg",183.85,NA,"Extender","/01/2003",32.3666666666667,"may22","Nasuti","MD11-8",437.35113982522,437351.13982522,-37.1435782680128,-8.49285045486714e-05,0.999227643957481,0.551173370537032,2.07533831431711e-143,1.64601761174421e-17,NA,NA,"N. magnus","MD11-may22",129.9,177.9,273.4
"MD15",485.422685185185,"2024-04-12 12:07:00",485.423726851852,"f0026","m","mid","5/01/2003",5,2003,"05/18/2022",1,38.3,39.5,39.8,NA,"N","med",83.32,NA,"","/01/2003",39.2,"may22","Ami","MD15-1",369.704139837204,369704.139837204,7252.99879199894,0.0196183867326796,0.990762992158596,0.995184502977961,2.16410554060811e-95,2.09596161209055e-108,NA,NA,"A. laurensis","MD15-may22",129.9,177.9,273.4
"MD15",485.424594907407,"2024-04-12 12:07:00",485.425636574074,"f0026","m","mid","5/01/2003",5,2003,"05/18/2022",2,36.7,35.9,35.8,NA,"S","med",83.32,NA,"","/01/2003",36.1333333333333,"may22","Ami","MD15-2",17.5824193791413,17582.4193791413,4033.16454005746,0.229386209775098,0.860612160941934,0.997354101233777,1.035861405916e-40,4.45523768163661e-119,NA,NA,"A. laurensis","MD15-may22",129.9,177.9,273.4
"MD15",485.426851851852,"2024-04-12 12:07:00",485.427893518519,"f0026","s","0","5/01/2003",5,2003,"05/18/2022",3,37.3,35.6,35.8,NA,"N","lg",183.85,NA,"","/01/2003",36.2333333333333,"may22","Ami","MD15-3",456.809173889948,456809.173889948,-68.2900173442916,-0.000149493533071522,0.998883773093342,0.897755958095399,3.92827364119647e-136,7.63213953492341e-47,NA,NA,"A. laurensis","MD15-may22",129.9,177.9,273.4
"MD15",485.428877314815,"2024-04-12 12:07:00",485.429918981481,"f0026","s","1","5/01/2003",5,2003,"05/18/2022",4,38.2,39.5,39.1,NA,"N","lg",183.85,NA,"","/01/2003",38.9333333333333,"may22","Ami","MD15-4",293.042631051084,293042.631051084,-51.6201309162385,-0.000176152291327332,0.998797140549401,0.818734830606363,1.17830917016693e-134,1.64789721923459e-35,NA,NA,"A. laurensis","MD15-may22",129.9,177.9,273.4
"MD15",485.430902777778,"2024-04-12 12:07:00",485.431944444444,"f0026","s","2","5/01/2003",5,2003,"05/18/2022",5,39.1,39.4,39,NA,"N","lg",183.85,NA,"","/01/2003",39.1666666666667,"may22","Ami","MD15-5",320.538098697024,320538.098697024,-61.9071589555512,-0.000193135103774564,0.998780379421604,0.859814604581081,2.21162453462553e-134,1.34351275345329e-40,NA,NA,"A. laurensis","MD15-may22",129.9,177.9,273.4
"MD2",59.4191782407407,"2024-04-12 14:07:00",59.4202199074074,"f0009","m","mid","3/01/2002",3,2002,"05/16/2022",1,36,36.4,36.2,NA,"N","med",83.32,NA,"","/01/2002",36.2,"may22","Copto","MD2-1",484.015072171389,484015.072171389,1127.21074000257,0.00232887528676674,0.984611168011383,0.989177336358275,2.76935342210242e-84,3.06014813127015e-91,NA,NA,"C. acinaciformis","MD2-may22",129.9,177.9,273.4
"MD2",59.4215277777778,"2024-04-12 14:07:00",59.4225694444444,"f0009","m","low","3/01/2002",3,2002,"05/16/2022",2,35,34.5,35.5,NA,"E","med",83.32,NA,"","/01/2002",35,"may22","Copto","MD2-2",1934.74410564965,1934744.10564965,2380.650467828,0.00123047304337367,0.999482246723075,0.999520331840737,2.59373899886075e-151,8.01934206404888e-153,NA,NA,"C. acinaciformis","MD2-may22",129.9,177.9,273.4
"MD2",59.4237847222222,"2024-04-12 14:07:00",59.4248263888889,"f0009","m","mid","3/01/2002",3,2002,"05/16/2022",3,35.2,34.7,34.3,NA,"S","med",83.32,NA,"","/01/2002",34.7333333333333,"may22","Copto","MD2-3",956.674506917604,956674.506917604,847.280462152116,0.0008856517614147,0.999025092472268,0.998459697662141,8.30365506671847e-139,9.07038335864032e-130,NA,NA,"C. acinaciformis","MD2-may22",129.9,177.9,273.4
"MD2",59.4262152777778,"2024-04-12 14:07:00",59.4272569444444,"f0009","m","low","3/01/2002",3,2002,"05/16/2022",4,34.9,34.4,34.5,NA,"W","med",83.32,NA,"","/01/2002",34.6,"may22","Copto","MD2-4",1373.23775102696,1373237.75102696,2873.38757048043,0.00209241813249861,0.999585456851495,0.999356118634224,1.04890852292957e-155,5.27265797898402e-147,NA,NA,"C. acinaciformis","MD2-may22",129.9,177.9,273.4
"MD2",59.4286458333333,"2024-04-12 14:07:00",59.4296875,"f0009","m","top","3/01/2002",3,2002,"05/16/2022",5,36.3,36.8,36.8,NA,"","med",83.32,NA,"","/01/2002",36.6333333333333,"may22","Copto","MD2-5",927.703898075324,927703.898075324,1538.16072849449,0.00165802982146099,0.999577517862712,0.999457648645092,2.48654345711148e-155,2.14345677911194e-150,NA,NA,"C. acinaciformis","MD2-may22",129.9,177.9,273.4
"MD2",59.4313657407407,"2024-04-12 14:07:00",59.4324074074074,"f0009","s","0","3/01/2002",3,2002,"05/16/2022",6,39,37.7,37.3,NA,"N","lg",183.85,NA,"","/01/2002",38,"may22","Copto","MD2-6",920.501613488953,920501.613488953,238.024789274897,0.000258581610055759,0.999624750685895,0.985283606141329,1.12943643093865e-157,3.62526479379714e-85,NA,NA,"C. acinaciformis","MD2-may22",129.9,177.9,273.4
"MD2",59.433912037037,"2024-04-12 14:07:00",59.4349537037037,"f0009","s","1","3/01/2002",3,2002,"05/16/2022",7,34.8,34.8,34.9,NA,"N","lg",183.85,NA,"","/01/2002",34.8333333333333,"may22","Copto","MD2-7",409.379134905946,409379.134905946,0,0,0.998913116441597,0,1.16891976798415e-136,0,NA,NA,"C. acinaciformis","MD2-may22",129.9,177.9,273.4
"MD2",59.4369212962963,"2024-04-12 14:07:00",59.437962962963,"f0009","s","2","3/01/2002",3,2002,"05/16/2022",8,35.6,35.8,35.7,NA,"N","lg",183.85,NA,"","/01/2002",35.7,"may22","Copto","MD2-8",409.33983579335,409339.83579335,84.7887045079538,0.000207135238483748,0.998993553782325,0.909357461924597,1.11544032589014e-139,9.46921587136669e-50,NA,NA,"C. acinaciformis","MD2-may22",129.9,177.9,273.4
"MD24",761.423611111111,"2024-04-12 12:13:00",761.424652777778,"f0037","m","mid","2/01/2004",2,2004,"05/19/2022",1,36.6,34.6,34.1,NA,"N","med",83.32,NA,"","/01/2004",35.1,"may22","Ami","MD24-1",124.47899694287,124478.99694287,450.108052832291,0.00361593573122114,0.996079074924827,0.99788147451096,2.63778692645375e-111,1.80388952626806e-123,NA,NA,"A. laurensis","MD24-may22",129.9,177.9,273.4
