#OTU ID	A101	A79	A92	A93	A110	A111	A112	A113	A114	A115	A11	A12	A13	A14	A15	A16	A17	A18	A19	A1	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A2	A30	A31	A32	A33	A34	A35	A36	A37	A38	A39	A3	A40	A41	A42	A43	A44	A45	A46	A47	A48	A49	A4	A50	A51	A52	A53	A54	A55	A56	A57	A58	A59	A5	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A6	A70	A71	A72	A73	A74	A75	A76	A77	A78	A7	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A8	A90	A91	A94	A95	A96	A97	A98	A99	A9	A100	A102	A103	A104	A105	A106	A107	A108	A109	A10	Substrate_high_level	Name	EC_Number
AA11	9076	20968	5460	14049	7619	10183	10477	9048	11023	10815	14568	14177	15000	16704	16418	19786	12614	6440	9656	11289	12481	10559	11363	13176	10143	12227	13485	13519	11862	14297	13481	13356	14334	11123	17139	13627	18060	21823	9745	426	16920	16088	0	11435	11218	7685	10300	9906	17299	16839	14230	16671	16894	15114	17970	19277	22201	17546	18953	7441	5971	18297	13260	10658	14012	12734	12618	10758	13262	9016	12460	13731	20718	14417	17306	19806	16994	14083	13594	16201	10548	11385	13189	13945	18151	16002	11930	10653	12281	13124	11993	14885	10414	16968	8195	18326	12749	13474	14628	17521	13541	10966	14230	7957	8889	9428	16399	10944	11743	13908	13098	17	0	15	9930	chitin	AA11 proteins are copper-dependent lytic polysaccharide monooxygenases (LPMOs). cleavage of chitin chains with oxidation of C-1 has been demonstrated for a AA11 LPMO from Aspergillus oryzae	NA
AA12	11722	22750	5670	18310	8947	14711	11268	14299	14714	13612	20150	17726	18397	14174	16643	18888	12632	7459	10184	13148	21650	17818	19897	22793	21168	17497	16728	17235	16264	22538	13555	26771	20418	20124	18788	16894	21135	24754	11151	520	21846	17163	0	14764	14562	8621	12135	11526	14982	15141	12946	13828	18566	13908	19299	21188	23768	21093	20190	8623	6524	21134	13787	11815	15283	15640	16617	12504	14023	8251	12129	12525	15243	13677	18875	16231	17452	13464	12510	16408	12353	12545	15455	14006	18635	17345	22471	16204	22018	24622	22264	16296	12318	17616	10728	20890	13170	14146	20610	22940	17480	16341	17504	9119	9777	11184	17512	16549	14038	16846	14836	15	0	12	14191	polyphenol	The pyrroloquinoline quinone-dependent oxidoreductase activity was demonstrated for the CC1G_09525 protein of Coprinopsis cinerea.	NA
AA13	1	0	3	10	6	20	2	2	6	6	8	11	13	0	0	0	0	0	0	4	50	26	54	37	32	3	0	2	0	3	5	54	4	25	1	10	4	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	3	0	5	1	5	1	1	0	8	0	0	2	0	2	0	1	0	1	0	0	0	0	0	0	2	0	0	1	1	0	63	7	55	72	84	0	0	0	0	1	0	0	2	5	4	3	0	0	3	0	0	0	2	5	0	0	0	0	8	starch	lytic starch monooxygenase / starch oxidase (glycosidic bond-cleaving)	1.14.99.55
AA16	4288	9356	2415	10041	3166	7391	4173	3621	4530	4319	12596	9808	10080	7012	8222	10527	6135	2565	5157	5287	9821	6411	8930	9194	9739	5775	6048	5988	5614	12537	5324	10843	5021	7435	7286	6938	8567	10357	4341	179	7552	6550	0	4805	5162	3461	5473	4303	5893	5205	4358	5427	7813	5565	6087	6980	7913	6776	7280	2999	2182	7414	5013	4526	5717	9019	9917	5538	5443	3379	4770	4050	6302	5323	8099	7080	6931	5849	5088	6452	5503	5150	5377	6303	7735	11684	9547	4507	9686	9784	8301	7489	4192	7470	2343	9136	4939	5101	11425	12600	9669	7001	7963	3298	4256	3806	6726	4829	5162	7228	5463	9	0	12	8472	cellulose	Lytic cellulose monooxygenase (C1-hydroxylating)	1.14.99.54
AA4	72858	148139	34329	88189	44688	77080	49556	69376	75936	67299	109082	105876	105438	100076	111430	129878	81011	45116	63995	74421	111917	87035	102884	113313	118111	102436	98694	98606	108074	107402	78812	119076	86568	89210	116872	103611	132962	153860	64287	3001	132186	95998	2	94188	92309	59634	81037	77865	120850	113013	100592	115088	117211	108564	128629	137455	152562	134322	139581	53123	40454	123767	83948	78257	104571	108918	119377	79104	87869	55263	83471	70186	107504	88728	122549	110152	107268	87163	83722	105474	80326	81954	103500	104332	115858	123030	111805	85003	115801	123886	112234	107481	62932	114266	35639	136163	82063	84662	99253	115126	87949	87398	76040	43817	52207	60029	116749	88655	89194	112587	111130	104	1	84	75968	lignin	vanillyl-alcohol oxidase	1.1.3.38
AA6	4426	6542	2059	5149	2141	4737	2978	3457	3475	3564	7395	7337	6828	4407	4997	5945	3534	1848	2648	3987	5802	4612	5430	5743	4994	5964	6485	6027	5987	5828	3861	5981	4821	4481	6587	6148	6718	8581	3293	174	6663	3913	0	4423	5109	2352	3357	3804	5607	4888	4863	5036	6755	5096	6250	6560	7341	7235	7303	2061	1632	5380	4022	3455	3465	6376	7033	4000	4341	3290	4288	5163	7784	5083	6741	8280	6068	4774	4267	5895	5034	4877	4946	4827	7030	9961	5231	5556	5592	5809	6141	5040	3410	5348	1373	6377	4363	4323	5739	6840	5197	5645	3603	2793	3793	2715	6238	5154	4264	5795	5604	6	0	6	4918	lignin	1,4-benzoquinone reductase	1.6.5.6
AA8	5393	9781	2268	6904	2929	5809	2552	4487	5189	5252	8741	8973	7966	7218	7318	9451	6918	3730	5269	5173	7230	6213	7045	7840	6973	7101	6757	7239	6266	8302	4995	7984	5587	6112	10100	8044	9994	12317	5964	282	12016	5329	0	8544	9771	5377	6960	7337	7714	7947	6615	7384	11242	6927	8965	10857	12408	10634	11346	4278	3413	10171	7518	6243	7868	9864	12842	5563	6027	4134	5750	11887	6546	5551	11562	10430	9189	7213	5710	6760	7377	7584	7680	10362	11755	9688	5456	6599	6120	6199	5420	9705	15160	7828	17256	11304	6496	6154	8053	9254	6386	6611	6864	2555	4059	3518	7428	6409	6025	8856	7646	9	0	13	6089	lignin	Iron reductase domain	NA
CBM1	63020	134791	32598	85277	37680	70868	42287	59839	63272	58313	104564	105710	102530	87175	97608	116361	70352	41526	54565	60035	104804	81694	91697	103107	94660	98628	93908	101829	96047	112326	73076	108504	85216	84232	97906	88985	107650	127436	61223	2559	120033	83985	4	82167	87402	56187	77331	73914	107466	95596	86624	99883	110015	94366	107787	110754	128285	115236	110925	47629	35779	114620	76830	74112	90839	95175	101614	69058	88459	53473	86602	71629	97094	81297	111240	102672	90943	75622	70674	89064	74077	76345	91458	97440	113028	108729	96711	82020	98564	105999	103714	95674	66443	99933	49239	114943	76576	77342	96438	110539	85164	80315	77613	35833	50255	52866	99743	78422	68063	92959	90339	107	0	89	73193	cellulose, chitin	Modules of approx. 40 residues found almost exclusively in fungi. The cellulose-binding function has been demonstrated in many cases, and appears to be mediated by three aromatic residues separated by about 10.4 angstrom and which form a flat surface. The only non-fungal occurence of CBM1 is in an algal non-hydrolytic polysaccharide-binding protein which is composed of four repeated CBM1 modules. Binding to chitin has been demonstrated in one case.	NA
CBM10	8448	15555	3368	9709	4625	8528	5393	5365	5941	5278	12664	12361	11005	11129	12587	13785	8667	5175	6736	7688	10910	8476	9842	10752	10246	10301	8461	9172	8520	11413	8450	12671	10016	9046	13625	9880	13164	16328	6023	274	13074	11873	0	7615	9621	5692	8453	8097	12403	13052	11038	11417	12449	10342	14020	14825	15429	13456	13274	5625	4646	12389	8800	7723	10659	10677	11263	7713	9879	5176	8501	7470	10721	9094	12718	11424	12462	10206	9637	11864	7661	8209	10167	10349	11348	13354	10388	7192	10739	11225	10634	10957	6173	11060	3904	13549	9318	8228	10748	12546	9278	9223	7892	4450	5464	6835	13194	10554	8460	11422	11957	11	0	4	8746	cellulose	Modules of approx. 50 residues. The cellulose-binding function has been demonstrated in one case.	NA
CBM11	2597	4217	1507	2957	1638	2509	3894	3033	3241	3701	4000	4392	5023	3622	4461	5343	3407	2225	2440	2943	4487	2983	3970	3839	3020	4108	5707	5454	3586	3785	2935	4520	4573	3968	4562	3861	5003	6026	1991	87	4833	3780	0	2977	4941	2889	3307	3337	5259	4955	4830	4600	6173	4165	6819	4903	6780	3708	5022	2956	1959	6856	4377	4529	5757	3944	4161	3009	4824	2531	3900	2420	3629	3281	6669	3788	3293	2661	2629	2791	2668	3140	5317	3789	5990	4566	4971	4270	5229	5502	4538	3025	1905	3458	1055	7757	4979	5388	3288	3846	2926	3949	1870	1472	3759	1870	6143	3157	4552	5095	4477	2	0	1	2704	beta-glucan	Modules of approx. 180-200 residues. The CBM11 of Clotridium thermocellum Cel26A-Cel5E has been shown to bind both beta-1,4-glucan and beta-1,3-1,4-mixed linked glucans.	NA
CBM12	17407	42366	7859	19993	8433	16542	10430	13354	14591	13267	23855	21987	22139	29789	32611	39990	24673	12494	20603	18709	21519	17668	20095	23085	22301	22198	22886	22417	21675	23214	21422	25341	21184	20441	28109	23123	30408	37040	15528	708	28804	25830	0	19784	27539	20223	27795	26839	28788	28333	25647	26774	26466	25990	29944	33149	36561	32836	31054	11350	8602	27801	17724	17577	22051	31060	32767	20677	29235	13948	28761	15299	22824	20385	28623	27930	28345	23891	20676	25044	18323	20144	27498	27437	27985	35469	24014	21342	23737	26529	23457	26218	14532	24758	8132	27872	23294	26024	22375	26602	20035	21427	17246	8268	12753	11831	30941	21985	21114	24073	24974	34	0	32	17046	chitin	Modules of approx. 40-60 residues. The majority of these modules is found among chitinases where the function is chitin-binding. Distantly related to the CBM5 family.	NA
CBM13	178506	321391	78802	260468	99758	183820	100998	135663	145379	136233	285517	285874	278680	241109	257916	324171	202290	99270	163448	164983	261750	206865	231037	260153	249919	281556	251970	301909	269819	300839	200454	270091	205459	204196	287129	234631	276283	338900	174411	8400	367684	198078	8	245230	211466	142526	196687	194447	308747	293773	252000	291962	312129	280386	281284	282489	337801	305272	310586	126416	91879	304039	200077	195348	237035	255692	266498	176887	225671	133769	222432	206363	311623	236889	314066	309158	257928	214001	184612	221954	227269	226622	255431	262449	319802	301456	233277	213827	245421	259317	265932	273101	188690	313623	104675	321252	171233	171105	293030	331403	245980	218440	213849	90636	145343	138299	281382	219709	178142	250080	224642	315	5	278	199780	xylan	Modules of approx. 150 residues which always appear as a threefold internal repeat. The only apparent exception to this, xylanase II of Actinomadura sp. FC7 (GenBank U08894), is in fact not completely sequenced. These modules were first identified in several plant lectins such as ricin or agglutinin of Ricinus communis which bind galactose residues. The three-dimensional structure of a plant lectin has been determined and displays a pseudo-threefold symmetry in accord with the observed sequence threefold repeat. These modules have since been found in a number of other proteins of various functions including glycoside hydrolases and glycosyltransferases. While in the plant lectins this module binds mannose, binding to xylan has been demonstrated in the Streptomyces lividans xylanase A and arabinofuranosidase B. Binding to GalNAc has been shown for the corresponding module of GalNAc transferase 4. For the other proteins, the binding specificity of these modules has not been established. The pseudo three-fold symmetry of the CBM13 module has now been confirmed in the 3-D structure of the intact, two-domain, xylanase of Streptomyces olivaceoviridis.	NA
CBM14	13227	26278	6360	23329	8653	17391	9656	13833	15289	13525	25315	23607	23725	18200	19990	23260	15086	8861	12324	10552	22860	17751	21413	23676	22306	19175	19084	20136	18790	28047	13416	24763	19452	19116	20410	16299	21180	25421	13131	634	27331	17994	0	18646	15991	11170	15414	14546	23152	20926	19349	21860	26529	20748	23467	22428	27960	21828	24514	10746	7940	26341	16883	16230	21485	16583	19263	13813	15739	10804	15376	17980	21219	17303	27634	21818	19506	15269	15688	18334	16989	17346	20535	19885	27432	19963	20550	15617	21691	22304	22024	20924	17284	21652	14942	27268	15684	15549	26532	29171	22853	18686	16934	9158	11738	11494	20499	16865	15870	19614	20876	30	1	22	18263	chitin	Modules of approx. 70 residues. The chitin-binding function has been demonstrated in several cases. These modules are found attached to a number of chitinase catalytic domains, but also in non-catalytic proteins either in isolation or as multiple repeats	NA
