"Annotation","sequencing_id","reads","Sum","relabund","resampled_reads","resampled_sum","resampled_relabund","relabund_diff","sample","extract_ID","tag","extraction_day","sample_mg","conc_ngul","X260.280","X260.230","notes","sample_id","LIMS_ID","top_emitters","rank","variable_emitters","species","species_s","range","range_rank","ID_measurement","flux.CH4","avg_respT","wall_thickness_mm","resampled_relabund_scaled"
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A101",46,14309555,3.2146352559531e-06,21,6913446,3.03755898288639e-06,1.7707627306671e-07,"MD60","MD60-3-mid",101,"24/11/2022",240,54,1.88,0.24,NA,"AB101","POW13003A101","y","bottom",NA,"N. magnus","N. magnus",4752.78876867963,13,"MD60-3",3182.95802852647,33.9,NA,-0.494631548154684
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A79",138,29142395,4.73536921038919e-06,30,6913446,4.33936997555199e-06,3.95999234837204e-07,"MD51","MD51-4-low",79,"23/11/2022",260,15.5,1.82,0.45,NA,"AB079","POW13003A79","y","top","y","N. magnus","N. magnus",9566.0615301765,5,"MD51-4",12343.7610133271,34.1666666666667,NA,-0.198806058964397
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A92",12,6913446,1.7357479902208e-06,11,6913446,1.59110232436906e-06,1.44645665851733e-07,"MD57","MD57-5-top",92,"24/11/2022",241,104,1.85,0.93,NA,"AB092","POW13003A92","y","bottom",NA,"N. magnus","N. magnus",475.97032553897,18,"MD57-5",405.734261013877,37,NA,-0.782316680433311
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A93",176,21683125,8.11691119245957e-06,49,6913446,7.08763762673492e-06,1.02927356572466e-06,"MD59","MD59-1-mid",93,"24/11/2022",276,157.4,1.81,0.5,NA,"AB093","POW13003A93",NA,NA,"y","C. acinaciformis","C. acinaciformis",12703.9418657709,1,"MD59-1",13901.5985403113,43.1,28.54,0.458998883277722
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A110",49,9129856,5.36700688378875e-06,39,6913446,5.64118096821759e-06,-2.74174084428839e-07,"MD8","MD8-2-low",110,"24/11/2022",264,96.8,1.89,1.23,NA,"AB110","POW13003A110","y","bottom",NA,"C. acinaciformis","C. acinaciformis",193.437989130252,24,"MD8-2",-131.464146513723,34.4666666666667,NA,-0.0759347814609462
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A111",90,16938188,5.31343730510017e-06,36,6913446,5.20724397066239e-06,1.0619333443778e-07,"MD8","MD8-3-mid",111,"24/11/2022",230,155.6,1.85,1.06,NA,"AB111","POW13003A111","y","bottom",NA,"C. acinaciformis","C. acinaciformis",193.437989130252,24,"MD8-3",-142.015508049151,33.5,NA,-0.0863555699065775
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A112",330,10762021,3.06633856224588e-05,195,6913446,2.82059048410879e-05,2.4574807813709e-06,"MD8","MD8-4-low",112,"24/11/2022",266,130.3,1.94,1.64,NA,"AB112","POW13003A112","y","bottom",NA,"C. acinaciformis","C. acinaciformis",193.437989130252,24,"MD8-4",-115.31055161808,31.4,NA,4.84492175184686
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A113",81,14179341,5.71253628782889e-06,42,6913446,6.07511796577279e-06,-3.62581677943895e-07,"MD9","MD9-1-mid",113,"24/11/2022",274,181.4,1.92,0.99,NA,"AB113","POW13003A113","y","bottom",NA,"C. acinaciformis","C. acinaciformis",456.289045521695,20,"MD9-1",40.2963617827318,32.7666666666667,160,-0.00871960244713443
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A114",74,15017487,4.92758875036815e-06,38,6913446,5.49653530236585e-06,-5.68946551997699e-07,"MD9","MD9-3-mid",114,"24/11/2022",255,111.7,1.96,1.89,NA,"AB114","POW13003A114","y","bottom",NA,"C. acinaciformis","C. acinaciformis",456.289045521695,20,"MD9-3",70.7570830665494,31.6333333333333,145.21,-0.161413956762475
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A115",118,13662337,8.63688254798575e-06,75,6913446,1.084842493888e-05,-2.21154239089422e-06,"MD9","MD9-4-low",115,"24/11/2022",239,153.9,1.94,1.9,NA,"AB115","POW13003A115","y","bottom",NA,"C. acinaciformis","C. acinaciformis",456.289045521695,20,"MD9-4",142.25224617783,33.2,229.15,0.560147923952957
