#OTU ID	A101	A79	A92	A93	A110	A111	A112	A113	A114	A115	A11	A12	A13	A14	A15	A16	A17	A18	A19	A1	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A2	A30	A31	A32	A33	A34	A35	A36	A37	A38	A39	A3	A40	A41	A42	A43	A44	A45	A46	A47	A48	A49	A4	A50	A51	A52	A53	A54	A55	A56	A57	A58	A59	A5	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A6	A70	A71	A72	A73	A74	A75	A76	A77	A78	A7	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A8	A90	A91	A94	A95	A96	A97	A98	A99	A9	A100	A102	A103	A104	A105	A106	A107	A108	A109	A10	pathway
map00010	217439	441596	122397	305544	161800	261342	190100	235589	262190	233265	360826	348070	347481	306958	346863	401672	253973	156488	200116	226478	351542	269666	313869	346152	341031	310552	303249	328350	283635	376914	248965	381837	306459	300875	326174	292435	374915	446741	200011	8279	369762	288199	7	258757	326158	219225	292803	291523	378376	356680	306590	353628	348726	329128	375112	372561	418727	368589	355936	172078	143423	365456	248335	239395	316007	334688	359450	245266	272004	191322	294193	204899	314897	278988	359867	325276	331936	267381	269837	308181	259008	260103	302062	316331	339150	373826	330443	266251	343008	368449	351996	337673	194185	353455	118339	391444	260922	265112	342777	397799	308475	286741	277958	160386	205836	208099	341710	256659	241869	312727	302630	313	6	314	253174	Glycolysis / Gluconeogenesis
map00020	136274	268275	75710	175758	106477	151896	130360	134198	151949	136556	198154	191319	192161	193603	225371	259417	164626	111792	133289	152560	203681	147969	179341	193234	198633	175053	167743	185912	155577	206929	158506	219913	186946	177880	196063	177473	230089	268073	121574	4704	206571	188876	11	142927	242888	167317	214387	210921	240581	237193	197089	226407	204677	211106	225345	222293	246261	229714	199638	114650	98089	223053	156124	157473	205292	215777	224692	165500	181307	123113	198916	114648	179024	175646	211147	190969	208129	172883	179990	198491	151574	157169	195924	197776	198659	200760	192648	151245	198932	214601	208759	220282	114117	230432	75951	238592	163388	161308	195421	228524	178501	163026	163221	101892	132112	123409	225261	168552	155520	185832	190764	163	0	172	139754	Citrate cycle (TCA cycle)
map00030	181113	359951	99829	276085	131307	222991	150785	203507	216640	191094	318394	304611	298268	245482	280299	328891	205403	123461	160208	188937	296572	232573	265209	298313	275708	274170	253300	273379	246720	322584	195346	326492	263454	255958	293164	263387	330615	392544	169172	7102	323509	252333	0	227988	240680	161243	218421	214724	294396	284258	240931	278527	302400	262444	306637	314949	356197	325650	316384	140992	112394	303582	207402	214130	254834	284716	300793	203228	234568	153103	243752	173404	258052	217334	315919	272212	274655	223353	210619	252685	208309	212291	250735	255950	302276	316134	285637	222656	294999	315441	303504	274318	167808	280067	100307	335660	225608	239482	307715	356391	271896	247868	239032	134560	160498	176641	279015	210985	202550	266986	254129	320	4	256	223086	Pentose phosphate pathway
map00040	71063	157508	35984	102166	43722	78219	43794	58306	65232	59267	121037	119530	116060	96886	110041	129816	78293	45130	60411	71477	110696	86076	97287	107134	116485	113188	106050	119556	104036	121796	81939	114169	97630	89785	123660	101386	129767	157407	61519	2780	128757	96405	4	84812	104047	69348	89025	99696	124699	120359	102575	112378	120304	104895	129182	132175	148141	131665	129071	56793	44889	123175	86717	88108	104664	113606	119060	79174	104787	59207	107040	74616	102986	83044	129034	111930	113596	92219	82487	102279	78030	83699	104443	110032	125406	120924	102135	88157	106811	113986	110433	106235	73956	106556	49201	127317	89903	99889	114694	132519	103145	95439	87370	37741	62158	59203	115151	81641	78902	105147	108814	107	0	85	83458	Pentose and glucuronate interconversions
map00051	108537	231888	52145	160551	62061	117783	66955	92172	104036	94358	180232	177808	167201	154840	175921	211781	125389	70023	94881	110534	164356	125526	142788	158237	168675	166511	142944	163466	149219	186801	126117	163216	134059	129872	176519	149441	191913	231431	100121	4636	212195	148731	1	147337	159137	104497	137836	148546	184263	168571	149678	169689	187964	161044	188467	190794	213233	200673	189613	81306	62968	179440	123004	129941	144072	187899	193363	122955	151234	87743	154651	109743	163789	135537	192705	177998	170939	142577	127593	157513	125183	128998	158392	163407	185526	199718	142386	116165	151208	159181	159405	175580	105093	180774	61313	202315	132662	141341	179806	202311	155538	136848	130345	61277	83976	87238	171450	123698	114958	152885	158754	195	5	185	125320	Fructose and mannose metabolism
map00052	108585	217339	47832	130091	55554	103812	57584	76267	86567	79586	150893	151957	146817	139374	158012	185382	108572	57726	81699	101353	134934	109311	119385	136358	125141	144829	134833	147330	136789	154229	119929	146499	120512	113155	179911	150030	185353	226034	87329	4174	195737	130970	2	123616	143922	93256	124832	135186	178274	163723	144850	162873	172925	153539	182624	174866	202518	183717	177866	79750	59763	173207	123630	120455	148155	167623	178608	107538	144088	80985	143139	103847	148045	118951	183173	163236	162893	134794	119264	140306	117536	120561	148609	152310	175875	185826	118882	116983	123635	132676	137293	161573	106354	163107	64544	185648	117597	129349	146375	168364	128160	126340	105147	51964	74939	76334	168600	131901	110940	151578	143239	142	2	153	106273	Galactose metabolism
map00053	40097	70560	20793	68696	27435	49292	32240	43013	44634	40325	73879	68910	69674	49434	55284	64635	42389	24454	33372	41011	63309	47251	56985	61264	65965	64249	60159	66100	62066	76272	41112	65985	55380	51298	68535	56539	68419	83606	35728	1619	71682	48626	4	47232	47024	31866	42230	44620	58833	57052	48597	55148	62513	51882	68664	71860	79938	75631	69709	28762	23197	59904	44303	44111	51972	57189	58608	39331	50179	32052	47492	36887	55496	45061	65684	56888	52899	43145	41366	51185	44324	45781	53446	46588	63686	68378	61514	48696	64612	68254	66031	54537	34992	55815	18568	68006	46277	51498	75220	87919	67434	53967	56792	25241	37288	36034	59722	46532	44434	56059	55364	71	0	59	51209	Ascorbate and aldarate metabolism
map00061	90817	163760	46791	128435	64655	103147	72345	92587	100814	90539	144657	143064	140828	121284	134233	153694	105558	65255	88117	104407	138191	108203	124241	138676	135409	135803	125300	142939	126265	144601	112818	159545	133988	126877	148668	133748	165790	194339	86825	4037	164449	129991	5	117167	139368	94168	117203	123830	146552	141198	119531	139481	150366	130511	158079	162353	183387	174761	160862	72262	57267	157465	109202	99359	131292	139892	149671	105247	115034	76179	120715	84125	125004	113078	154569	135383	136370	116981	106352	128402	113169	112046	129202	130902	148615	152266	139858	111817	142819	151976	152190	136122	87086	145248	49346	167669	109532	111743	143813	165355	127041	112718	113080	65005	85511	84259	141421	115571	99754	131822	129307	138	0	127	101262	Fatty acid biosynthesis
map00062	496	1435	336	489	600	1014	1110	1233	947	998	1062	827	839	927	948	1024	728	419	410	698	1284	1196	1247	1572	877	445	456	548	373	510	676	1777	1145	1473	905	884	1262	1262	440	14	1187	845	0	528	832	612	528	697	766	835	698	823	679	544	845	726	1116	1073	679	377	365	792	657	469	404	1460	1558	862	404	438	440	403	704	757	727	880	1128	1051	969	1008	617	697	695	880	637	848	3217	575	3191	3208	2252	966	718	844	244	669	581	681	651	747	560	523	685	601	814	459	872	555	726	882	550	0	0	0	710	Fatty acid elongation
map00071	88488	183143	49375	112472	61748	89453	73465	90426	95527	84515	122315	128948	126543	119905	141529	156309	107453	72172	87730	109684	121433	89650	106244	116462	121506	121452	120226	128946	121472	126912	112425	130858	122684	106187	143389	134630	165637	198119	90079	3974	166510	137773	4	117920	160602	113829	146896	151478	170221	166933	140583	162895	158244	148971	152173	154970	173030	160805	154788	77675	61688	170766	111787	113618	147318	149477	155321	112577	127555	80978	145034	80984	125841	119202	164077	128096	129528	105464	108368	125498	108688	111892	132277	136888	159980	149024	125542	104324	129530	138544	136630	138593	78591	153438	47318	185423	118535	115276	126507	146988	114468	110652	97158	58475	74238	75313	145686	103670	103873	131633	125910	132	1	141	85920	Fatty acid degradation
