"","sequencing_id","pathway","resampled_reads"
"1","A1","ABC transporters",305269
"2","A1","AMPK signaling pathway",11859
"3","A1","ATP-dependent chromatin remodeling",454
"4","A1","Acarbose and validamycin biosynthesis",4913
"5","A1","Acute myeloid leukemia",1
"6","A1","Adherens junction",157
"7","A1","Adipocytokine signaling pathway",13719
"8","A1","Adrenergic signaling in cardiomyocytes",83
"9","A1","Aflatoxin biosynthesis",6
"10","A1","African trypanosomiasis",1988
"11","A1","Alanine, aspartate and glutamate metabolism",112900
"12","A1","Alcoholic liver disease",24754
"13","A1","Alcoholism",4095
"14","A1","Aldosterone synthesis and secretion",13
"15","A1","Aldosterone-regulated sodium reabsorption",47
"16","A1","Alzheimer disease",11401
"17","A1","Amino sugar and nucleotide sugar metabolism",117898
"18","A1","Aminoacyl-tRNA biosynthesis",121845
"19","A1","Aminobenzoate degradation",39115
"20","A1","Amoebiasis",517
"21","A1","Amphetamine addiction",3714
"22","A1","Amyotrophic lateral sclerosis",14629
"23","A1","Antifolate resistance",13143
"24","A1","Antigen processing and presentation",2318
"25","A1","Apelin signaling pathway",102
"26","A1","Apoptosis",1679
"27","A1","Apoptosis - fly",1685
"28","A1","Apoptosis - multiple species",1281
"29","A1","Arabinogalactan biosynthesis - Mycobacterium",21483
"30","A1","Arachidonic acid metabolism",167
"31","A1","Arginine and proline metabolism",68981
"32","A1","Arginine biosynthesis",74255
"33","A1","Arrhythmogenic right ventricular cardiomyopathy",34
"34","A1","Ascorbate and aldarate metabolism",19645
"35","A1","Atrazine degradation",4039
"36","A1","Autophagy - animal",959
"37","A1","Autophagy - other",331
"38","A1","Autophagy - yeast",2678
"39","A1","Axon guidance",42
"40","A1","Axon regeneration",1975
"41","A1","B cell receptor signaling pathway",9
"42","A1","Bacterial chemotaxis",31070
"43","A1","Bacterial invasion of epithelial cells",150
"44","A1","Bacterial secretion system",68832
"45","A1","Basal cell carcinoma",2
"46","A1","Basal transcription factors",1486
"47","A1","Base excision repair",51945
"48","A1","Benzoate degradation",71636
"49","A1","Betalain biosynthesis",2675
"50","A1","Bile secretion",911
"51","A1","Biofilm formation - Escherichia coli",33671
"52","A1","Biofilm formation - Pseudomonas aeruginosa",34175
"53","A1","Biofilm formation - Vibrio cholerae",24914
"54","A1","Biosynthesis of 12-, 14- and 16-membered macrolides",35
"55","A1","Biosynthesis of ansamycins",9102
"56","A1","Biosynthesis of enediyne antibiotics",13739
"57","A1","Biosynthesis of siderophore group nonribosomal peptides",6705
"58","A1","Biosynthesis of type II polyketide backbone",736
"59","A1","Biosynthesis of type II polyketide products",5263
"60","A1","Biosynthesis of unsaturated fatty acids",15513
"61","A1","Biosynthesis of vancomycin group antibiotics",4199
"62","A1","Biosynthesis of various alkaloids",353
"63","A1","Biosynthesis of various antibiotics",5169
"64","A1","Biosynthesis of various other secondary metabolites",1048
"65","A1","Biosynthesis of various plant secondary metabolites",24386
"66","A1","Biotin metabolism",33323
"67","A1","Bisphenol degradation",2010
"68","A1","Bladder cancer",873
"69","A1","Breast cancer",10
"70","A1","Butanoate metabolism",82906
"71","A1","C-type lectin receptor signaling pathway",9
"72","A1","C5-Branched dibasic acid metabolism",28476
"73","A1","Caffeine metabolism",1332
"74","A1","Calcium signaling pathway",290
"75","A1","Caprolactam degradation",21926
"76","A1","Carbapenem biosynthesis",3745
"77","A1","Carbohydrate digestion and absorption",283
"78","A1","Carbon fixation by Calvin cycle",56553
"79","A1","Cardiac muscle contraction",2386
"80","A1","Carotenoid biosynthesis",5953
"81","A1","Cationic antimicrobial peptide (CAMP) resistance",17587
"82","A1","Cell cycle",532
"83","A1","Cell cycle - Caulobacter",54996
"84","A1","Cell cycle - yeast",673
"85","A1","Cellular senescence",266
"86","A1","Central carbon metabolism in cancer",23053
"87","A1","Chagas disease",2039
"88","A1","Chemical carcinogenesis - DNA adducts",7880
"89","A1","Chemical carcinogenesis - reactive oxygen species",26473
"90","A1","Chemical carcinogenesis - receptor activation",10850
"91","A1","Chloroalkane and chloroalkene degradation",15110
"92","A1","Chlorocyclohexane and chlorobenzene degradation",24467
"93","A1","Cholesterol metabolism",383
"94","A1","Choline metabolism in cancer",1155
"95","A1","Cholinergic synapse",3
"96","A1","Circadian entrainment",5
"97","A1","Circadian rhythm",108
"98","A1","Circadian rhythm - fly",19
"99","A1","Circadian rhythm - plant",117
"100","A1","Citrate cycle (TCA cycle)",72416
"101","A1","Cobalamin transport and metabolism",17740
"102","A1","Cocaine addiction",3721
"103","A1","Collecting duct acid secretion",127
"104","A1","Colorectal cancer",1229
"105","A1","Coronavirus disease - COVID-19",1318
"106","A1","Cortisol synthesis and secretion",10
"107","A1","Cushing syndrome",2952
"108","A1","Cutin, suberine and wax biosynthesis",1461
"109","A1","Cyanoamino acid metabolism",31696
"110","A1","Cysteine and methionine metabolism",109466
"111","A1","Cytoskeleton in muscle cells",4959
"112","A1","Cytosolic DNA-sensing pathway",138
"113","A1","D-Amino acid metabolism",35109
"114","A1","DNA replication",60633
"115","A1","Degradation of flavonoids",26140
"116","A1","Diabetic cardiomyopathy",26970
"117","A1","Dilated cardiomyopathy",35
"118","A1","Dioxin degradation",3987
"119","A1","Dopaminergic synapse",3800
"120","A1","Dorso-ventral axis formation",54
"121","A1","Drug metabolism - cytochrome P450",13798
"122","A1","Drug metabolism - other enzymes",40318
"123","A1","ECM-receptor interaction",5
"124","A1","EGFR tyrosine kinase inhibitor resistance",64
"125","A1","Efferocytosis",2184
"126","A1","Endocrine and other factor-regulated calcium reabsorption",37
"127","A1","Endocrine resistance",2
"128","A1","Endocytosis",1339
"129","A1","Endometrial cancer",31
"130","A1","Epithelial cell signaling in Helicobacter pylori infection",1953
"131","A1","Epstein-Barr virus infection",1477
"132","A1","ErbB signaling pathway",1
"133","A1","Estrogen signaling pathway",2291
"134","A1","Ether lipid metabolism",22948
"135","A1","Ethylbenzene degradation",2775
"136","A1","Exopolysaccharide biosynthesis",18231
"137","A1","Fanconi anemia pathway",365
"138","A1","Fat digestion and absorption",3311
"139","A1","Fatty acid biosynthesis",49662
"140","A1","Fatty acid degradation",52215
"141","A1","Fatty acid elongation",320
"142","A1","Fc epsilon RI signaling pathway",45
"143","A1","Fc gamma R-mediated phagocytosis",1168
"144","A1","Ferroptosis",10652
"145","A1","Flagellar assembly",43166
"146","A1","Flavone and flavonol biosynthesis",51
"147","A1","Fluid shear stress and atherosclerosis",18202
"148","A1","Fluorobenzoate degradation",11909
"149","A1","Focal adhesion",53
"150","A1","Folate biosynthesis",60860
"151","A1","FoxO signaling pathway",13580
"152","A1","Fructose and mannose metabolism",52752
"153","A1","Furfural degradation",1896
"154","A1","GABAergic synapse",19553
"155","A1","Galactose metabolism",48095
"156","A1","Gap junction",48
"157","A1","Gastric acid secretion",4
"158","A1","Gastric cancer",585
"159","A1","Glioma",5
"160","A1","Glucagon signaling pathway",20586
"161","A1","Glucosinolate biosynthesis",6989
"162","A1","Glutamatergic synapse",18338
"163","A1","Glutathione metabolism",58607
"164","A1","Glycerolipid metabolism",60280
"165","A1","Glycerophospholipid metabolism",70035
"166","A1","Glycine, serine and threonine metabolism",101745
"167","A1","Glycolysis / Gluconeogenesis",107651
"168","A1","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",22
"169","A1","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",69
"170","A1","Glycosaminoglycan degradation",12529
"171","A1","Glycosphingolipid biosynthesis - ganglio series",3514
"172","A1","Glycosphingolipid biosynthesis - globo and isoglobo series",11691
