sample,extract_ID,tag,extraction_day,sample_mg,conc_ngul,260/280,260/230,notes,sample_id,LIMS_ID,sequencing_id
MD10,MD10-1-low,1,21/11/2022,261,65.6,2.09,0.69,NA,AB001,POW13003A1,A1
MD10,MD10-2-mid,2,21/11/2022,247,32,2.83,1.4,NA,AB002,POW13003A2,A2
MD10,MD10-4-mid,3,21/11/2022,279,27.8,1.93,1.49,redo,AB003,POW13003A3,A3
MD11,MD11-1-mid,4,21/11/2022,247,20.9,1.8,0.41,redo,AB004,POW13003A4,A4
MD11,MD11-2-low,5,21/11/2022,261,68.1,1.94,0.49,NA,AB005,POW13003A5,A5
MD11,MD11-3-mid,6,21/11/2022,278,47.5,2.23,0.19,NA,AB006,POW13003A6,A6
MD11,MD11-4-low,7,21/11/2022,260,53.3,1.95,0.48,NA,AB007,POW13003A7,A7
MD11,MD11-5-top,8,21/11/2022,257,6.5,2.25,1.11,redo,AB008,POW13003A8,A8
MD14,MD14-1-mid,9,21/11/2022,249,127.7,2.1,1.1,NA,AB009,POW13003A9,A9
MD14,MD14-2-low,10,21/11/2022,248,186.4,2.02,1.64,NA,AB010,POW13003A10,A10
MD14,MD14-3-mid,11,21/11/2022,251,234.3,1.99,1.43,NA,AB011,POW13003A11,A11
MD14,MD14-4-low,12,21/11/2022,277,107.8,2.05,1,NA,AB012,POW13003A12,A12
MD14,MD14-5-top,13,21/11/2022,241,224,1.94,0.7,NA,AB013,POW13003A13,A13
MD23,MD23-1-mid,14,21/11/2022,247,65.5,2.04,0.6,NA,AB014,POW13003A14,A14
MD23,MD23-2-low,15,21/11/2022,273,45.8,2.25,0.51,NA,AB015,POW13003A15,A15
MD23,MD23-4-low,16,21/11/2022,282,55,2.03,0.56,NA,AB016,POW13003A16,A16
MD24,MD24-1-mid,17,21/11/2022,263,43.6,2.35,0.62,NA,AB017,POW13003A17,A17
MD24,MD24-3-mid,18,21/11/2022,272,50.4,2.49,0.22,NA,AB018,POW13003A18,A18
MD24,MD24-4-low,19,21/11/2022,265,84.3,1.98,0.57,NA,AB019,POW13003A19,A19
MD26,MD26-1-mid,20,21/11/2022,243,155.4,2.05,0.8,NA,AB020,POW13003A20,A20
MD26,MD26-2-low,21,21/11/2022,266,466.1,1.47,0.73,NA,AB021,POW13003A21,A21
MD26,MD26-3-mid,22,21/11/2022,260,255.6,1.94,1.08,NA,AB022,POW13003A22,A22
MD26,MD26-4-low,23,21/11/2022,267,242.3,1.96,0.84,NA,AB023,POW13003A23,A23
MD26,MD26-5-top,24,21/11/2022,252,188.2,1.87,1.09,NA,AB024,POW13003A24,A24
MD27,MD27-1-mid,25,22/11/2022,281,51.3,1.93,0.72,NA,AB025,POW13003A25,A25
MD27,MD27-2-low,26,22/11/2022,263,87.6,1.95,2.01,NA,AB026,POW13003A26,A26
MD27,MD27-3-mid,27,22/11/2022,259,48.2,1.93,1.66,NA,AB027,POW13003A27,A27
MD27,MD27-4-low,28,22/11/2022,253,57.6,1.81,0.74,NA,AB028,POW13003A28,A28
MD27,MD27-5-top,29,22/11/2022,246,186.9,1.89,1.24,NA,AB029,POW13003A29,A29
MD28,MD28-1-mid,30,22/11/2022,266,226.6,1.88,1.75,NA,AB030,POW13003A30,A30
MD28,MD28-2-low,31,22/11/2022,268,218.2,1.9,1.05,NA,AB031,POW13003A31,A31
MD28,MD28-3-mid,32,22/11/2022,251,312.3,1.86,1.46,NA,AB032,POW13003A32,A32
MD3,MD3-1-mid,33,22/11/2022,258,10.9,2.01,0.57,NA,AB033,POW13003A33,A33
MD3,MD3-2-low,34,22/11/2022,255,22.5,1.96,1.03,NA,AB034,POW13003A34,A34
MD3,MD3-3-low,35,22/11/2022,272,26.8,1.93,0.25,NA,AB035,POW13003A35,A35
MD3,MD3-4-mid,36,22/11/2022,264,15.3,2,0.43,NA,AB036,POW13003A36,A36
MD32,MD32-1-mid,37,22/11/2022,256,28.8,2,0.39,NA,AB037,POW13003A37,A37
MD32,MD32-2-low,38,22/11/2022,271,32.1,1.73,0.33,redo,AB038,POW13003A38,A38
MD32,MD32-3-mid,39,22/11/2022,247,38.9,1.98,1.59,NA,AB039,POW13003A39,A39
MD32,MD32-4-low,40,22/11/2022,252,22,1.69,0.18,NA,AB040,POW13003A40,A40
MD32,MD32-5-top,41,22/11/2022,260,34.4,1.87,0.69,NA,AB041,POW13003A41,A41
MD37,MD37-1-mid,42,22/11/2022,255,155.6,1.95,2.07,NA,AB042,POW13003A42,A42
MD37,MD37-2-low,43,22/11/2022,256,77.8,1.96,1.25,NA,AB043,POW13003A43,A43
MD37,MD37-3-mid,44,22/11/2022,260,75.1,1.86,0.74,NA,AB044,POW13003A44,A44
MD37,MD37-4-low,45,22/11/2022,253,48.4,1.95,1.53,NA,AB045,POW13003A45,A45
MD38,MD38-1-mid,46,22/11/2022,245,30.7,1.72,0.43,NA,AB046,POW13003A46,A46
MD38,MD38-2-low,47,22/11/2022,246,57.5,1.7,0.4,NA,AB047,POW13003A47,A47
MD38,MD38-3-mid,48,22/11/2022,261,6.6,1.95,0.3,NA,AB048,POW13003A48,A48
MD38,MD38-4-low,49,22/11/2022,251,32.1,1.72,0.24,NA,AB049,POW13003A49,A49
MD38,MD38-5-top,50,22/11/2022,270,24.3,1.71,0.49,NA,AB050,POW13003A50,A50
