source,target,process
ko,pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39],methane oxidation
ko,pmoB-amoB; methane/ammonia monooxygenase subunit B,methane oxidation
ko,pmoC-amoC; methane/ammonia monooxygenase subunit C,methane oxidation
ko,"mdh2, mxaI; methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]",methanol dehydrogenase
ko,"fae; 5,6,7,8-tetrahydromethanopterin hydro-lyase [EC:4.2.1.147]",formaldehyde metabolism
ko,FDH; formate dehydrogenase [EC:1.17.1.9],formate dehydrogenase
ko,fdhA; glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46],formate dehydrogenase
ko,fdhB; formate dehydrogenase (NADP+) beta subunit [EC:1.17.1.10],formate dehydrogenase
ko,fdhC; formate transporter,formate dehydrogenase
ko,fdhD; FdhD protein,formate dehydrogenase
ko,nirK; nitrite reductase (NO-forming) [EC:1.7.2.1],denitrification
ko,nuoA; NADH-quinone oxidoreductase subunit A [EC:7.1.1.2],NADH dehydrogenase
ko,nuoB; NADH-quinone oxidoreductase subunit B [EC:7.1.1.2],NADH dehydrogenase
ko,nuoC; NADH-quinone oxidoreductase subunit C [EC:7.1.1.2],NADH dehydrogenase
ko,"sdhC, frdC; succinate dehydrogenase cytochrome b subunit",succinate dehydrogenase
ko,"sdhD, frdD; succinate dehydrogenase membrane anchor subunit",succinate dehydrogenase
ko,"coxA, ctaD; cytochrome c oxidase subunit I [EC:7.1.1.9]",cytochrome oxidase
ko,"coxB, ctaC; cytochrome c oxidase subunit II [EC:7.1.1.9]",cytochrome oxidase
ko,cyoA; cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3],cytochrome oxidase
ko,cyoB; cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3],cytochrome oxidase
ko,"ATPVA, ntpA, atpA; V/A-type H+/Na+-transporting ATPase subunit A [EC:7.1.2.2 7.2.2.1]",ATP
ko,"ATPVD, ntpD, atpD; V/A-type H+/Na+-transporting ATPase subunit D",ATP
ko,mtdB; methylene-tetrahydromethanopterin dehydrogenase [EC:1.5.1.-],H4MPT pathway
ko,mch; methenyltetrahydromethanopterin cyclohydrolase [EC:3.5.4.27],H4MPT pathway
pathway,Methane metabolism,methane metabolism
