VC:cf32204 BD:May 26 2016 SN:US4300161200001274
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  10/08/2023 14:38:49.748,   1.839363e+00,   0.000000e+00,   1.706943e+04,   0.000000e+00,   4.039824e+02,   0.000000e+00,   1.871305e+00,   0.000000e+00,   4.109979e+02,   0.000000e+00,   1.402038e+02,   0.000000e+00,   3.330101e+01,   0.000000e+00,   3.367667e+01,   0.000000e+00,   7.608274e+00,   0.000000e+00,   9.403536e+00,   0.000000e+00,              3,              0,       1 meters
  10/08/2023 14:38:50.726,   1.841080e+00,   0.000000e+00,   1.702658e+04,   0.000000e+00,   4.048078e+02,   0.000000e+00,   1.872971e+00,   0.000000e+00,   4.118197e+02,   0.000000e+00,   1.402025e+02,   0.000000e+00,   3.330041e+01,   0.000000e+00,   3.367611e+01,   0.000000e+00,   7.607612e+00,   0.000000e+00,   9.392453e+00,   0.000000e+00,              3,              0,       1 meters
  10/08/2023 14:38:51.702,   1.839894e+00,   0.000000e+00,   1.703998e+04,   0.000000e+00,   4.050402e+02,   0.000000e+00,   1.871789e+00,   0.000000e+00,   4.120618e+02,   0.000000e+00,   1.401964e+02,   0.000000e+00,   3.329907e+01,   0.000000e+00,   3.367705e+01,   0.000000e+00,   7.610765e+00,   0.000000e+00,   9.392634e+00,   0.000000e+00,              3,              0,       1 meters
  10/08/2023 14:38:52.680,   1.839138e+00,   0.000000e+00,   1.697597e+04,   0.000000e+00,   4.043730e+02,   0.000000e+00,   1.870898e+00,   0.000000e+00,   4.113562e+02,   0.000000e+00,   1.401765e+02,   0.000000e+00,   3.329907e+01,   0.000000e+00,   3.367671e+01,   0.000000e+00,   7.608855e+00,   0.000000e+00,   9.402448e+00,   0.000000e+00,              3,              0,       1 meters
  10/08/2023 14:38:53.657,   1.839616e+00,   0.000000e+00,   1.697934e+04,   0.000000e+00,   4.047407e+02,   0.000000e+00,   1.871391e+00,   0.000000e+00,   4.117317e+02,   0.000000e+00,   1.401852e+02,   0.000000e+00,   3.329856e+01,   0.000000e+00,   3.367788e+01,   0.000000e+00,   7.606000e+00,   0.000000e+00,   9.394056e+00,   0.000000e+00,              3,              0,       1 meters
  10/08/2023 14:38:54.632,   1.841585e+00,   0.000000e+00,   1.705627e+04,   0.000000e+00,   4.043979e+02,   0.000000e+00,   1.873541e+00,   0.000000e+00,   4.114151e+02,   0.000000e+00,   1.401963e+02,   0.000000e+00,   3.329703e+01,   0.000000e+00,   3.367817e+01,   0.000000e+00,   7.613046e+00,   0.000000e+00,   9.403517e+00,   0.000000e+00,              3,              0,       1 meters
  10/08/2023 14:38:55.610,   1.840230e+00,   0.000000e+00,   1.700054e+04,   0.000000e+00,   4.043253e+02,   0.000000e+00,   1.872056e+00,   0.000000e+00,   4.113179e+02,   0.000000e+00,   1.401878e+02,   0.000000e+00,   3.329641e+01,   0.000000e+00,   3.367904e+01,   0.000000e+00,   7.608458e+00,   0.000000e+00,   9.397122e+00,   0.000000e+00,              3,              0,       1 meters
  10/08/2023 14:38:56.587,   1.840673e+00,   0.000000e+00,   1.705826e+04,   0.000000e+00,   4.042396e+02,   0.000000e+00,   1.872617e+00,   0.000000e+00,   4.112549e+02,   0.000000e+00,   1.401725e+02,   0.000000e+00,   3.329630e+01,   0.000000e+00,   3.368075e+01,   0.000000e+00,   7.605812e+00,   0.000000e+00,   9.400865e+00,   0.000000e+00,              3,              0,       1 meters
  10/08/2023 14:38:57.563,   1.839675e+00,   0.000000e+00,   1.694004e+04,   0.000000e+00,   4.045716e+02,   0.000000e+00,   1.871376e+00,   0.000000e+00,   4.115432e+02,   0.000000e+00,   1.401962e+02,   0.000000e+00,   3.329498e+01,   0.000000e+00,   3.368034e+01,   0.000000e+00,   7.608846e+00,   0.000000e+00,   9.403486e+00,   0.000000e+00,              3,              0,       1 meters
  10/08/2023 14:38:58.541,   1.839435e+00,   0.000000e+00,   1.698816e+04,   0.000000e+00,   4.041121e+02,   0.000000e+00,   1.871224e+00,   0.000000e+00,   4.110959e+02,   0.000000e+00,   1.401968e+02,   0.000000e+00,   3.329417e+01,   0.000000e+00,   3.368089e+01,   0.000000e+00,   7.606362e+00,   0.000000e+00,   9.394393e+00,   0.000000e+00,              3,              0,       1 meters
