id,year,month,day,hour,minute,second,Etime,Tcham,sample
0,2023,8,31,12,51,57,-60,24.17,ami1_L
1,2023,8,31,12,51,58,-59,24.17,ami1_L
2,2023,8,31,12,51,59,-58,24.17,ami1_L
3,2023,8,31,12,52,0,-57,24.26,ami1_L
4,2023,8,31,12,52,1,-56,24.17,ami1_L
5,2023,8,31,12,52,2,-55,24.26,ami1_L
6,2023,8,31,12,52,3,-54,24.17,ami1_L
7,2023,8,31,12,52,4,-53,24.17,ami1_L
8,2023,8,31,12,52,5,-52,24.26,ami1_L
9,2023,8,31,12,52,6,-51,24.26,ami1_L
10,2023,8,31,12,52,7,-50,24.17,ami1_L
11,2023,8,31,12,52,8,-49,24.26,ami1_L
12,2023,8,31,12,52,9,-48,24.26,ami1_L
13,2023,8,31,12,52,10,-47,24.17,ami1_L
14,2023,8,31,12,52,11,-46,24.17,ami1_L
15,2023,8,31,12,52,12,-45,24.26,ami1_L
16,2023,8,31,12,52,13,-44,24.17,ami1_L
17,2023,8,31,12,52,14,-43,24.17,ami1_L
18,2023,8,31,12,52,15,-42,24.26,ami1_L
19,2023,8,31,12,52,16,-41,24.17,ami1_L
20,2023,8,31,12,52,17,-40,24.17,ami1_L
21,2023,8,31,12,52,18,-39,24.17,ami1_L
22,2023,8,31,12,52,20,-38,24.17,ami1_L
23,2023,8,31,12,52,21,-37,24.17,ami1_L
24,2023,8,31,12,52,22,-36,24.17,ami1_L
25,2023,8,31,12,52,23,-35,24.17,ami1_L
26,2023,8,31,12,52,24,-34,24.17,ami1_L
27,2023,8,31,12,52,25,-33,24.17,ami1_L
28,2023,8,31,12,52,26,-32,24.26,ami1_L
29,2023,8,31,12,52,27,-31,24.17,ami1_L
30,2023,8,31,12,52,28,-30,24.26,ami1_L
31,2023,8,31,12,52,29,-29,24.17,ami1_L
32,2023,8,31,12,52,30,-28,24.17,ami1_L
33,2023,8,31,12,52,31,-27,24.17,ami1_L
34,2023,8,31,12,52,32,-26,24.17,ami1_L
35,2023,8,31,12,52,33,-25,24.09,ami1_L
36,2023,8,31,12,52,34,-24,24.17,ami1_L
37,2023,8,31,12,52,35,-23,24.17,ami1_L
38,2023,8,31,12,52,36,-22,24.17,ami1_L
39,2023,8,31,12,52,37,-21,24.17,ami1_L
40,2023,8,31,12,52,38,-20,24.17,ami1_L
41,2023,8,31,12,52,39,-19,24.17,ami1_L
42,2023,8,31,12,52,40,-18,24.17,ami1_L
43,2023,8,31,12,52,41,-17,24.09,ami1_L
44,2023,8,31,12,52,42,-16,24.17,ami1_L
45,2023,8,31,12,52,43,-15,24.17,ami1_L
46,2023,8,31,12,52,44,-14,24.17,ami1_L
47,2023,8,31,12,52,45,-13,24.17,ami1_L
48,2023,8,31,12,52,46,-12,24.17,ami1_L
49,2023,8,31,12,52,47,-11,24.17,ami1_L
50,2023,8,31,12,52,48,-10,24.17,ami1_L
51,2023,8,31,12,52,49,-9,24.17,ami1_L
52,2023,8,31,12,52,50,-8,24.17,ami1_L
53,2023,8,31,12,52,51,-7,24.17,ami1_L
54,2023,8,31,12,52,52,-6,24.17,ami1_L
55,2023,8,31,12,52,53,-5,24.17,ami1_L
56,2023,8,31,12,52,54,-4,24.17,ami1_L
57,2023,8,31,12,52,55,-3,24.17,ami1_L
58,2023,8,31,12,52,57,-2,24.17,ami1_L
59,2023,8,31,12,52,58,-1,24.17,ami1_L
60,2023,8,31,12,52,59,0,24.17,ami1_L
61,2023,8,31,12,53,0,1,24.17,ami1_L
62,2023,8,31,12,53,1,2,24.17,ami1_L
63,2023,8,31,12,53,2,3,24.17,ami1_L
64,2023,8,31,12,53,3,4,24.17,ami1_L
65,2023,8,31,12,53,4,5,24.17,ami1_L
66,2023,8,31,12,53,5,6,24.17,ami1_L
67,2023,8,31,12,53,6,7,24.09,ami1_L
68,2023,8,31,12,53,7,8,24.17,ami1_L
69,2023,8,31,12,53,8,9,24.17,ami1_L
70,2023,8,31,12,53,9,10,24.09,ami1_L
71,2023,8,31,12,53,10,11,24.17,ami1_L
72,2023,8,31,12,53,11,12,24.09,ami1_L
73,2023,8,31,12,53,12,13,24.17,ami1_L
74,2023,8,31,12,53,13,14,24.17,ami1_L
75,2023,8,31,12,53,14,15,24.17,ami1_L
76,2023,8,31,12,53,15,16,24.17,ami1_L
77,2023,8,31,12,53,16,17,24.17,ami1_L
78,2023,8,31,12,53,17,18,24.01,ami1_L
79,2023,8,31,12,53,18,19,24.17,ami1_L
80,2023,8,31,12,53,19,20,24.17,ami1_L
81,2023,8,31,12,53,20,21,24.09,ami1_L
82,2023,8,31,12,53,21,22,24.17,ami1_L
83,2023,8,31,12,53,22,23,24.09,ami1_L
84,2023,8,31,12,53,23,24,24.17,ami1_L
85,2023,8,31,12,53,24,25,24.17,ami1_L
86,2023,8,31,12,53,25,26,24.09,ami1_L
87,2023,8,31,12,53,26,27,24.09,ami1_L
88,2023,8,31,12,53,27,28,24.09,ami1_L
89,2023,8,31,12,53,28,29,24.17,ami1_L
90,2023,8,31,12,53,29,30,24.17,ami1_L
91,2023,8,31,12,53,30,31,24.17,ami1_L
92,2023,8,31,12,53,31,32,24.17,ami1_L
93,2023,8,31,12,53,32,33,24.09,ami1_L
94,2023,8,31,12,53,34,34,24.09,ami1_L
95,2023,8,31,12,53,35,35,24.09,ami1_L
96,2023,8,31,12,53,36,36,24.17,ami1_L
97,2023,8,31,12,53,37,37,24.17,ami1_L
98,2023,8,31,12,53,38,38,24.09,ami1_L
99,2023,8,31,12,53,39,39,24.09,ami1_L
100,2023,8,31,12,53,40,40,24.17,ami1_L
101,2023,8,31,12,53,41,41,24.09,ami1_L
102,2023,8,31,12,53,42,42,24.17,ami1_L
103,2023,8,31,12,53,43,43,24.17,ami1_L
104,2023,8,31,12,53,44,44,24.09,ami1_L
105,2023,8,31,12,53,45,45,24.17,ami1_L
106,2023,8,31,12,53,46,46,24.17,ami1_L
107,2023,8,31,12,53,47,47,24.09,ami1_L
108,2023,8,31,12,53,48,48,24.09,ami1_L
109,2023,8,31,12,53,49,49,24.09,ami1_L
110,2023,8,31,12,53,50,50,24.09,ami1_L
111,2023,8,31,12,53,51,51,24.09,ami1_L
112,2023,8,31,12,53,52,52,24.09,ami1_L
113,2023,8,31,12,53,53,53,24.17,ami1_L
114,2023,8,31,12,53,54,54,24.09,ami1_L
115,2023,8,31,12,53,55,55,24.09,ami1_L
116,2023,8,31,12,53,56,56,24.09,ami1_L
117,2023,8,31,12,53,57,57,24.09,ami1_L
118,2023,8,31,12,53,58,58,24.17,ami1_L
119,2023,8,31,12,53,59,59,24.09,ami1_L
120,2023,8,31,12,54,0,60,24.09,ami1_L
121,2023,8,31,12,54,1,61,24.09,ami1_L
122,2023,8,31,12,54,2,62,24.17,ami1_L
123,2023,8,31,12,54,3,63,24.17,ami1_L
124,2023,8,31,12,54,4,64,24.09,ami1_L
125,2023,8,31,12,54,5,65,24.17,ami1_L
126,2023,8,31,12,54,6,66,24.01,ami1_L
127,2023,8,31,12,54,7,67,24.09,ami1_L
128,2023,8,31,12,54,8,68,24.09,ami1_L
129,2023,8,31,12,54,9,69,24.09,ami1_L
130,2023,8,31,12,54,10,70,24.09,ami1_L
131,2023,8,31,12,54,12,71,24.09,ami1_L
132,2023,8,31,12,54,13,72,24.09,ami1_L
133,2023,8,31,12,54,14,73,24.09,ami1_L
134,2023,8,31,12,54,15,74,24.09,ami1_L
135,2023,8,31,12,54,16,75,24.09,ami1_L
136,2023,8,31,12,54,17,76,24.17,ami1_L
137,2023,8,31,12,54,18,77,24.09,ami1_L
138,2023,8,31,12,54,19,78,24.09,ami1_L
139,2023,8,31,12,54,20,79,24.09,ami1_L
140,2023,8,31,12,54,21,80,24.09,ami1_L
141,2023,8,31,12,54,22,81,24.09,ami1_L
142,2023,8,31,12,54,23,82,24.09,ami1_L
143,2023,8,31,12,54,24,83,24.09,ami1_L
144,2023,8,31,12,54,25,84,24.09,ami1_L
145,2023,8,31,12,54,26,85,24.09,ami1_L
146,2023,8,31,12,54,27,86,24.09,ami1_L
147,2023,8,31,12,54,28,87,24.09,ami1_L
148,2023,8,31,12,54,29,88,24.01,ami1_L
149,2023,8,31,12,54,30,89,24.09,ami1_L
150,2023,8,31,12,54,31,90,24.09,ami1_L
151,2023,8,31,12,54,32,91,24.09,ami1_L
152,2023,8,31,12,54,33,92,24.09,ami1_L
153,2023,8,31,12,54,34,93,24.09,ami1_L
154,2023,8,31,12,54,35,94,24.09,ami1_L
155,2023,8,31,12,54,36,95,24.09,ami1_L
156,2023,8,31,12,54,37,96,24.09,ami1_L
157,2023,8,31,12,54,38,97,24.09,ami1_L
158,2023,8,31,12,54,39,98,24.09,ami1_L
159,2023,8,31,12,54,40,99,24.09,ami1_L
160,2023,8,31,12,54,41,100,24.09,ami1_L
161,2023,8,31,12,54,42,101,24.09,ami1_L
162,2023,8,31,12,54,43,102,24.09,ami1_L
163,2023,8,31,12,54,44,103,24.09,ami1_L
164,2023,8,31,12,54,45,104,24.09,ami1_L
165,2023,8,31,12,54,46,105,24.09,ami1_L
166,2023,8,31,12,54,47,106,24.09,ami1_L
167,2023,8,31,12,54,49,107,24.09,ami1_L
168,2023,8,31,12,54,50,108,24.09,ami1_L
169,2023,8,31,12,54,51,109,24.01,ami1_L
170,2023,8,31,12,54,52,110,24.09,ami1_L
171,2023,8,31,12,54,53,111,24.09,ami1_L
172,2023,8,31,12,54,54,112,24.09,ami1_L
173,2023,8,31,12,54,55,113,24.09,ami1_L
174,2023,8,31,12,54,56,114,24.09,ami1_L
175,2023,8,31,12,54,57,115,24.01,ami1_L
176,2023,8,31,12,54,58,116,24.09,ami1_L
177,2023,8,31,12,54,59,117,24.09,ami1_L
178,2023,8,31,12,55,0,118,24.09,ami1_L
179,2023,8,31,12,55,1,119,24.01,ami1_L
180,2023,8,31,12,55,2,120,24.09,ami1_L
181,2023,8,31,12,55,3,121,24.09,ami1_L
182,2023,8,31,12,55,4,122,24.09,ami1_L
183,2023,8,31,12,55,5,123,24.01,ami1_L
184,2023,8,31,12,55,6,124,24.09,ami1_L
185,2023,8,31,12,55,7,125,24.09,ami1_L
186,2023,8,31,12,55,8,126,24.09,ami1_L
187,2023,8,31,12,55,9,127,24.09,ami1_L
188,2023,8,31,12,55,10,128,24.01,ami1_L
189,2023,8,31,12,55,11,129,24.09,ami1_L
190,2023,8,31,12,55,12,130,24.09,ami1_L
191,2023,8,31,12,55,13,131,24.09,ami1_L
192,2023,8,31,12,55,14,132,24.09,ami1_L
193,2023,8,31,12,55,15,133,24.09,ami1_L
194,2023,8,31,12,55,16,134,24.09,ami1_L
195,2023,8,31,12,55,17,135,24.09,ami1_L
196,2023,8,31,12,55,18,136,24.09,ami1_L
197,2023,8,31,12,55,19,137,24.09,ami1_L
198,2023,8,31,12,55,20,138,24.01,ami1_L
199,2023,8,31,12,55,21,139,24.09,ami1_L
200,2023,8,31,12,55,22,140,24.09,ami1_L
201,2023,8,31,12,55,23,141,24.01,ami1_L
202,2023,8,31,12,55,25,142,24.09,ami1_L
203,2023,8,31,12,55,26,143,24.01,ami1_L
204,2023,8,31,12,55,27,144,24.09,ami1_L
205,2023,8,31,12,55,28,145,24.09,ami1_L
206,2023,8,31,12,55,29,146,24.09,ami1_L
207,2023,8,31,12,55,30,147,24.09,ami1_L
208,2023,8,31,12,55,31,148,24.09,ami1_L
209,2023,8,31,12,55,32,149,24.09,ami1_L
210,2023,8,31,12,55,33,150,24.09,ami1_L
211,2023,8,31,12,55,34,151,24.09,ami1_L
212,2023,8,31,12,55,35,152,24.09,ami1_L
213,2023,8,31,12,55,36,153,24.01,ami1_L
214,2023,8,31,12,55,37,154,24.09,ami1_L
215,2023,8,31,12,55,38,155,24.09,ami1_L
216,2023,8,31,12,55,39,156,24.09,ami1_L
217,2023,8,31,12,55,40,157,24.09,ami1_L
218,2023,8,31,12,55,41,158,24.01,ami1_L
219,2023,8,31,12,55,42,159,24.09,ami1_L
220,2023,8,31,12,55,43,160,24.01,ami1_L
221,2023,8,31,12,55,44,161,24.01,ami1_L
222,2023,8,31,12,55,45,162,24.09,ami1_L
223,2023,8,31,12,55,46,163,24.01,ami1_L
224,2023,8,31,12,55,47,164,24.09,ami1_L
225,2023,8,31,12,55,48,165,24.01,ami1_L
226,2023,8,31,12,55,49,166,24.01,ami1_L
227,2023,8,31,12,55,50,167,24.09,ami1_L
228,2023,8,31,12,55,51,168,24.09,ami1_L
229,2023,8,31,12,55,52,169,24.09,ami1_L
230,2023,8,31,12,55,53,170,24.01,ami1_L
231,2023,8,31,12,55,54,171,24.01,ami1_L
232,2023,8,31,12,55,55,172,24.09,ami1_L
233,2023,8,31,12,55,56,173,24.01,ami1_L
234,2023,8,31,12,55,57,174,24.01,ami1_L
235,2023,8,31,12,55,58,175,24.09,ami1_L
236,2023,8,31,12,55,59,176,24.01,ami1_L
237,2023,8,31,12,56,1,177,24.01,ami1_L
238,2023,8,31,12,56,2,178,24.09,ami1_L
239,2023,8,31,12,56,3,179,24.09,ami1_L
240,2023,8,31,12,56,4,180,24.09,ami1_L
