id,year,month,day,hour,minute,second,Etime,Tcham,sample
241,2023,8,10,13,51,26,-60,28.91,ami2_F
242,2023,8,10,13,51,27,-59,28.99,ami2_F
243,2023,8,10,13,51,28,-58,28.91,ami2_F
244,2023,8,10,13,51,29,-57,28.99,ami2_F
245,2023,8,10,13,51,30,-56,28.99,ami2_F
246,2023,8,10,13,51,31,-55,28.99,ami2_F
247,2023,8,10,13,51,32,-54,28.99,ami2_F
248,2023,8,10,13,51,33,-53,28.99,ami2_F
249,2023,8,10,13,51,34,-52,28.99,ami2_F
250,2023,8,10,13,51,35,-51,28.99,ami2_F
251,2023,8,10,13,51,36,-50,28.99,ami2_F
252,2023,8,10,13,51,37,-49,29.08,ami2_F
253,2023,8,10,13,51,38,-48,29.08,ami2_F
254,2023,8,10,13,51,39,-47,28.99,ami2_F
255,2023,8,10,13,51,40,-46,29.08,ami2_F
256,2023,8,10,13,51,41,-45,29.08,ami2_F
257,2023,8,10,13,51,42,-44,29.08,ami2_F
258,2023,8,10,13,51,43,-43,29.08,ami2_F
259,2023,8,10,13,51,44,-42,29.08,ami2_F
260,2023,8,10,13,51,45,-41,28.99,ami2_F
261,2023,8,10,13,51,46,-40,29.08,ami2_F
262,2023,8,10,13,51,47,-39,29.16,ami2_F
263,2023,8,10,13,51,48,-38,29.08,ami2_F
264,2023,8,10,13,51,49,-37,29.16,ami2_F
265,2023,8,10,13,51,51,-36,29.16,ami2_F
266,2023,8,10,13,51,52,-35,29.08,ami2_F
267,2023,8,10,13,51,53,-34,29.16,ami2_F
268,2023,8,10,13,51,54,-33,29.16,ami2_F
269,2023,8,10,13,51,55,-32,29.16,ami2_F
270,2023,8,10,13,51,56,-31,29.16,ami2_F
271,2023,8,10,13,51,57,-30,29.16,ami2_F
272,2023,8,10,13,51,58,-29,29.16,ami2_F
273,2023,8,10,13,51,59,-28,29.25,ami2_F
274,2023,8,10,13,52,0,-27,29.16,ami2_F
275,2023,8,10,13,52,1,-26,29.16,ami2_F
276,2023,8,10,13,52,2,-25,29.16,ami2_F
277,2023,8,10,13,52,3,-24,29.25,ami2_F
278,2023,8,10,13,52,4,-23,29.16,ami2_F
279,2023,8,10,13,52,5,-22,29.25,ami2_F
280,2023,8,10,13,52,6,-21,29.25,ami2_F
281,2023,8,10,13,52,7,-20,29.25,ami2_F
282,2023,8,10,13,52,8,-19,29.25,ami2_F
283,2023,8,10,13,52,9,-18,29.25,ami2_F
284,2023,8,10,13,52,10,-17,29.25,ami2_F
285,2023,8,10,13,52,11,-16,29.25,ami2_F
286,2023,8,10,13,52,12,-15,29.25,ami2_F
287,2023,8,10,13,52,13,-14,29.25,ami2_F
288,2023,8,10,13,52,14,-13,29.25,ami2_F
289,2023,8,10,13,52,15,-12,29.25,ami2_F
290,2023,8,10,13,52,16,-11,29.25,ami2_F
291,2023,8,10,13,52,17,-10,29.25,ami2_F
292,2023,8,10,13,52,18,-9,29.25,ami2_F
293,2023,8,10,13,52,19,-8,29.25,ami2_F
294,2023,8,10,13,52,20,-7,29.34,ami2_F
295,2023,8,10,13,52,21,-6,29.34,ami2_F
296,2023,8,10,13,52,22,-5,29.25,ami2_F
297,2023,8,10,13,52,23,-4,29.34,ami2_F
298,2023,8,10,13,52,24,-3,29.34,ami2_F
299,2023,8,10,13,52,25,-2,29.34,ami2_F
300,2023,8,10,13,52,26,-1,29.34,ami2_F
301,2023,8,10,13,52,28,0,29.34,ami2_F
302,2023,8,10,13,52,29,1,29.34,ami2_F
303,2023,8,10,13,52,30,2,29.34,ami2_F
304,2023,8,10,13,52,31,3,29.34,ami2_F
305,2023,8,10,13,52,32,4,29.34,ami2_F
306,2023,8,10,13,52,33,5,29.34,ami2_F
307,2023,8,10,13,52,34,6,29.34,ami2_F
308,2023,8,10,13,52,35,7,29.34,ami2_F
309,2023,8,10,13,52,36,8,29.25,ami2_F
310,2023,8,10,13,52,37,9,29.42,ami2_F
311,2023,8,10,13,52,38,10,29.34,ami2_F
312,2023,8,10,13,52,39,11,29.34,ami2_F
313,2023,8,10,13,52,40,12,29.34,ami2_F
314,2023,8,10,13,52,41,13,29.42,ami2_F
315,2023,8,10,13,52,42,14,29.42,ami2_F
316,2023,8,10,13,52,43,15,29.34,ami2_F
317,2023,8,10,13,52,44,16,29.42,ami2_F
318,2023,8,10,13,52,45,17,29.34,ami2_F
319,2023,8,10,13,52,46,18,29.34,ami2_F
320,2023,8,10,13,52,47,19,29.42,ami2_F
321,2023,8,10,13,52,48,20,29.42,ami2_F
322,2023,8,10,13,52,49,21,29.34,ami2_F
323,2023,8,10,13,52,50,22,29.34,ami2_F
324,2023,8,10,13,52,51,23,29.42,ami2_F
325,2023,8,10,13,52,52,24,29.42,ami2_F
326,2023,8,10,13,52,53,25,29.42,ami2_F
327,2023,8,10,13,52,54,26,29.42,ami2_F
328,2023,8,10,13,52,55,27,29.42,ami2_F
329,2023,8,10,13,52,56,28,29.42,ami2_F
330,2023,8,10,13,52,57,29,29.42,ami2_F
331,2023,8,10,13,52,58,30,29.42,ami2_F
332,2023,8,10,13,52,59,31,29.42,ami2_F
333,2023,8,10,13,53,0,32,29.42,ami2_F
334,2023,8,10,13,53,1,33,29.42,ami2_F
335,2023,8,10,13,53,2,34,29.42,ami2_F
336,2023,8,10,13,53,3,35,29.42,ami2_F
337,2023,8,10,13,53,5,36,29.51,ami2_F
338,2023,8,10,13,53,6,37,29.42,ami2_F
339,2023,8,10,13,53,7,38,29.42,ami2_F
340,2023,8,10,13,53,8,39,29.42,ami2_F
341,2023,8,10,13,53,9,40,29.51,ami2_F
342,2023,8,10,13,53,10,41,29.42,ami2_F
343,2023,8,10,13,53,11,42,29.42,ami2_F
344,2023,8,10,13,53,12,43,29.51,ami2_F
345,2023,8,10,13,53,13,44,29.51,ami2_F
346,2023,8,10,13,53,14,45,29.51,ami2_F
347,2023,8,10,13,53,15,46,29.42,ami2_F
348,2023,8,10,13,53,16,47,29.42,ami2_F
349,2023,8,10,13,53,17,48,29.42,ami2_F
350,2023,8,10,13,53,18,49,29.51,ami2_F
351,2023,8,10,13,53,19,50,29.42,ami2_F
352,2023,8,10,13,53,20,51,29.51,ami2_F
353,2023,8,10,13,53,21,52,29.51,ami2_F
354,2023,8,10,13,53,22,53,29.42,ami2_F
355,2023,8,10,13,53,23,54,29.51,ami2_F
356,2023,8,10,13,53,24,55,29.51,ami2_F
357,2023,8,10,13,53,25,56,29.51,ami2_F
358,2023,8,10,13,53,26,57,29.51,ami2_F
359,2023,8,10,13,53,27,58,29.51,ami2_F
360,2023,8,10,13,53,28,59,29.51,ami2_F
361,2023,8,10,13,53,29,60,29.51,ami2_F
362,2023,8,10,13,53,30,61,29.51,ami2_F
363,2023,8,10,13,53,31,62,29.51,ami2_F
364,2023,8,10,13,53,32,63,29.51,ami2_F
365,2023,8,10,13,53,33,64,29.51,ami2_F
366,2023,8,10,13,53,34,65,29.51,ami2_F
367,2023,8,10,13,53,35,66,29.51,ami2_F
368,2023,8,10,13,53,36,67,29.51,ami2_F
369,2023,8,10,13,53,37,68,29.51,ami2_F
370,2023,8,10,13,53,38,69,29.51,ami2_F
371,2023,8,10,13,53,39,70,29.51,ami2_F
372,2023,8,10,13,53,40,71,29.51,ami2_F
373,2023,8,10,13,53,41,72,29.51,ami2_F
374,2023,8,10,13,53,43,73,29.51,ami2_F
375,2023,8,10,13,53,44,74,29.59,ami2_F
376,2023,8,10,13,53,45,75,29.59,ami2_F
377,2023,8,10,13,53,46,76,29.51,ami2_F
378,2023,8,10,13,53,47,77,29.51,ami2_F
379,2023,8,10,13,53,48,78,29.51,ami2_F
380,2023,8,10,13,53,49,79,29.59,ami2_F
381,2023,8,10,13,53,50,80,29.59,ami2_F
382,2023,8,10,13,53,51,81,29.59,ami2_F
383,2023,8,10,13,53,52,82,29.59,ami2_F
384,2023,8,10,13,53,53,83,29.59,ami2_F
385,2023,8,10,13,53,54,84,29.51,ami2_F
386,2023,8,10,13,53,55,85,29.59,ami2_F
387,2023,8,10,13,53,56,86,29.59,ami2_F
388,2023,8,10,13,53,57,87,29.59,ami2_F
389,2023,8,10,13,53,58,88,29.59,ami2_F
390,2023,8,10,13,53,59,89,29.59,ami2_F
391,2023,8,10,13,54,0,90,29.59,ami2_F
392,2023,8,10,13,54,1,91,29.59,ami2_F
393,2023,8,10,13,54,2,92,29.59,ami2_F
394,2023,8,10,13,54,3,93,29.51,ami2_F
395,2023,8,10,13,54,4,94,29.59,ami2_F
396,2023,8,10,13,54,5,95,29.59,ami2_F
397,2023,8,10,13,54,6,96,29.59,ami2_F
398,2023,8,10,13,54,7,97,29.59,ami2_F
399,2023,8,10,13,54,8,98,29.59,ami2_F
400,2023,8,10,13,54,9,99,29.59,ami2_F
401,2023,8,10,13,54,10,100,29.59,ami2_F
402,2023,8,10,13,54,11,101,29.59,ami2_F
403,2023,8,10,13,54,12,102,29.59,ami2_F
404,2023,8,10,13,54,13,103,29.59,ami2_F
405,2023,8,10,13,54,14,104,29.68,ami2_F
406,2023,8,10,13,54,15,105,29.59,ami2_F
407,2023,8,10,13,54,16,106,29.59,ami2_F
408,2023,8,10,13,54,17,107,29.59,ami2_F
409,2023,8,10,13,54,18,108,29.59,ami2_F
410,2023,8,10,13,54,20,109,29.68,ami2_F
411,2023,8,10,13,54,21,110,29.68,ami2_F
412,2023,8,10,13,54,22,111,29.68,ami2_F
413,2023,8,10,13,54,23,112,29.59,ami2_F
414,2023,8,10,13,54,24,113,29.59,ami2_F
415,2023,8,10,13,54,25,114,29.68,ami2_F
416,2023,8,10,13,54,26,115,29.68,ami2_F
417,2023,8,10,13,54,27,116,29.59,ami2_F
418,2023,8,10,13,54,28,117,29.68,ami2_F
419,2023,8,10,13,54,29,118,29.59,ami2_F
420,2023,8,10,13,54,30,119,29.68,ami2_F
421,2023,8,10,13,54,31,120,29.59,ami2_F
422,2023,8,10,13,54,32,121,29.68,ami2_F
423,2023,8,10,13,54,33,122,29.68,ami2_F
424,2023,8,10,13,54,34,123,29.59,ami2_F
425,2023,8,10,13,54,35,124,29.68,ami2_F
426,2023,8,10,13,54,36,125,29.68,ami2_F
427,2023,8,10,13,54,37,126,29.68,ami2_F
428,2023,8,10,13,54,38,127,29.68,ami2_F
429,2023,8,10,13,54,39,128,29.68,ami2_F
430,2023,8,10,13,54,40,129,29.59,ami2_F
431,2023,8,10,13,54,41,130,29.68,ami2_F
432,2023,8,10,13,54,42,131,29.68,ami2_F
433,2023,8,10,13,54,43,132,29.68,ami2_F
434,2023,8,10,13,54,44,133,29.68,ami2_F
435,2023,8,10,13,54,45,134,29.68,ami2_F
436,2023,8,10,13,54,46,135,29.59,ami2_F
437,2023,8,10,13,54,47,136,29.68,ami2_F
438,2023,8,10,13,54,48,137,29.68,ami2_F
439,2023,8,10,13,54,49,138,29.68,ami2_F
440,2023,8,10,13,54,50,139,29.68,ami2_F
441,2023,8,10,13,54,51,140,29.68,ami2_F
442,2023,8,10,13,54,52,141,29.68,ami2_F
443,2023,8,10,13,54,53,142,29.68,ami2_F
444,2023,8,10,13,54,55,143,29.68,ami2_F
445,2023,8,10,13,54,56,144,29.68,ami2_F
446,2023,8,10,13,54,57,145,29.68,ami2_F
447,2023,8,10,13,54,58,146,29.68,ami2_F
448,2023,8,10,13,54,59,147,29.68,ami2_F
