id,year,month,day,hour,minute,second,Etime,Tcham,sample
241,2023,8,31,13,12,32,-60,23.59,cp1_L
242,2023,8,31,13,12,33,-59,23.67,cp1_L
243,2023,8,31,13,12,34,-58,23.67,cp1_L
244,2023,8,31,13,12,35,-57,23.67,cp1_L
245,2023,8,31,13,12,36,-56,23.67,cp1_L
246,2023,8,31,13,12,37,-55,23.67,cp1_L
247,2023,8,31,13,12,38,-54,23.67,cp1_L
248,2023,8,31,13,12,39,-53,23.67,cp1_L
249,2023,8,31,13,12,40,-52,23.59,cp1_L
250,2023,8,31,13,12,41,-51,23.67,cp1_L
251,2023,8,31,13,12,42,-50,23.67,cp1_L
252,2023,8,31,13,12,43,-49,23.67,cp1_L
253,2023,8,31,13,12,44,-48,23.67,cp1_L
254,2023,8,31,13,12,45,-47,23.67,cp1_L
255,2023,8,31,13,12,46,-46,23.67,cp1_L
256,2023,8,31,13,12,47,-45,23.67,cp1_L
257,2023,8,31,13,12,48,-44,23.67,cp1_L
258,2023,8,31,13,12,49,-43,23.67,cp1_L
259,2023,8,31,13,12,50,-42,23.67,cp1_L
260,2023,8,31,13,12,51,-41,23.67,cp1_L
261,2023,8,31,13,12,52,-40,23.59,cp1_L
262,2023,8,31,13,12,53,-39,23.67,cp1_L
263,2023,8,31,13,12,54,-38,23.67,cp1_L
264,2023,8,31,13,12,55,-37,23.67,cp1_L
265,2023,8,31,13,12,56,-36,23.67,cp1_L
266,2023,8,31,13,12,57,-35,23.67,cp1_L
267,2023,8,31,13,12,58,-34,23.67,cp1_L
268,2023,8,31,13,12,59,-33,23.59,cp1_L
269,2023,8,31,13,13,0,-32,23.67,cp1_L
270,2023,8,31,13,13,1,-31,23.67,cp1_L
271,2023,8,31,13,13,2,-30,23.67,cp1_L
272,2023,8,31,13,13,3,-29,23.67,cp1_L
273,2023,8,31,13,13,4,-28,23.67,cp1_L
274,2023,8,31,13,13,5,-27,23.67,cp1_L
275,2023,8,31,13,13,6,-26,23.67,cp1_L
276,2023,8,31,13,13,8,-25,23.67,cp1_L
