id,year,month,day,hour,minute,second,Etime,Tcham,sample
0,2023,8,10,16,13,9,-60,27.29,cp5_F
1,2023,8,10,16,13,10,-59,27.29,cp5_F
2,2023,8,10,16,13,11,-58,27.29,cp5_F
3,2023,8,10,16,13,12,-57,27.29,cp5_F
4,2023,8,10,16,13,13,-56,27.29,cp5_F
5,2023,8,10,16,13,14,-55,27.29,cp5_F
6,2023,8,10,16,13,15,-54,27.29,cp5_F
7,2023,8,10,16,13,16,-53,27.29,cp5_F
8,2023,8,10,16,13,17,-52,27.2,cp5_F
9,2023,8,10,16,13,18,-51,27.29,cp5_F
10,2023,8,10,16,13,19,-50,27.29,cp5_F
11,2023,8,10,16,13,20,-49,27.29,cp5_F
12,2023,8,10,16,13,22,-48,27.29,cp5_F
13,2023,8,10,16,13,23,-47,27.29,cp5_F
14,2023,8,10,16,13,24,-46,27.29,cp5_F
15,2023,8,10,16,13,25,-45,27.29,cp5_F
16,2023,8,10,16,13,26,-44,27.37,cp5_F
17,2023,8,10,16,13,27,-43,27.29,cp5_F
18,2023,8,10,16,13,28,-42,27.29,cp5_F
19,2023,8,10,16,13,29,-41,27.37,cp5_F
20,2023,8,10,16,13,30,-40,27.29,cp5_F
21,2023,8,10,16,13,31,-39,27.29,cp5_F
22,2023,8,10,16,13,32,-38,27.29,cp5_F
23,2023,8,10,16,13,33,-37,27.29,cp5_F
24,2023,8,10,16,13,34,-36,27.37,cp5_F
25,2023,8,10,16,13,35,-35,27.29,cp5_F
26,2023,8,10,16,13,36,-34,27.29,cp5_F
27,2023,8,10,16,13,37,-33,27.29,cp5_F
28,2023,8,10,16,13,38,-32,27.29,cp5_F
29,2023,8,10,16,13,39,-31,27.29,cp5_F
30,2023,8,10,16,13,40,-30,27.29,cp5_F
31,2023,8,10,16,13,41,-29,27.29,cp5_F
32,2023,8,10,16,13,42,-28,27.29,cp5_F
33,2023,8,10,16,13,43,-27,27.29,cp5_F
34,2023,8,10,16,13,44,-26,27.2,cp5_F
35,2023,8,10,16,13,45,-25,27.37,cp5_F
36,2023,8,10,16,13,46,-24,27.37,cp5_F
37,2023,8,10,16,13,47,-23,27.37,cp5_F
38,2023,8,10,16,13,48,-22,27.37,cp5_F
39,2023,8,10,16,13,49,-21,27.29,cp5_F
40,2023,8,10,16,13,50,-20,27.29,cp5_F
41,2023,8,10,16,13,51,-19,27.29,cp5_F
42,2023,8,10,16,13,52,-18,27.37,cp5_F
43,2023,8,10,16,13,53,-17,27.29,cp5_F
44,2023,8,10,16,13,54,-16,27.29,cp5_F
45,2023,8,10,16,13,55,-15,27.37,cp5_F
46,2023,8,10,16,13,56,-14,27.37,cp5_F
47,2023,8,10,16,13,58,-13,27.37,cp5_F
48,2023,8,10,16,13,59,-12,27.29,cp5_F
49,2023,8,10,16,14,0,-11,27.37,cp5_F
50,2023,8,10,16,14,1,-10,27.37,cp5_F
51,2023,8,10,16,14,2,-9,27.29,cp5_F
52,2023,8,10,16,14,3,-8,27.37,cp5_F
53,2023,8,10,16,14,4,-7,27.37,cp5_F
54,2023,8,10,16,14,5,-6,27.29,cp5_F
55,2023,8,10,16,14,6,-5,27.37,cp5_F
56,2023,8,10,16,14,7,-4,27.37,cp5_F
57,2023,8,10,16,14,8,-3,27.29,cp5_F
58,2023,8,10,16,14,9,-2,27.37,cp5_F
59,2023,8,10,16,14,10,-1,27.37,cp5_F
60,2023,8,10,16,14,11,0,27.29,cp5_F
61,2023,8,10,16,14,12,1,27.29,cp5_F
62,2023,8,10,16,14,13,2,27.37,cp5_F
63,2023,8,10,16,14,14,3,27.29,cp5_F
64,2023,8,10,16,14,15,4,27.37,cp5_F
65,2023,8,10,16,14,16,5,27.37,cp5_F
66,2023,8,10,16,14,17,6,27.37,cp5_F
67,2023,8,10,16,14,18,7,27.37,cp5_F
68,2023,8,10,16,14,19,8,27.29,cp5_F
69,2023,8,10,16,14,20,9,27.29,cp5_F
70,2023,8,10,16,14,21,10,27.37,cp5_F
71,2023,8,10,16,14,22,11,27.37,cp5_F
72,2023,8,10,16,14,23,12,27.37,cp5_F
73,2023,8,10,16,14,24,13,27.37,cp5_F
74,2023,8,10,16,14,25,14,27.37,cp5_F
75,2023,8,10,16,14,26,15,27.37,cp5_F
