id,year,month,day,hour,minute,second,Etime,Tcham,sample
0,2023,8,31,13,7,26,-60,23.67,nas1_L
1,2023,8,31,13,7,27,-59,23.67,nas1_L
2,2023,8,31,13,7,28,-58,23.59,nas1_L
3,2023,8,31,13,7,29,-57,23.67,nas1_L
4,2023,8,31,13,7,30,-56,23.67,nas1_L
5,2023,8,31,13,7,31,-55,23.76,nas1_L
6,2023,8,31,13,7,32,-54,23.67,nas1_L
7,2023,8,31,13,7,33,-53,23.67,nas1_L
8,2023,8,31,13,7,34,-52,23.67,nas1_L
9,2023,8,31,13,7,35,-51,23.67,nas1_L
10,2023,8,31,13,7,36,-50,23.67,nas1_L
11,2023,8,31,13,7,37,-49,23.59,nas1_L
12,2023,8,31,13,7,38,-48,23.67,nas1_L
13,2023,8,31,13,7,39,-47,23.67,nas1_L
14,2023,8,31,13,7,40,-46,23.59,nas1_L
15,2023,8,31,13,7,41,-45,23.67,nas1_L
16,2023,8,31,13,7,42,-44,23.67,nas1_L
17,2023,8,31,13,7,43,-43,23.67,nas1_L
18,2023,8,31,13,7,44,-42,23.76,nas1_L
19,2023,8,31,13,7,45,-41,23.67,nas1_L
20,2023,8,31,13,7,46,-40,23.67,nas1_L
21,2023,8,31,13,7,47,-39,23.76,nas1_L
22,2023,8,31,13,7,48,-38,23.67,nas1_L
23,2023,8,31,13,7,49,-37,23.76,nas1_L
24,2023,8,31,13,7,50,-36,23.76,nas1_L
25,2023,8,31,13,7,51,-35,23.67,nas1_L
26,2023,8,31,13,7,52,-34,23.67,nas1_L
27,2023,8,31,13,7,53,-33,23.67,nas1_L
28,2023,8,31,13,7,54,-32,23.67,nas1_L
29,2023,8,31,13,7,56,-31,23.67,nas1_L
30,2023,8,31,13,7,57,-30,23.67,nas1_L
31,2023,8,31,13,7,58,-29,23.67,nas1_L
32,2023,8,31,13,7,59,-28,23.67,nas1_L
33,2023,8,31,13,8,0,-27,23.67,nas1_L
34,2023,8,31,13,8,1,-26,23.67,nas1_L
35,2023,8,31,13,8,2,-25,23.67,nas1_L
36,2023,8,31,13,8,3,-24,23.67,nas1_L
37,2023,8,31,13,8,4,-23,23.67,nas1_L
38,2023,8,31,13,8,5,-22,23.76,nas1_L
39,2023,8,31,13,8,6,-21,23.67,nas1_L
40,2023,8,31,13,8,7,-20,23.76,nas1_L
41,2023,8,31,13,8,8,-19,23.76,nas1_L
42,2023,8,31,13,8,9,-18,23.67,nas1_L
43,2023,8,31,13,8,10,-17,23.67,nas1_L
44,2023,8,31,13,8,11,-16,23.67,nas1_L
45,2023,8,31,13,8,12,-15,23.67,nas1_L
46,2023,8,31,13,8,13,-14,23.67,nas1_L
47,2023,8,31,13,8,14,-13,23.59,nas1_L
48,2023,8,31,13,8,15,-12,23.67,nas1_L
49,2023,8,31,13,8,16,-11,23.76,nas1_L
50,2023,8,31,13,8,17,-10,23.67,nas1_L
51,2023,8,31,13,8,18,-9,23.67,nas1_L
52,2023,8,31,13,8,19,-8,23.67,nas1_L
53,2023,8,31,13,8,20,-7,23.76,nas1_L
