id,year,month,day,hour,minute,second,Etime,Tcham,sample
241,2023,8,10,14,54,51,-60,26.95,nas2_F
242,2023,8,10,14,54,52,-59,26.95,nas2_F
243,2023,8,10,14,54,53,-58,27.03,nas2_F
244,2023,8,10,14,54,54,-57,27.03,nas2_F
245,2023,8,10,14,54,55,-56,26.95,nas2_F
246,2023,8,10,14,54,56,-55,26.95,nas2_F
247,2023,8,10,14,54,57,-54,27.03,nas2_F
248,2023,8,10,14,54,58,-53,27.03,nas2_F
249,2023,8,10,14,54,59,-52,27.03,nas2_F
250,2023,8,10,14,55,0,-51,27.03,nas2_F
251,2023,8,10,14,55,1,-50,27.03,nas2_F
252,2023,8,10,14,55,2,-49,26.95,nas2_F
253,2023,8,10,14,55,3,-48,27.03,nas2_F
254,2023,8,10,14,55,4,-47,27.03,nas2_F
255,2023,8,10,14,55,5,-46,27.03,nas2_F
256,2023,8,10,14,55,6,-45,27.03,nas2_F
257,2023,8,10,14,55,7,-44,27.03,nas2_F
258,2023,8,10,14,55,8,-43,27.03,nas2_F
259,2023,8,10,14,55,9,-42,27.12,nas2_F
260,2023,8,10,14,55,10,-41,27.03,nas2_F
261,2023,8,10,14,55,11,-40,27.03,nas2_F
262,2023,8,10,14,55,12,-39,27.03,nas2_F
263,2023,8,10,14,55,13,-38,27.12,nas2_F
264,2023,8,10,14,55,14,-37,27.03,nas2_F
265,2023,8,10,14,55,15,-36,27.12,nas2_F
266,2023,8,10,14,55,16,-35,27.12,nas2_F
267,2023,8,10,14,55,17,-34,27.12,nas2_F
268,2023,8,10,14,55,18,-33,27.12,nas2_F
269,2023,8,10,14,55,19,-32,27.2,nas2_F
270,2023,8,10,14,55,20,-31,27.12,nas2_F
271,2023,8,10,14,55,21,-30,27.12,nas2_F
272,2023,8,10,14,55,22,-29,27.12,nas2_F
273,2023,8,10,14,55,23,-28,27.12,nas2_F
274,2023,8,10,14,55,25,-27,27.12,nas2_F
275,2023,8,10,14,55,26,-26,27.2,nas2_F
276,2023,8,10,14,55,27,-25,27.12,nas2_F
277,2023,8,10,14,55,28,-24,27.2,nas2_F
278,2023,8,10,14,55,29,-23,27.2,nas2_F
279,2023,8,10,14,55,30,-22,27.2,nas2_F
280,2023,8,10,14,55,31,-21,27.2,nas2_F
281,2023,8,10,14,55,32,-20,27.2,nas2_F
282,2023,8,10,14,55,33,-19,27.2,nas2_F
283,2023,8,10,14,55,34,-18,27.2,nas2_F
284,2023,8,10,14,55,35,-17,27.2,nas2_F
285,2023,8,10,14,55,36,-16,27.2,nas2_F
286,2023,8,10,14,55,37,-15,27.2,nas2_F
287,2023,8,10,14,55,38,-14,27.2,nas2_F
288,2023,8,10,14,55,39,-13,27.2,nas2_F
289,2023,8,10,14,55,40,-12,27.2,nas2_F
290,2023,8,10,14,55,41,-11,27.2,nas2_F
291,2023,8,10,14,55,42,-10,27.2,nas2_F
292,2023,8,10,14,55,43,-9,27.2,nas2_F
293,2023,8,10,14,55,44,-8,27.29,nas2_F
294,2023,8,10,14,55,45,-7,27.29,nas2_F
295,2023,8,10,14,55,46,-6,27.29,nas2_F
296,2023,8,10,14,55,47,-5,27.29,nas2_F
297,2023,8,10,14,55,48,-4,27.2,nas2_F
298,2023,8,10,14,55,49,-3,27.29,nas2_F
299,2023,8,10,14,55,50,-2,27.29,nas2_F
300,2023,8,10,14,55,51,-1,27.29,nas2_F
301,2023,8,10,14,55,52,0,27.2,nas2_F
302,2023,8,10,14,55,53,1,27.29,nas2_F
303,2023,8,10,14,55,54,2,27.2,nas2_F
304,2023,8,10,14,55,55,3,27.29,nas2_F
305,2023,8,10,14,55,56,4,27.29,nas2_F
306,2023,8,10,14,55,57,5,27.29,nas2_F
307,2023,8,10,14,55,58,6,27.29,nas2_F
308,2023,8,10,14,55,59,7,27.2,nas2_F
309,2023,8,10,14,56,0,8,27.29,nas2_F
310,2023,8,10,14,56,2,9,27.29,nas2_F
311,2023,8,10,14,56,3,10,27.29,nas2_F
312,2023,8,10,14,56,4,11,27.29,nas2_F
313,2023,8,10,14,56,5,12,27.29,nas2_F
314,2023,8,10,14,56,6,13,27.29,nas2_F
315,2023,8,10,14,56,7,14,27.29,nas2_F
316,2023,8,10,14,56,8,15,27.29,nas2_F
317,2023,8,10,14,56,9,16,27.29,nas2_F
318,2023,8,10,14,56,10,17,27.37,nas2_F
319,2023,8,10,14,56,11,18,27.29,nas2_F
320,2023,8,10,14,56,12,19,27.37,nas2_F
321,2023,8,10,14,56,13,20,27.37,nas2_F
322,2023,8,10,14,56,14,21,27.37,nas2_F
323,2023,8,10,14,56,15,22,27.29,nas2_F
324,2023,8,10,14,56,16,23,27.37,nas2_F
