id,year,month,day,hour,minute,second,Etime,Tcham
0,2023,8,10,13,22,3,-60,29.51
1,2023,8,10,13,22,4,-59,29.51
2,2023,8,10,13,22,5,-58,29.51
3,2023,8,10,13,22,6,-57,29.59
4,2023,8,10,13,22,7,-56,29.59
5,2023,8,10,13,22,8,-55,29.59
6,2023,8,10,13,22,9,-54,29.59
7,2023,8,10,13,22,11,-53,29.59
8,2023,8,10,13,22,12,-52,29.68
9,2023,8,10,13,22,13,-51,29.68
10,2023,8,10,13,22,14,-50,29.77
11,2023,8,10,13,22,15,-49,29.77
12,2023,8,10,13,22,16,-48,29.77
13,2023,8,10,13,22,17,-47,29.85
14,2023,8,10,13,22,18,-46,29.85
15,2023,8,10,13,22,19,-45,29.85
16,2023,8,10,13,22,20,-44,29.94
17,2023,8,10,13,22,21,-43,29.85
18,2023,8,10,13,22,22,-42,29.85
19,2023,8,10,13,22,23,-41,29.94
20,2023,8,10,13,22,24,-40,29.94
21,2023,8,10,13,22,25,-39,29.94
22,2023,8,10,13,22,26,-38,30.03
23,2023,8,10,13,22,27,-37,30.11
24,2023,8,10,13,22,28,-36,30.03
25,2023,8,10,13,22,29,-35,30.11
26,2023,8,10,13,22,30,-34,30.11
27,2023,8,10,13,22,31,-33,30.11
28,2023,8,10,13,22,32,-32,30.11
29,2023,8,10,13,22,33,-31,30.20
30,2023,8,10,13,22,34,-30,30.20
31,2023,8,10,13,22,35,-29,30.29
32,2023,8,10,13,22,36,-28,30.29
33,2023,8,10,13,22,37,-27,30.29
34,2023,8,10,13,22,38,-26,30.29
35,2023,8,10,13,22,39,-25,30.37
36,2023,8,10,13,22,40,-24,30.37
37,2023,8,10,13,22,41,-23,30.46
38,2023,8,10,13,22,42,-22,30.37
39,2023,8,10,13,22,43,-21,30.37
40,2023,8,10,13,22,44,-20,30.46
41,2023,8,10,13,22,45,-19,30.46
42,2023,8,10,13,22,46,-18,30.55
43,2023,8,10,13,22,48,-17,30.55
44,2023,8,10,13,22,49,-16,30.55
45,2023,8,10,13,22,50,-15,30.55
46,2023,8,10,13,22,51,-14,30.64
47,2023,8,10,13,22,52,-13,30.64
48,2023,8,10,13,22,53,-12,30.64
49,2023,8,10,13,22,54,-11,30.64
50,2023,8,10,13,22,55,-10,30.72
51,2023,8,10,13,22,56,-9,30.72
52,2023,8,10,13,22,57,-8,30.72
53,2023,8,10,13,22,58,-7,30.72
54,2023,8,10,13,22,59,-6,30.72
55,2023,8,10,13,23,0,-5,30.72
56,2023,8,10,13,23,1,-4,30.81
57,2023,8,10,13,23,2,-3,30.72
58,2023,8,10,13,23,3,-2,30.81
59,2023,8,10,13,23,4,-1,30.81
60,2023,8,10,13,23,5,0,30.81
61,2023,8,10,13,23,6,1,30.81
62,2023,8,10,13,23,7,2,30.81
63,2023,8,10,13,23,8,3,30.90
64,2023,8,10,13,23,9,4,30.90
65,2023,8,10,13,23,10,5,30.90
66,2023,8,10,13,23,11,6,30.90
67,2023,8,10,13,23,12,7,30.90
68,2023,8,10,13,23,13,8,30.98
69,2023,8,10,13,23,14,9,30.90
70,2023,8,10,13,23,15,10,30.98
71,2023,8,10,13,23,16,11,30.98
72,2023,8,10,13,23,17,12,30.98
73,2023,8,10,13,23,18,13,30.98
74,2023,8,10,13,23,19,14,31.07
75,2023,8,10,13,23,20,15,30.98
76,2023,8,10,13,23,21,16,31.07
77,2023,8,10,13,23,22,17,31.07
78,2023,8,10,13,23,23,18,31.07
79,2023,8,10,13,23,25,19,31.07
80,2023,8,10,13,23,26,20,31.07
81,2023,8,10,13,23,27,21,31.07
82,2023,8,10,13,23,28,22,31.07
83,2023,8,10,13,23,29,23,31.16
84,2023,8,10,13,23,30,24,31.16
85,2023,8,10,13,23,31,25,31.16
86,2023,8,10,13,23,32,26,31.16
87,2023,8,10,13,23,33,27,31.16
88,2023,8,10,13,23,34,28,31.25
89,2023,8,10,13,23,35,29,31.25
90,2023,8,10,13,23,36,30,31.25
91,2023,8,10,13,23,37,31,31.25
92,2023,8,10,13,23,38,32,31.25
93,2023,8,10,13,23,39,33,31.34
94,2023,8,10,13,23,40,34,31.25
95,2023,8,10,13,23,41,35,31.34
96,2023,8,10,13,23,42,36,31.34
97,2023,8,10,13,23,43,37,31.34
98,2023,8,10,13,23,44,38,31.34
99,2023,8,10,13,23,45,39,31.42
100,2023,8,10,13,23,46,40,31.34
101,2023,8,10,13,23,47,41,31.42
102,2023,8,10,13,23,48,42,31.42
103,2023,8,10,13,23,49,43,31.42
104,2023,8,10,13,23,50,44,31.42
105,2023,8,10,13,23,51,45,31.42
106,2023,8,10,13,23,52,46,31.42
107,2023,8,10,13,23,53,47,31.51
108,2023,8,10,13,23,54,48,31.42
109,2023,8,10,13,23,55,49,31.51
110,2023,8,10,13,23,56,50,31.51
111,2023,8,10,13,23,57,51,31.51
112,2023,8,10,13,23,58,52,31.51
113,2023,8,10,13,23,59,53,31.51
114,2023,8,10,13,24,0,54,31.51
115,2023,8,10,13,24,2,55,31.60
116,2023,8,10,13,24,3,56,31.60
117,2023,8,10,13,24,4,57,31.60
118,2023,8,10,13,24,5,58,31.60
119,2023,8,10,13,24,6,59,31.60
120,2023,8,10,13,24,7,60,31.60
121,2023,8,10,13,24,8,61,31.60
122,2023,8,10,13,24,9,62,31.69
123,2023,8,10,13,24,10,63,31.60
124,2023,8,10,13,24,11,64,31.69
125,2023,8,10,13,24,12,65,31.69
126,2023,8,10,13,24,13,66,31.69
127,2023,8,10,13,24,14,67,31.69
128,2023,8,10,13,24,15,68,31.60
129,2023,8,10,13,24,16,69,31.69
130,2023,8,10,13,24,17,70,31.69
131,2023,8,10,13,24,18,71,31.69
132,2023,8,10,13,24,19,72,31.78
133,2023,8,10,13,24,20,73,31.78
134,2023,8,10,13,24,21,74,31.78
135,2023,8,10,13,24,22,75,31.78
136,2023,8,10,13,24,23,76,31.78
137,2023,8,10,13,24,24,77,31.78
138,2023,8,10,13,24,25,78,31.78
139,2023,8,10,13,24,26,79,31.78
140,2023,8,10,13,24,27,80,31.78
141,2023,8,10,13,24,28,81,31.86
142,2023,8,10,13,24,29,82,31.78
143,2023,8,10,13,24,30,83,31.86
144,2023,8,10,13,24,31,84,31.86
145,2023,8,10,13,24,32,85,31.86
146,2023,8,10,13,24,33,86,31.86
147,2023,8,10,13,24,34,87,31.86
148,2023,8,10,13,24,35,88,31.86
149,2023,8,10,13,24,36,89,31.86
150,2023,8,10,13,24,37,90,31.86
151,2023,8,10,13,24,38,91,31.95
152,2023,8,10,13,24,40,92,31.95
153,2023,8,10,13,24,41,93,31.95
154,2023,8,10,13,24,42,94,31.95
155,2023,8,10,13,24,43,95,31.95
156,2023,8,10,13,24,44,96,31.86
157,2023,8,10,13,24,45,97,31.95
158,2023,8,10,13,24,46,98,31.95
159,2023,8,10,13,24,47,99,31.95
160,2023,8,10,13,24,48,100,31.95
161,2023,8,10,13,24,49,101,31.95
162,2023,8,10,13,24,50,102,31.95
163,2023,8,10,13,24,51,103,31.95
164,2023,8,10,13,24,52,104,32.04
165,2023,8,10,13,24,53,105,31.95
166,2023,8,10,13,24,54,106,31.95
167,2023,8,10,13,24,55,107,32.04
168,2023,8,10,13,24,56,108,32.04
169,2023,8,10,13,24,57,109,32.04
170,2023,8,10,13,24,58,110,32.04
171,2023,8,10,13,24,59,111,32.04
172,2023,8,10,13,25,0,112,32.04
173,2023,8,10,13,25,1,113,32.04
174,2023,8,10,13,25,2,114,32.04
175,2023,8,10,13,25,3,115,32.13
176,2023,8,10,13,25,4,116,32.04
177,2023,8,10,13,25,5,117,32.13
178,2023,8,10,13,25,6,118,32.04
179,2023,8,10,13,25,7,119,32.04
180,2023,8,10,13,25,8,120,32.13
181,2023,8,10,13,25,9,121,32.13
182,2023,8,10,13,25,10,122,32.13
183,2023,8,10,13,25,11,123,32.13
184,2023,8,10,13,25,12,124,32.04
185,2023,8,10,13,25,13,125,32.13
186,2023,8,10,13,25,14,126,32.13
187,2023,8,10,13,25,16,127,32.13
188,2023,8,10,13,25,17,128,32.13
189,2023,8,10,13,25,18,129,32.22
190,2023,8,10,13,25,19,130,32.13
191,2023,8,10,13,25,20,131,32.22
192,2023,8,10,13,25,21,132,32.22
193,2023,8,10,13,25,22,133,32.22
194,2023,8,10,13,25,23,134,32.22
195,2023,8,10,13,25,24,135,32.22
196,2023,8,10,13,25,25,136,32.22
197,2023,8,10,13,25,26,137,32.22
198,2023,8,10,13,25,27,138,32.22
199,2023,8,10,13,25,28,139,32.13
200,2023,8,10,13,25,29,140,32.22
201,2023,8,10,13,25,30,141,32.22
202,2023,8,10,13,25,31,142,32.22
203,2023,8,10,13,25,32,143,32.22
204,2023,8,10,13,25,33,144,32.31
205,2023,8,10,13,25,34,145,32.31
206,2023,8,10,13,25,35,146,32.22
207,2023,8,10,13,25,36,147,32.22
208,2023,8,10,13,25,37,148,32.31
209,2023,8,10,13,25,38,149,32.31
210,2023,8,10,13,25,39,150,32.31
211,2023,8,10,13,25,40,151,32.22
212,2023,8,10,13,25,41,152,32.31
213,2023,8,10,13,25,42,153,32.31
214,2023,8,10,13,25,43,154,32.31
215,2023,8,10,13,25,44,155,32.31
216,2023,8,10,13,25,45,156,32.31
217,2023,8,10,13,25,46,157,32.31
218,2023,8,10,13,25,47,158,32.31
219,2023,8,10,13,25,48,159,32.31
220,2023,8,10,13,25,49,160,32.39
221,2023,8,10,13,25,50,161,32.39
222,2023,8,10,13,25,52,162,32.39
223,2023,8,10,13,25,53,163,32.39
224,2023,8,10,13,25,54,164,32.39
225,2023,8,10,13,25,55,165,32.39
226,2023,8,10,13,25,56,166,32.39
227,2023,8,10,13,25,57,167,32.39
228,2023,8,10,13,25,58,168,32.39
229,2023,8,10,13,25,59,169,32.39
230,2023,8,10,13,26,0,170,32.39
231,2023,8,10,13,26,1,171,32.39
232,2023,8,10,13,26,2,172,32.48
233,2023,8,10,13,26,3,173,32.48
234,2023,8,10,13,26,4,174,32.39
235,2023,8,10,13,26,5,175,32.48
236,2023,8,10,13,26,6,176,32.48
237,2023,8,10,13,26,7,177,32.48
238,2023,8,10,13,26,8,178,32.48
239,2023,8,10,13,26,9,179,32.48
240,2023,8,10,13,26,10,180,32.48
241,2023,8,10,13,51,26,-60,28.91
242,2023,8,10,13,51,27,-59,28.99
243,2023,8,10,13,51,28,-58,28.91
244,2023,8,10,13,51,29,-57,28.99
245,2023,8,10,13,51,30,-56,28.99
246,2023,8,10,13,51,31,-55,28.99
247,2023,8,10,13,51,32,-54,28.99
248,2023,8,10,13,51,33,-53,28.99
249,2023,8,10,13,51,34,-52,28.99
250,2023,8,10,13,51,35,-51,28.99
251,2023,8,10,13,51,36,-50,28.99
252,2023,8,10,13,51,37,-49,29.08
253,2023,8,10,13,51,38,-48,29.08
254,2023,8,10,13,51,39,-47,28.99
255,2023,8,10,13,51,40,-46,29.08
256,2023,8,10,13,51,41,-45,29.08
257,2023,8,10,13,51,42,-44,29.08
258,2023,8,10,13,51,43,-43,29.08
259,2023,8,10,13,51,44,-42,29.08
260,2023,8,10,13,51,45,-41,28.99
261,2023,8,10,13,51,46,-40,29.08
262,2023,8,10,13,51,47,-39,29.16
263,2023,8,10,13,51,48,-38,29.08
264,2023,8,10,13,51,49,-37,29.16
265,2023,8,10,13,51,51,-36,29.16
266,2023,8,10,13,51,52,-35,29.08
267,2023,8,10,13,51,53,-34,29.16
268,2023,8,10,13,51,54,-33,29.16
269,2023,8,10,13,51,55,-32,29.16
270,2023,8,10,13,51,56,-31,29.16
271,2023,8,10,13,51,57,-30,29.16
272,2023,8,10,13,51,58,-29,29.16
273,2023,8,10,13,51,59,-28,29.25
274,2023,8,10,13,52,0,-27,29.16
275,2023,8,10,13,52,1,-26,29.16
276,2023,8,10,13,52,2,-25,29.16
277,2023,8,10,13,52,3,-24,29.25
278,2023,8,10,13,52,4,-23,29.16
279,2023,8,10,13,52,5,-22,29.25
280,2023,8,10,13,52,6,-21,29.25
281,2023,8,10,13,52,7,-20,29.25
282,2023,8,10,13,52,8,-19,29.25
283,2023,8,10,13,52,9,-18,29.25
284,2023,8,10,13,52,10,-17,29.25
285,2023,8,10,13,52,11,-16,29.25
286,2023,8,10,13,52,12,-15,29.25
287,2023,8,10,13,52,13,-14,29.25
288,2023,8,10,13,52,14,-13,29.25
289,2023,8,10,13,52,15,-12,29.25
290,2023,8,10,13,52,16,-11,29.25
291,2023,8,10,13,52,17,-10,29.25
292,2023,8,10,13,52,18,-9,29.25
293,2023,8,10,13,52,19,-8,29.25
294,2023,8,10,13,52,20,-7,29.34
295,2023,8,10,13,52,21,-6,29.34
296,2023,8,10,13,52,22,-5,29.25
297,2023,8,10,13,52,23,-4,29.34
298,2023,8,10,13,52,24,-3,29.34
299,2023,8,10,13,52,25,-2,29.34
300,2023,8,10,13,52,26,-1,29.34
301,2023,8,10,13,52,28,0,29.34
302,2023,8,10,13,52,29,1,29.34
303,2023,8,10,13,52,30,2,29.34
304,2023,8,10,13,52,31,3,29.34
305,2023,8,10,13,52,32,4,29.34
306,2023,8,10,13,52,33,5,29.34
307,2023,8,10,13,52,34,6,29.34
308,2023,8,10,13,52,35,7,29.34
309,2023,8,10,13,52,36,8,29.25
310,2023,8,10,13,52,37,9,29.42
311,2023,8,10,13,52,38,10,29.34
312,2023,8,10,13,52,39,11,29.34
313,2023,8,10,13,52,40,12,29.34
314,2023,8,10,13,52,41,13,29.42
315,2023,8,10,13,52,42,14,29.42
316,2023,8,10,13,52,43,15,29.34
317,2023,8,10,13,52,44,16,29.42
318,2023,8,10,13,52,45,17,29.34
319,2023,8,10,13,52,46,18,29.34
320,2023,8,10,13,52,47,19,29.42
321,2023,8,10,13,52,48,20,29.42
322,2023,8,10,13,52,49,21,29.34
323,2023,8,10,13,52,50,22,29.34
324,2023,8,10,13,52,51,23,29.42
325,2023,8,10,13,52,52,24,29.42
