id,year,month,day,hour,minute,second,Etime,Tcham
0,2023,8,10,16,13,9,-60,27.29
1,2023,8,10,16,13,10,-59,27.29
2,2023,8,10,16,13,11,-58,27.29
3,2023,8,10,16,13,12,-57,27.29
4,2023,8,10,16,13,13,-56,27.29
5,2023,8,10,16,13,14,-55,27.29
6,2023,8,10,16,13,15,-54,27.29
7,2023,8,10,16,13,16,-53,27.29
8,2023,8,10,16,13,17,-52,27.20
9,2023,8,10,16,13,18,-51,27.29
10,2023,8,10,16,13,19,-50,27.29
11,2023,8,10,16,13,20,-49,27.29
12,2023,8,10,16,13,22,-48,27.29
13,2023,8,10,16,13,23,-47,27.29
14,2023,8,10,16,13,24,-46,27.29
15,2023,8,10,16,13,25,-45,27.29
16,2023,8,10,16,13,26,-44,27.37
17,2023,8,10,16,13,27,-43,27.29
18,2023,8,10,16,13,28,-42,27.29
19,2023,8,10,16,13,29,-41,27.37
20,2023,8,10,16,13,30,-40,27.29
21,2023,8,10,16,13,31,-39,27.29
22,2023,8,10,16,13,32,-38,27.29
23,2023,8,10,16,13,33,-37,27.29
24,2023,8,10,16,13,34,-36,27.37
25,2023,8,10,16,13,35,-35,27.29
26,2023,8,10,16,13,36,-34,27.29
27,2023,8,10,16,13,37,-33,27.29
28,2023,8,10,16,13,38,-32,27.29
29,2023,8,10,16,13,39,-31,27.29
30,2023,8,10,16,13,40,-30,27.29
31,2023,8,10,16,13,41,-29,27.29
32,2023,8,10,16,13,42,-28,27.29
33,2023,8,10,16,13,43,-27,27.29
34,2023,8,10,16,13,44,-26,27.20
35,2023,8,10,16,13,45,-25,27.37
36,2023,8,10,16,13,46,-24,27.37
37,2023,8,10,16,13,47,-23,27.37
38,2023,8,10,16,13,48,-22,27.37
39,2023,8,10,16,13,49,-21,27.29
40,2023,8,10,16,13,50,-20,27.29
41,2023,8,10,16,13,51,-19,27.29
42,2023,8,10,16,13,52,-18,27.37
43,2023,8,10,16,13,53,-17,27.29
44,2023,8,10,16,13,54,-16,27.29
45,2023,8,10,16,13,55,-15,27.37
46,2023,8,10,16,13,56,-14,27.37
47,2023,8,10,16,13,58,-13,27.37
48,2023,8,10,16,13,59,-12,27.29
49,2023,8,10,16,14,0,-11,27.37
50,2023,8,10,16,14,1,-10,27.37
51,2023,8,10,16,14,2,-9,27.29
52,2023,8,10,16,14,3,-8,27.37
53,2023,8,10,16,14,4,-7,27.37
54,2023,8,10,16,14,5,-6,27.29
55,2023,8,10,16,14,6,-5,27.37
56,2023,8,10,16,14,7,-4,27.37
57,2023,8,10,16,14,8,-3,27.29
58,2023,8,10,16,14,9,-2,27.37
59,2023,8,10,16,14,10,-1,27.37
60,2023,8,10,16,14,11,0,27.29
61,2023,8,10,16,14,12,1,27.29
62,2023,8,10,16,14,13,2,27.37
63,2023,8,10,16,14,14,3,27.29
64,2023,8,10,16,14,15,4,27.37
65,2023,8,10,16,14,16,5,27.37
66,2023,8,10,16,14,17,6,27.37
67,2023,8,10,16,14,18,7,27.37
68,2023,8,10,16,14,19,8,27.29
69,2023,8,10,16,14,20,9,27.29
70,2023,8,10,16,14,21,10,27.37
71,2023,8,10,16,14,22,11,27.37
72,2023,8,10,16,14,23,12,27.37
73,2023,8,10,16,14,24,13,27.37
74,2023,8,10,16,14,25,14,27.37
75,2023,8,10,16,14,26,15,27.37
76,2023,8,10,16,14,27,16,27.37
77,2023,8,10,16,14,28,17,27.37
78,2023,8,10,16,14,29,18,27.29
79,2023,8,10,16,14,30,19,27.37
80,2023,8,10,16,14,31,20,27.37
81,2023,8,10,16,14,32,21,27.29
