id,year,month,day,hour,minute,second,Etime,Tcham
0,2023,8,10,15,20,42,-60,27.54
1,2023,8,10,15,20,43,-59,27.62
2,2023,8,10,15,20,44,-58,27.54
3,2023,8,10,15,20,45,-57,27.54
4,2023,8,10,15,20,46,-56,27.54
5,2023,8,10,15,20,47,-55,27.54
6,2023,8,10,15,20,48,-54,27.62
7,2023,8,10,15,20,49,-53,27.54
8,2023,8,10,15,20,50,-52,27.54
9,2023,8,10,15,20,51,-51,27.62
10,2023,8,10,15,20,52,-50,27.62
11,2023,8,10,15,20,53,-49,27.54
12,2023,8,10,15,20,54,-48,27.62
13,2023,8,10,15,20,55,-47,27.62
14,2023,8,10,15,20,57,-46,27.62
15,2023,8,10,15,20,58,-45,27.62
16,2023,8,10,15,20,59,-44,27.62
17,2023,8,10,15,21,0,-43,27.62
18,2023,8,10,15,21,1,-42,27.62
19,2023,8,10,15,21,2,-41,27.62
20,2023,8,10,15,21,3,-40,27.62
21,2023,8,10,15,21,4,-39,27.62
22,2023,8,10,15,21,5,-38,27.62
23,2023,8,10,15,21,6,-37,27.62
24,2023,8,10,15,21,7,-36,27.62
25,2023,8,10,15,21,8,-35,27.62
26,2023,8,10,15,21,9,-34,27.62
27,2023,8,10,15,21,10,-33,27.62
28,2023,8,10,15,21,11,-32,27.62
29,2023,8,10,15,21,12,-31,27.62
30,2023,8,10,15,21,13,-30,27.62
31,2023,8,10,15,21,14,-29,27.62
32,2023,8,10,15,21,15,-28,27.62
33,2023,8,10,15,21,16,-27,27.62
34,2023,8,10,15,21,17,-26,27.71
35,2023,8,10,15,21,18,-25,27.62
36,2023,8,10,15,21,19,-24,27.62
37,2023,8,10,15,21,20,-23,27.62
38,2023,8,10,15,21,21,-22,27.62
39,2023,8,10,15,21,22,-21,27.71
40,2023,8,10,15,21,23,-20,27.62
41,2023,8,10,15,21,24,-19,27.62
42,2023,8,10,15,21,25,-18,27.62
43,2023,8,10,15,21,26,-17,27.71
44,2023,8,10,15,21,27,-16,27.71
45,2023,8,10,15,21,28,-15,27.62
46,2023,8,10,15,21,29,-14,27.62
47,2023,8,10,15,21,30,-13,27.62
48,2023,8,10,15,21,31,-12,27.71
49,2023,8,10,15,21,33,-11,27.62
50,2023,8,10,15,21,34,-10,27.62
51,2023,8,10,15,21,35,-9,27.62
52,2023,8,10,15,21,36,-8,27.62
53,2023,8,10,15,21,37,-7,27.62
54,2023,8,10,15,21,38,-6,27.62
55,2023,8,10,15,21,39,-5,27.62
56,2023,8,10,15,21,40,-4,27.62
57,2023,8,10,15,21,41,-3,27.62
58,2023,8,10,15,21,42,-2,27.62
59,2023,8,10,15,21,43,-1,27.62
60,2023,8,10,15,21,44,0,27.62
61,2023,8,10,15,21,45,1,27.62
62,2023,8,10,15,21,46,2,27.62
63,2023,8,10,15,21,47,3,27.62
64,2023,8,10,15,21,48,4,27.62
65,2023,8,10,15,21,49,5,27.62
66,2023,8,10,15,21,50,6,27.62
67,2023,8,10,15,21,51,7,27.62
68,2023,8,10,15,21,52,8,27.62
69,2023,8,10,15,21,53,9,27.62
70,2023,8,10,15,21,54,10,27.62
71,2023,8,10,15,21,55,11,27.62
72,2023,8,10,15,21,56,12,27.62
73,2023,8,10,15,21,57,13,27.62
74,2023,8,10,15,21,58,14,27.62
75,2023,8,10,15,21,59,15,27.62
76,2023,8,10,15,22,0,16,27.62
77,2023,8,10,15,22,1,17,27.62
78,2023,8,10,15,22,2,18,27.62
79,2023,8,10,15,22,3,19,27.62
80,2023,8,10,15,22,4,20,27.62
81,2023,8,10,15,22,5,21,27.62
82,2023,8,10,15,22,6,22,27.54
83,2023,8,10,15,22,7,23,27.62
84,2023,8,10,15,22,8,24,27.62
85,2023,8,10,15,22,9,25,27.62
86,2023,8,10,15,22,11,26,27.62
87,2023,8,10,15,22,12,27,27.62
88,2023,8,10,15,22,13,28,27.62
89,2023,8,10,15,22,14,29,27.62
90,2023,8,10,15,22,15,30,27.62
91,2023,8,10,15,22,16,31,27.62
92,2023,8,10,15,22,17,32,27.62
93,2023,8,10,15,22,18,33,27.62
94,2023,8,10,15,22,19,34,27.54
95,2023,8,10,15,22,20,35,27.62
96,2023,8,10,15,22,21,36,27.62
97,2023,8,10,15,22,22,37,27.62
98,2023,8,10,15,22,23,38,27.62
99,2023,8,10,15,22,24,39,27.62
100,2023,8,10,15,22,25,40,27.54
101,2023,8,10,15,22,26,41,27.62
102,2023,8,10,15,22,27,42,27.62
103,2023,8,10,15,22,28,43,27.54
104,2023,8,10,15,22,29,44,27.62
105,2023,8,10,15,22,30,45,27.62
106,2023,8,10,15,22,31,46,27.54
107,2023,8,10,15,22,32,47,27.62
108,2023,8,10,15,22,33,48,27.62
109,2023,8,10,15,22,34,49,27.54
110,2023,8,10,15,22,35,50,27.62
111,2023,8,10,15,22,36,51,27.62
112,2023,8,10,15,22,37,52,27.54
113,2023,8,10,15,22,38,53,27.62
114,2023,8,10,15,22,39,54,27.54
115,2023,8,10,15,22,40,55,27.62
116,2023,8,10,15,22,41,56,27.62
117,2023,8,10,15,22,42,57,27.62
118,2023,8,10,15,22,43,58,27.54
119,2023,8,10,15,22,44,59,27.62
120,2023,8,10,15,22,45,60,27.54
121,2023,8,10,15,22,46,61,27.62
122,2023,8,10,15,22,48,62,27.54
123,2023,8,10,15,22,49,63,27.62
124,2023,8,10,15,22,50,64,27.62
125,2023,8,10,15,22,51,65,27.54
126,2023,8,10,15,22,52,66,27.62
127,2023,8,10,15,22,53,67,27.54
128,2023,8,10,15,22,54,68,27.62
129,2023,8,10,15,22,55,69,27.54
130,2023,8,10,15,22,56,70,27.54
131,2023,8,10,15,22,57,71,27.62
132,2023,8,10,15,22,58,72,27.54
133,2023,8,10,15,22,59,73,27.54
134,2023,8,10,15,23,0,74,27.54
135,2023,8,10,15,23,1,75,27.54
136,2023,8,10,15,23,2,76,27.62
137,2023,8,10,15,23,3,77,27.62
138,2023,8,10,15,23,4,78,27.54
139,2023,8,10,15,23,5,79,27.54
140,2023,8,10,15,23,6,80,27.62
141,2023,8,10,15,23,7,81,27.54
142,2023,8,10,15,23,8,82,27.62
143,2023,8,10,15,23,9,83,27.54
144,2023,8,10,15,23,10,84,27.54
145,2023,8,10,15,23,11,85,27.54
146,2023,8,10,15,23,12,86,27.54
147,2023,8,10,15,23,13,87,27.54
148,2023,8,10,15,23,14,88,27.54
149,2023,8,10,15,23,15,89,27.54
150,2023,8,10,15,23,16,90,27.54
151,2023,8,10,15,23,17,91,27.54
152,2023,8,10,15,23,18,92,27.54
153,2023,8,10,15,23,19,93,27.54
154,2023,8,10,15,23,20,94,27.54
155,2023,8,10,15,23,21,95,27.54
156,2023,8,10,15,23,22,96,27.54
157,2023,8,10,15,23,23,97,27.54
158,2023,8,10,15,23,25,98,27.54
159,2023,8,10,15,23,26,99,27.54
160,2023,8,10,15,23,27,100,27.45
161,2023,8,10,15,23,28,101,27.54
162,2023,8,10,15,23,29,102,27.54
163,2023,8,10,15,23,30,103,27.54
164,2023,8,10,15,23,31,104,27.45
165,2023,8,10,15,23,32,105,27.54
166,2023,8,10,15,23,33,106,27.45
167,2023,8,10,15,23,34,107,27.54
168,2023,8,10,15,23,35,108,27.54
169,2023,8,10,15,23,36,109,27.54
170,2023,8,10,15,23,37,110,27.54
171,2023,8,10,15,23,38,111,27.54
172,2023,8,10,15,23,39,112,27.54
173,2023,8,10,15,23,40,113,27.54
174,2023,8,10,15,23,41,114,27.54
175,2023,8,10,15,23,42,115,27.54
176,2023,8,10,15,23,43,116,27.45
177,2023,8,10,15,23,44,117,27.54
178,2023,8,10,15,23,45,118,27.54
179,2023,8,10,15,23,46,119,27.45
180,2023,8,10,15,23,47,120,27.54
181,2023,8,10,15,23,48,121,27.54
182,2023,8,10,15,23,49,122,27.54
183,2023,8,10,15,23,50,123,27.45
184,2023,8,10,15,23,51,124,27.54
185,2023,8,10,15,23,52,125,27.45
186,2023,8,10,15,23,53,126,27.45
187,2023,8,10,15,23,54,127,27.45
188,2023,8,10,15,23,55,128,27.54
189,2023,8,10,15,23,56,129,27.45
190,2023,8,10,15,23,57,130,27.54
191,2023,8,10,15,23,58,131,27.45
192,2023,8,10,15,23,59,132,27.54
193,2023,8,10,15,24,1,133,27.45
194,2023,8,10,15,24,2,134,27.45
195,2023,8,10,15,24,3,135,27.45
196,2023,8,10,15,24,4,136,27.45
197,2023,8,10,15,24,5,137,27.45
198,2023,8,10,15,24,6,138,27.45
199,2023,8,10,15,24,7,139,27.45
200,2023,8,10,15,24,8,140,27.45
201,2023,8,10,15,24,9,141,27.54
202,2023,8,10,15,24,10,142,27.54
203,2023,8,10,15,24,11,143,27.45
204,2023,8,10,15,24,12,144,27.45
205,2023,8,10,15,24,13,145,27.45
206,2023,8,10,15,24,14,146,27.45
207,2023,8,10,15,24,15,147,27.45
208,2023,8,10,15,24,16,148,27.54
209,2023,8,10,15,24,17,149,27.45
210,2023,8,10,15,24,18,150,27.45
211,2023,8,10,15,24,19,151,27.45
212,2023,8,10,15,24,20,152,27.45
213,2023,8,10,15,24,21,153,27.45
214,2023,8,10,15,24,22,154,27.45
215,2023,8,10,15,24,23,155,27.45
216,2023,8,10,15,24,24,156,27.45
217,2023,8,10,15,24,25,157,27.45
218,2023,8,10,15,24,26,158,27.45
219,2023,8,10,15,24,27,159,27.45
220,2023,8,10,15,24,28,160,27.37
221,2023,8,10,15,24,29,161,27.45
222,2023,8,10,15,24,30,162,27.45
223,2023,8,10,15,24,31,163,27.45
224,2023,8,10,15,24,32,164,27.37
225,2023,8,10,15,24,33,165,27.37
226,2023,8,10,15,24,34,166,27.45
227,2023,8,10,15,24,35,167,27.45
228,2023,8,10,15,24,37,168,27.45
229,2023,8,10,15,24,38,169,27.37
230,2023,8,10,15,24,39,170,27.37
231,2023,8,10,15,24,40,171,27.45
232,2023,8,10,15,24,41,172,27.45
233,2023,8,10,15,24,42,173,27.45
234,2023,8,10,15,24,43,174,27.45
235,2023,8,10,15,24,44,175,27.37
236,2023,8,10,15,24,45,176,27.45
237,2023,8,10,15,24,46,177,27.45
238,2023,8,10,15,24,47,178,27.45
239,2023,8,10,15,24,48,179,27.45
240,2023,8,10,15,24,49,180,27.45
