id,year,month,day,hour,minute,second,Etime,Tcham
0,2023,8,31,12,51,57,-60,24.17
1,2023,8,31,12,51,58,-59,24.17
2,2023,8,31,12,51,59,-58,24.17
3,2023,8,31,12,52,0,-57,24.26
4,2023,8,31,12,52,1,-56,24.17
5,2023,8,31,12,52,2,-55,24.26
6,2023,8,31,12,52,3,-54,24.17
7,2023,8,31,12,52,4,-53,24.17
8,2023,8,31,12,52,5,-52,24.26
9,2023,8,31,12,52,6,-51,24.26
10,2023,8,31,12,52,7,-50,24.17
11,2023,8,31,12,52,8,-49,24.26
12,2023,8,31,12,52,9,-48,24.26
13,2023,8,31,12,52,10,-47,24.17
14,2023,8,31,12,52,11,-46,24.17
15,2023,8,31,12,52,12,-45,24.26
16,2023,8,31,12,52,13,-44,24.17
17,2023,8,31,12,52,14,-43,24.17
18,2023,8,31,12,52,15,-42,24.26
19,2023,8,31,12,52,16,-41,24.17
20,2023,8,31,12,52,17,-40,24.17
21,2023,8,31,12,52,18,-39,24.17
22,2023,8,31,12,52,20,-38,24.17
23,2023,8,31,12,52,21,-37,24.17
24,2023,8,31,12,52,22,-36,24.17
25,2023,8,31,12,52,23,-35,24.17
26,2023,8,31,12,52,24,-34,24.17
27,2023,8,31,12,52,25,-33,24.17
28,2023,8,31,12,52,26,-32,24.26
29,2023,8,31,12,52,27,-31,24.17
30,2023,8,31,12,52,28,-30,24.26
31,2023,8,31,12,52,29,-29,24.17
32,2023,8,31,12,52,30,-28,24.17
33,2023,8,31,12,52,31,-27,24.17
34,2023,8,31,12,52,32,-26,24.17
35,2023,8,31,12,52,33,-25,24.09
36,2023,8,31,12,52,34,-24,24.17
37,2023,8,31,12,52,35,-23,24.17
38,2023,8,31,12,52,36,-22,24.17
39,2023,8,31,12,52,37,-21,24.17
40,2023,8,31,12,52,38,-20,24.17
41,2023,8,31,12,52,39,-19,24.17
42,2023,8,31,12,52,40,-18,24.17
43,2023,8,31,12,52,41,-17,24.09
44,2023,8,31,12,52,42,-16,24.17
45,2023,8,31,12,52,43,-15,24.17
46,2023,8,31,12,52,44,-14,24.17
47,2023,8,31,12,52,45,-13,24.17
48,2023,8,31,12,52,46,-12,24.17
49,2023,8,31,12,52,47,-11,24.17
50,2023,8,31,12,52,48,-10,24.17
51,2023,8,31,12,52,49,-9,24.17
52,2023,8,31,12,52,50,-8,24.17
53,2023,8,31,12,52,51,-7,24.17
54,2023,8,31,12,52,52,-6,24.17
55,2023,8,31,12,52,53,-5,24.17
56,2023,8,31,12,52,54,-4,24.17
57,2023,8,31,12,52,55,-3,24.17
58,2023,8,31,12,52,57,-2,24.17
59,2023,8,31,12,52,58,-1,24.17
60,2023,8,31,12,52,59,0,24.17
61,2023,8,31,12,53,0,1,24.17
62,2023,8,31,12,53,1,2,24.17
63,2023,8,31,12,53,2,3,24.17
64,2023,8,31,12,53,3,4,24.17
65,2023,8,31,12,53,4,5,24.17
66,2023,8,31,12,53,5,6,24.17
67,2023,8,31,12,53,6,7,24.09
68,2023,8,31,12,53,7,8,24.17
69,2023,8,31,12,53,8,9,24.17
70,2023,8,31,12,53,9,10,24.09
71,2023,8,31,12,53,10,11,24.17
72,2023,8,31,12,53,11,12,24.09
73,2023,8,31,12,53,12,13,24.17
74,2023,8,31,12,53,13,14,24.17
75,2023,8,31,12,53,14,15,24.17
76,2023,8,31,12,53,15,16,24.17
77,2023,8,31,12,53,16,17,24.17
78,2023,8,31,12,53,17,18,24.01
79,2023,8,31,12,53,18,19,24.17
80,2023,8,31,12,53,19,20,24.17
81,2023,8,31,12,53,20,21,24.09
82,2023,8,31,12,53,21,22,24.17
83,2023,8,31,12,53,22,23,24.09
84,2023,8,31,12,53,23,24,24.17
85,2023,8,31,12,53,24,25,24.17
86,2023,8,31,12,53,25,26,24.09
87,2023,8,31,12,53,26,27,24.09
88,2023,8,31,12,53,27,28,24.09
89,2023,8,31,12,53,28,29,24.17
90,2023,8,31,12,53,29,30,24.17
91,2023,8,31,12,53,30,31,24.17
92,2023,8,31,12,53,31,32,24.17
93,2023,8,31,12,53,32,33,24.09
94,2023,8,31,12,53,34,34,24.09
95,2023,8,31,12,53,35,35,24.09
96,2023,8,31,12,53,36,36,24.17
97,2023,8,31,12,53,37,37,24.17
98,2023,8,31,12,53,38,38,24.09
99,2023,8,31,12,53,39,39,24.09
100,2023,8,31,12,53,40,40,24.17
101,2023,8,31,12,53,41,41,24.09
102,2023,8,31,12,53,42,42,24.17
103,2023,8,31,12,53,43,43,24.17
104,2023,8,31,12,53,44,44,24.09
105,2023,8,31,12,53,45,45,24.17
106,2023,8,31,12,53,46,46,24.17
107,2023,8,31,12,53,47,47,24.09
108,2023,8,31,12,53,48,48,24.09
109,2023,8,31,12,53,49,49,24.09
110,2023,8,31,12,53,50,50,24.09
111,2023,8,31,12,53,51,51,24.09
112,2023,8,31,12,53,52,52,24.09
113,2023,8,31,12,53,53,53,24.17
114,2023,8,31,12,53,54,54,24.09
115,2023,8,31,12,53,55,55,24.09
116,2023,8,31,12,53,56,56,24.09
117,2023,8,31,12,53,57,57,24.09
118,2023,8,31,12,53,58,58,24.17
119,2023,8,31,12,53,59,59,24.09
120,2023,8,31,12,54,0,60,24.09
121,2023,8,31,12,54,1,61,24.09
122,2023,8,31,12,54,2,62,24.17
123,2023,8,31,12,54,3,63,24.17
124,2023,8,31,12,54,4,64,24.09
125,2023,8,31,12,54,5,65,24.17
126,2023,8,31,12,54,6,66,24.01
127,2023,8,31,12,54,7,67,24.09
128,2023,8,31,12,54,8,68,24.09
129,2023,8,31,12,54,9,69,24.09
130,2023,8,31,12,54,10,70,24.09
131,2023,8,31,12,54,12,71,24.09
132,2023,8,31,12,54,13,72,24.09
133,2023,8,31,12,54,14,73,24.09
134,2023,8,31,12,54,15,74,24.09
135,2023,8,31,12,54,16,75,24.09
136,2023,8,31,12,54,17,76,24.17
137,2023,8,31,12,54,18,77,24.09
138,2023,8,31,12,54,19,78,24.09
139,2023,8,31,12,54,20,79,24.09
140,2023,8,31,12,54,21,80,24.09
141,2023,8,31,12,54,22,81,24.09
142,2023,8,31,12,54,23,82,24.09
143,2023,8,31,12,54,24,83,24.09
144,2023,8,31,12,54,25,84,24.09
145,2023,8,31,12,54,26,85,24.09
146,2023,8,31,12,54,27,86,24.09
147,2023,8,31,12,54,28,87,24.09
148,2023,8,31,12,54,29,88,24.01
