VC:cf32204 BD:May 26 2016 SN:US4300161200001274
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  16/11/2022 14:48:50.593,   1.808238e+00,   0.000000e+00,   2.385262e+04,   0.000000e+00,   4.021136e+02,   0.000000e+00,   1.852423e+00,   0.000000e+00,   4.119394e+02,   0.000000e+00,   1.403330e+02,   0.000000e+00,   4.449928e+01,   0.000000e+00,   4.733107e+01,   0.000000e+00,   7.621879e+00,   0.000000e+00,   9.370027e+00,   0.000000e+00,              3,              0,       1 meters
  16/11/2022 14:48:51.570,   1.811404e+00,   0.000000e+00,   2.385122e+04,   0.000000e+00,   4.018257e+02,   0.000000e+00,   1.855664e+00,   0.000000e+00,   4.116440e+02,   0.000000e+00,   1.403750e+02,   0.000000e+00,   4.449896e+01,   0.000000e+00,   4.732514e+01,   0.000000e+00,   7.624494e+00,   0.000000e+00,   9.372444e+00,   0.000000e+00,              3,              0,       1 meters
  16/11/2022 14:48:52.547,   1.810137e+00,   0.000000e+00,   2.383323e+04,   0.000000e+00,   4.022532e+02,   0.000000e+00,   1.854331e+00,   0.000000e+00,   4.120743e+02,   0.000000e+00,   1.403358e+02,   0.000000e+00,   4.449944e+01,   0.000000e+00,   4.732307e+01,   0.000000e+00,   7.624205e+00,   0.000000e+00,   9.378674e+00,   0.000000e+00,              3,              0,       1 meters
  16/11/2022 14:48:53.524,   1.809788e+00,   0.000000e+00,   2.376808e+04,   0.000000e+00,   4.023725e+02,   0.000000e+00,   1.853851e+00,   0.000000e+00,   4.121690e+02,   0.000000e+00,   1.402997e+02,   0.000000e+00,   4.449926e+01,   0.000000e+00,   4.731448e+01,   0.000000e+00,   7.623649e+00,   0.000000e+00,   9.368506e+00,   0.000000e+00,              3,              0,       1 meters
  16/11/2022 14:48:54.501,   1.811827e+00,   0.000000e+00,   2.379296e+04,   0.000000e+00,   4.029099e+02,   0.000000e+00,   1.855986e+00,   0.000000e+00,   4.127300e+02,   0.000000e+00,   1.403075e+02,   0.000000e+00,   4.449939e+01,   0.000000e+00,   4.731088e+01,   0.000000e+00,   7.623644e+00,   0.000000e+00,   9.380657e+00,   0.000000e+00,              3,              0,       1 meters
  16/11/2022 14:48:55.478,   1.811204e+00,   0.000000e+00,   2.387825e+04,   0.000000e+00,   4.026770e+02,   0.000000e+00,   1.855510e+00,   0.000000e+00,   4.125275e+02,   0.000000e+00,   1.403891e+02,   0.000000e+00,   4.449872e+01,   0.000000e+00,   4.730455e+01,   0.000000e+00,   7.625877e+00,   0.000000e+00,   9.375884e+00,   0.000000e+00,              3,              0,       1 meters
  16/11/2022 14:48:56.454,   1.809958e+00,   0.000000e+00,   2.378643e+04,   0.000000e+00,   4.030464e+02,   0.000000e+00,   1.854059e+00,   0.000000e+00,   4.128670e+02,   0.000000e+00,   1.403544e+02,   0.000000e+00,   4.449896e+01,   0.000000e+00,   4.730165e+01,   0.000000e+00,   7.624787e+00,   0.000000e+00,   9.374092e+00,   0.000000e+00,              3,              0,       1 meters
  16/11/2022 14:48:57.431,   1.808706e+00,   0.000000e+00,   2.386309e+04,   0.000000e+00,   4.030957e+02,   0.000000e+00,   1.852922e+00,   0.000000e+00,   4.129499e+02,   0.000000e+00,   1.403014e+02,   0.000000e+00,   4.449952e+01,   0.000000e+00,   4.729929e+01,   0.000000e+00,   7.624788e+00,   0.000000e+00,   9.373283e+00,   0.000000e+00,              3,              0,       1 meters
  16/11/2022 14:48:58.408,   1.810337e+00,   0.000000e+00,   2.382225e+04,   0.000000e+00,   4.032760e+02,   0.000000e+00,   1.854516e+00,   0.000000e+00,   4.131174e+02,   0.000000e+00,   1.403147e+02,   0.000000e+00,   4.449857e+01,   0.000000e+00,   4.729308e+01,   0.000000e+00,   7.620853e+00,   0.000000e+00,   9.379414e+00,   0.000000e+00,              3,              0,       1 meters
  16/11/2022 14:48:59.385,   1.809900e+00,   0.000000e+00,   2.390282e+04,   0.000000e+00,   4.029754e+02,   0.000000e+00,   1.854222e+00,   0.000000e+00,   4.128436e+02,   0.000000e+00,   1.403737e+02,   0.000000e+00,   4.449803e+01,   0.000000e+00,   4.728802e+01,   0.000000e+00,   7.622459e+00,   0.000000e+00,   9.370723e+00,   0.000000e+00,              3,              0,       1 meters
