"decimalLatitude","decimalLongitude","scientificName","countryCode","basisOfRecord"
-14.430853,143.904316,"Amitermes laurensis (Mjöberg, 1920)","AU","HUMAN_OBSERVATION"
-14.469499,143.830051,"Amitermes laurensis (Mjöberg, 1920)","AU","HUMAN_OBSERVATION"
-13.168637,142.860832,"Amitermes laurensis (Mjöberg, 1920)","AU","HUMAN_OBSERVATION"
-13.168877,142.862708,"Amitermes laurensis (Mjöberg, 1920)","AU","HUMAN_OBSERVATION"
-14.973609,144.067877,"Amitermes laurensis (Mjöberg, 1920)","AU","HUMAN_OBSERVATION"
-12.754946,143.087509,"Amitermes laurensis (Mjöberg, 1920)","AU","HUMAN_OBSERVATION"
-14.707629,144.0548,"Amitermes laurensis (Mjöberg, 1920)","AU","HUMAN_OBSERVATION"
-14.631855,143.968964,"Amitermes laurensis (Mjöberg, 1920)","AU","HUMAN_OBSERVATION"
-14.925843,144.199713,"Amitermes laurensis (Mjöberg, 1920)","AU","HUMAN_OBSERVATION"
-27.23333,149.6833,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-19.26667,146.8167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-19.05,146.4,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-19.03333,146.8167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-19.26667,146.8167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-19.01667,146.4,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-22.06667,150.4833,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-19.26667,146.8167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-19.26667,146.8167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-19.26667,146.8167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-28.3,150.3,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-27.95,150.3,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-19.2,146.8167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-13.9,143.2333,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-19.26667,146.8167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-17,145.6333,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-19.26667,146.8167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-13.616528,142.744542,"Amitermes laurensis (Mjöberg, 1920)","AU","HUMAN_OBSERVATION"
