"decimalLatitude","decimalLongitude","scientificName","countryCode","basisOfRecord"
-32.574252,115.771695,"Coptotermes acinaciformis (Froggatt, 1898)","AU","HUMAN_OBSERVATION"
-33.67833,151.02333,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-34.924599,138.600843,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.65,151.0433,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.86667,151.09169,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.8,151.28331,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.6,151.3167,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.83833,151.225,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.9,151.01722,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.87,151.0833,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.885,151.145,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.51667,151.3333,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.89167,151.24669,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.87,151.2083,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.885,151.14669,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.915,151.25831,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.95,151.2,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.8175,151.21861,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.95,150.9833,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.84167,151.22669,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.86333,151.24,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.86333,151.17831,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.83333,151.21672,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.85833,151.205,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.88833,151.24331,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.8,151.2,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.85833,151.2,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-34.4,150.48331,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.79,151.18,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-14.28333,144.23331,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.83,151.205,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.91667,151.2,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.79833,151.065,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.85,151.21672,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.865,151.20169,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-31.946688,115.972838,"Coptotermes acinaciformis raffrayi (Wasmann, 1900)","AU","PRESERVED_SPECIMEN"
-34.035,151.16169,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.855,151.195,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.65667,151,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-32.65,151.9667,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.92167,151.09169,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
