"name","lat","lon","ele","time","species_s"
"MD10",-16.61089,145.239415,455.20401,"2022-05-17T05:01:06Z","A. laurensis"
"MD11",-16.61099,145.23953,426.210388,"2022-05-17T05:54:55Z","N. magnus"
"MD15",-16.61271097,145.222063,392.547974,"2022-05-18T02:07:47Z","A. laurensis"
"MD2",-16.61081398,145.240193,445.712189,"2022-05-16T04:07:47Z","C. acinaciformis"
"MD21",-16.57210702,145.156991,367.055511,"2022-05-18T23:42:40Z","A. laurensis"
"MD22",-16.57214901,145.157334,367.558472,"2022-05-19T00:27:18Z","A. laurensis"
"MD24",-16.57185598,145.157284,389.091553,"2022-05-19T02:13:00Z","A. laurensis"
"MD25",-16.53824698,145.129399,368.522247,"2022-05-19T04:22:53Z","N. magnus"
"MD26",-16.53823298,145.129084,365.086853,"2022-05-19T05:16:55Z","C. acinaciformis"
"MD27",-16.59081501,145.200077,367.520599,"2022-05-19T06:31:55Z","C. acinaciformis"
"MD32",-16.61293804,145.237395,423.665588,"2022-05-20T02:30:41Z","N. magnus"
"MD35",-16.61226103,145.223258,351.857208,"2022-05-23T01:07:12Z","C. acinaciformis"
"MD36",-16.58320097,145.164111,359.487457,"2022-05-23T03:30:42Z","A. laurensis"
"MD37",-16.570593,145.155287,370.4664,"2022-05-23T04:25:58Z","A. laurensis"
"MD42",-16.57101402,145.154627,369.671326,"2022-05-23T23:59:06Z","A. laurensis"
"MD48",-16.62657497,145.233064,421.588013,"2022-05-24T22:15:42Z","C. acinaciformis"
"MD50",-16.63202296,145.235989,424.182098,"2022-05-25T01:17:43Z","N. magnus"
"MD52",-16.67114398,145.273253,386.323669,"2022-05-25T04:13:02Z","N. magnus"
"MD54",-16.65624599,145.247879,387.744995,"2022-05-25T06:27:00Z","A. laurensis"
"MD55",-16.507374,145.041455,375.260101,"2022-05-25T22:29:42Z","C. acinaciformis"
"MD56",-16.51938803,145.0886,381.743317,"2022-05-25T23:44:48Z","N. magnus"
"MD57",-16.51944998,145.088507,381.336914,"2022-05-26T00:05:21Z","N. magnus"
"MD58",-16.53567701,145.139044,392.864655,"2022-05-26T01:21:50Z","N. magnus"
"MD59",-16.66837301,145.28506,383.847229,"2022-05-26T03:29:41Z","C. acinaciformis"
"MD61",-16.66070902,145.246729,390.110443,"2022-05-26T05:27:45Z","N. magnus"
"MD63",-16.62483699,145.232607,437.690002,"2022-05-26T22:46:43Z","C. acinaciformis"
"MD65",-16.64018501,145.240071,419.921814,"2022-05-27T01:19:14Z","N. magnus"
"MD9",-16.61120298,145.238172,408.455078,"2022-05-17T03:44:11Z","C. acinaciformis"
