ID,lat,lon,ele,realtime,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime
1,-16.61082597,145.240178,413.885315,12:04,2022-05-16T02:04:58Z,,,MD1,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-16T02:04:58Z
12,-16.61081398,145.240193,445.712189,14:07,2022-05-16T04:07:47Z,,,MD2,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-16T04:07:47Z
23,-16.61076302,145.240334,454.32077,15:23,2022-05-16T05:23:08Z,,,MD3,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-16T05:23:08Z
34,-16.61048298,145.240062,437.131256,16:29,2022-05-16T06:29:28Z,,,MD4,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-16T06:29:28Z
45,-16.61167497,145.229187,359.027222,08:50,2022-05-16T22:50:42Z,,,MD5,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-16T22:50:42Z
56,-16.61167002,145.229142,417.328674,09:36,2022-05-16T23:36:52Z,,,MD6,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-16T23:36:52Z
65,-16.61285397,145.233577,435.31015,11:16,2022-05-17T01:16:10Z,,,MD7,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-17T01:16:10Z
66,-16.61249204,145.236902,431.581146,12:41,2022-05-17T02:41:59Z,,,MD8,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-17T02:41:59Z
67,-16.61120298,145.238172,408.455078,13:44,2022-05-17T03:44:11Z,,,MD9,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-17T03:44:11Z
2,-16.61089,145.239415,455.20401,15:01,2022-05-17T05:01:06Z,,,MD10,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-05-17T05:01:06Z
