"decimalLatitude","decimalLongitude","scientificName","countryCode","basisOfRecord"
-27.03333,150.76669,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-28.13333,151.9333,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-25.73333,152.5833,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-29.83333,152.8833,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-27.7,153.4167,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-28.01667,150.0167,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-27.56667,151.95,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-19.95,146.8167,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-28.36667,152.7,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-29.8,152.9333,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-13.91667,143.2833,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-27.03333,150.45,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-29.68333,152.9333,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-29.05,151.2833,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-29.75,152.9333,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-27.98333,152.4833,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-27.23333,149.6833,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-29.68333,152.9333,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-27.61667,152.6167,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-27.183944,151.262194,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-16.61,145.24,"Nasutitermes magnus (Froggatt, 1898)","AU","MATERIAL_SAMPLE"
-16.61,145.24,"Nasutitermes magnus (Froggatt, 1898)","AU","MATERIAL_SAMPLE"
-17.43333,145.4333,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-27.18333,151.25,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-10.766667,142.5,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-28.3,152.0167,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-15.11667,143.7833,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-12.71667,143.2833,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-25.65,149.8,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-11.1,142.6167,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-23.48333,133.5833,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-26.68333,150.4167,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-26.93333,150.1333,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-19.26667,146.8167,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-19.93333,145.7333,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-16.31667,145.3833,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-26.41667,147.1167,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-17.16667,145.8333,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-10.53333,142.2167,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-10.58333,142.2167,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-23.51667,133.5833,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-9.9,142.766667,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-28.5,150.0833,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-17.16667,145.6333,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-16.85,145.45,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-24.86667,152.1333,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-25,151.95,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-16.88333,145.7,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-25.61667,152.3167,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-11.11667,142.6333,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-16.95,145.75,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-12.96667,143.0167,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-26.45,150.1,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-19.26667,146.8167,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-20.18333,145.0167,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-27.18333,151.25,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-15.28333,131.5667,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-23.51667,133.5833,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-31.083333,141.7,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-20.46667,115.5167,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-26.93333,150.1333,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-29.3,147.9167,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-10.7,142.533333,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-26.8,150.45,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-26.66667,150.1833,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-16.93333,145.7333,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-12.71667,143.2833,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-27.03333,150.4667,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-26.41667,147.1167,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-27.98333,153,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-28.03333,153.05,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-19.26667,146.8167,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-27.18333,151.25,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-17.08333,145.7667,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-10.71667,142.5333,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-25.53333,152.7,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-30.43333,153.0333,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-27.66667,153.1167,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-12.98333,143.4667,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-17.6,145.4833,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-27.7,153.1833,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-12.96667,143.0167,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-12.7,143.466667,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-23.51667,133.5833,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-25.33333,148.1667,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-25.83333,133.3,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-26.66667,150.1833,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-9.9,142.766667,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-16.683333,145.333333,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-25.48333,152.35,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-10.11667,142.1167,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-16.88333,145.7167,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-26.68333,150.4167,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-11.65,142.45,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-17.41667,145.4667,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-23.51667,133.5833,"Nasutitermes magnus (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
