gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
620643890				CC_BY_4_0									MfN	Isoptera Collection			PRESERVED_SPECIMEN					239																	PRESENT																																																	Neu-Queensland																																																												Amitermes laurensis (Mjöberg, 1920)								Animalia	Arthropoda	Insecta	Blattodea		Termitidae				Amitermes	Amitermes			laurensis			SPECIES				ACCEPTED			82b34c9a-f762-11e1-a439-00145eb45e9a	DE	2024-01-24T21:00:14.026Z						COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		false	false	4803161	4803161	1	54	216	800	4355	2007285		4803161	Amitermes laurensis	Amitermes laurensis (Mjöberg, 1920)	Amitermes laurensis Mjöberg, 1920	Amitermes laurensis Mjöberg, 1920	BIOCASE	2024-01-24T21:00:14.026Z	2023-01-08T01:50:25.276Z				false		EUROPE									NE
4987730594				CC_BY_NC_4_0	2024-12-29T10:15:00Z		https://www.inaturalist.org/observations/251307965	jkmalkoha					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION	Coordinate uncertainty increased to 30954m at the request of the observer			https://www.inaturalist.org/observations/251307965	251307965		jkmalkoha															PRESENT																							2024-09-12T08:46	08:46:00+10:00	256	256	2024	9	12	2024/09/12 8:46 AM															AU	Queensland				Cook, AU-QL, AU								-14.430853	143.904316	30954.0																															564315174				Osteopod		2024-11-15T05:19:54				967104								Amitermes laurensis (Mjöberg, 1920)								Animalia	Arthropoda	Insecta	Blattodea		Termitidae				Amitermes	Amitermes			laurensis			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	AU	2025-01-14T12:54:53.441Z						COORDINATE_ROUNDED;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	4803161	4803161	1	54	216	800	4355	2007285		4803161	Amitermes laurensis	Amitermes laurensis (Mjöberg, 1920)	Amitermes laurensis		DWC_ARCHIVE	2025-01-14T12:54:53.441Z	2025-01-13T15:58:36.535Z	false			false	OCEANIA	OCEANIA									NE
4982297869				CC_BY_NC_4_0	2024-12-29T10:15:05Z		https://www.inaturalist.org/observations/251307966	jkmalkoha					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION	Coordinate uncertainty increased to 30954m at the request of the observer			https://www.inaturalist.org/observations/251307966	251307966		jkmalkoha															PRESENT																							2024-09-12T08:46	08:46:00+10:00	256	256	2024	9	12	2024/09/12 8:46 AM											OCEANIA				AU	Queensland				Cook, AU-QL, AU								-14.469499	143.830051	30954.0																															564315203				Osteopod		2024-11-15T05:20:08				967104								Amitermes laurensis (Mjöberg, 1920)								Animalia	Arthropoda	Insecta	Blattodea		Termitidae				Amitermes	Amitermes			laurensis			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	AU	2025-01-14T12:53:03.761Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	4803161	4803161	1	54	216	800	4355	2007285		4803161	Amitermes laurensis	Amitermes laurensis (Mjöberg, 1920)	Amitermes laurensis		DWC_ARCHIVE	2025-01-14T12:53:03.761Z	2025-01-13T15:58:36.535Z	false			false	OCEANIA	OCEANIA	AUS	Australia	AUS.7_1	Queensland	AUS.7.20_1	Cook			NE
4981914705				CC_BY_NC_4_0	2024-11-15T05:24:47Z		https://www.inaturalist.org/observations/248824142	Tanya Scharaschkin					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/248824142	248824142		Tanya Scharaschkin															PRESENT																							2017-06-05T14:11	14:11:00+10:00	156	156	2017	6	5	2017/06/05 2:11 PM											OCEANIA				AU	Queensland				Archer River QLD 4892, Australia								-13.168637	142.860832																																556016792				r_r_r_		2024-10-24T04:29:35				967104								Amitermes laurensis (Mjöberg, 1920)								Animalia	Arthropoda	Insecta	Blattodea		Termitidae				Amitermes	Amitermes			laurensis			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2025-01-14T12:52:22.301Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	4803161	4803161	1	54	216	800	4355	2007285		4803161	Amitermes laurensis	Amitermes laurensis (Mjöberg, 1920)	Amitermes laurensis		DWC_ARCHIVE	2025-01-14T12:52:22.301Z	2025-01-13T15:58:36.535Z	true			false	OCEANIA	NORTH_AMERICA	AUS	Australia	AUS.7_1	Queensland	AUS.7.20_1	Cook			NE
4976602680				CC_BY_NC_4_0	2024-10-24T09:04:04Z		https://www.inaturalist.org/observations/248824145	Tanya Scharaschkin					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/248824145	248824145		Tanya Scharaschkin															PRESENT																							2017-06-05T14:25	14:25:00+10:00	156	156	2017	6	5	2017/06/05 2:25 PM											OCEANIA				AU	Queensland				Archer River QLD 4892, Australia								-13.168877	142.862708																																555983654				Osteopod		2024-10-24T02:04:59				967104								Amitermes laurensis (Mjöberg, 1920)								Animalia	Arthropoda	Insecta	Blattodea		Termitidae				Amitermes	Amitermes			laurensis			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2025-01-14T12:58:04.491Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	4803161	4803161	1	54	216	800	4355	2007285		4803161	Amitermes laurensis	Amitermes laurensis (Mjöberg, 1920)	Amitermes laurensis		DWC_ARCHIVE	2025-01-14T12:58:04.491Z	2025-01-13T15:58:36.535Z	true			false	OCEANIA	NORTH_AMERICA	AUS	Australia	AUS.7_1	Queensland	AUS.7.20_1	Cook			NE
4973980936				CC_BY_NC_4_0	2024-10-18T18:45:04Z		https://www.inaturalist.org/observations/247712398	dawnborchardt					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/247712398	247712398		dawnborchardt															PRESENT																							2024-08-28T09:58	09:58:00+10:00	241	241	2024	8	28	2024/08/28 9:58 AM											OCEANIA				AU	Queensland				Lakefield QLD, Australia								-14.973609	144.067877	42449.0																															553788180				Osteopod		2024-10-18T10:38:15				967104								Amitermes laurensis (Mjöberg, 1920)								Animalia	Arthropoda	Insecta	Blattodea		Termitidae				Amitermes	Amitermes			laurensis			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	AU	2025-01-14T13:44:33.049Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	4803161	4803161	1	54	216	800	4355	2007285		4803161	Amitermes laurensis	Amitermes laurensis (Mjöberg, 1920)	Amitermes laurensis		DWC_ARCHIVE	2025-01-14T13:44:33.049Z	2025-01-13T15:58:36.535Z	false			false	OCEANIA	OCEANIA	AUS	Australia	AUS.7_1	Queensland	AUS.7.20_1	Cook			NE
4952273904				CC_BY_NC_4_0	2024-10-02T09:49:48Z		https://www.inaturalist.org/observations/244887884	dawnborchardt					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/244887884	244887884		dawnborchardt															PRESENT																							2024-08-27T09:35	09:35:00+10:00	240	240	2024	8	27	2024/08/27 9:35 AM											OCEANIA				AU	Queensland				Portland Rd, Lockhart River QLD 4892, Australia								-12.754946	143.087509	210.0																															547351756				r_r_r_		2024-10-01T04:30:14				967104								Amitermes laurensis (Mjöberg, 1920)								Animalia	Arthropoda	Insecta	Blattodea		Termitidae				Amitermes	Amitermes			laurensis			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	AU	2025-01-14T12:54:27.168Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	4803161	4803161	1	54	216	800	4355	2007285		4803161	Amitermes laurensis	Amitermes laurensis (Mjöberg, 1920)	Amitermes laurensis		DWC_ARCHIVE	2025-01-14T12:54:27.168Z	2025-01-13T15:58:36.535Z	false			false	OCEANIA	OCEANIA	AUS	Australia	AUS.7_1	Queensland	AUS.7.36_1	Lockhart River			NE
4952201021				CC_BY_NC_4_0	2024-10-12T10:00:02Z		https://www.inaturalist.org/observations/245015286	dawnborchardt					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/245015286	245015286		dawnborchardt															PRESENT																							2024-08-27T15:39	15:39:00+10:00	240	240	2024	8	27	2024/08/27 3:39 PM											OCEANIA				AU	Queensland				Lakefield QLD, Australia								-14.707629	144.0548	19840.0																															547350304				r_r_r_		2024-10-01T04:25:11				967104								Amitermes laurensis (Mjöberg, 1920)								Animalia	Arthropoda	Insecta	Blattodea		Termitidae				Amitermes	Amitermes			laurensis			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	AU	2025-01-14T13:44:26.105Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	4803161	4803161	1	54	216	800	4355	2007285		4803161	Amitermes laurensis	Amitermes laurensis (Mjöberg, 1920)	Amitermes laurensis		DWC_ARCHIVE	2025-01-14T13:44:26.105Z	2025-01-13T15:58:36.535Z	false			false	OCEANIA	OCEANIA	AUS	Australia	AUS.7_1	Queensland	AUS.7.20_1	Cook			NE
4925892645				CC_BY_NC_4_0	2024-08-19T12:36:49Z		https://www.inaturalist.org/observations/234807092	rogstanden					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/234807092	234807092		rogstanden															PRESENT																							2024-07-28T10:41	10:41:00+10:00	210	210	2024	7	28	2024/07/28 10:41 AM											OCEANIA				AU	Queensland				nifold plains								-14.631855	143.968964	5000.0																															525698092				r_r_r_		2024-08-10T07:26:05				967104								Amitermes laurensis (Mjöberg, 1920)								Animalia	Arthropoda	Insecta	Blattodea		Termitidae				Amitermes	Amitermes			laurensis			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2025-01-14T13:42:40.603Z						CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	4803161	4803161	1	54	216	800	4355	2007285		4803161	Amitermes laurensis	Amitermes laurensis (Mjöberg, 1920)	Amitermes laurensis		DWC_ARCHIVE	2025-01-14T13:42:40.603Z	2025-01-13T15:58:36.535Z	true			false	OCEANIA	NORTH_AMERICA	AUS	Australia	AUS.7_1	Queensland	AUS.7.20_1	Cook			NE
4923673806				CC_BY_NC_4_0	2024-08-10T03:39:25Z		https://www.inaturalist.org/observations/234456527	rogstanden					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/234456527	234456527		rogstanden															PRESENT																							2024-07-28T09:27	09:27:00+10:00	210	210	2024	7	28	2024/07/28 9:27 AM											OCEANIA				AU	Queensland				Lakefield QLD 4892, Australia								-14.925843	144.199713	110723.0																																									967104								Amitermes laurensis (Mjöberg, 1920)								Animalia	Arthropoda	Insecta	Blattodea		Termitidae				Amitermes	Amitermes			laurensis			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2025-01-14T12:53:12.562Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	4803161	4803161	1	54	216	800	4355	2007285		4803161	Amitermes laurensis	Amitermes laurensis (Mjöberg, 1920)	Amitermes laurensis		DWC_ARCHIVE	2025-01-14T12:53:12.562Z	2025-01-13T15:58:36.535Z	true			false	OCEANIA	NORTH_AMERICA	AUS	Australia	AUS.7_1	Queensland	AUS.7.20_1	Cook			NE
