gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
5006974889				CC_BY_NC_4_0	2024-12-25T10:29:44Z		https://www.inaturalist.org/observations/79106855	Jolanda Keeble					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/79106855	79106855		Jolanda Keeble															PRESENT								In Eucalyptus rudis															2021-05-16T09:19	09:19:00+08:00	136	136	2021	5	16	2021/05/16 9:19 AM AWST											OCEANIA				AU	Western Australia				Mandurah WA, Australia								-32.574252	115.771695	100.0																															575537476				r_r_r_		2024-12-20T03:41:46				387875								Coptotermes acinaciformis (Froggatt, 1898)								Animalia	Arthropoda	Insecta	Blattodea		Rhinotermitidae				Coptotermes	Coptotermes			acinaciformis			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2025-01-14T12:17:37.830Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	4802734	4802734	1	54	216	800	4354	2007379		4802734	Coptotermes acinaciformis	Coptotermes acinaciformis (Froggatt, 1898)	Coptotermes acinaciformis		DWC_ARCHIVE	2025-01-14T12:17:37.830Z	2025-01-13T15:58:36.535Z	true			false	OCEANIA	NORTH_AMERICA	AUS	Australia	AUS.11_1	Western Australia	AUS.11.89_1	Murray			NE
4916549123				CC_BY_4_0			https://boldsystems.org/index.php/Public_RecordView?processid=ISOUS049-12						Centre for Biodiversity Genomics				MATERIAL_SAMPLE				ISOUS049-12			P. Hebert, J.deWaard															PRESENT		museum voucher																				L#2011AUS-0205	2011-12-07		341	341	2011	12	7												OCEANIA				AU	South Australia			Calperum Station, near Humphee Point									-34.041	140.751												Google Earth																								Gergin A. Blagoev					Digital Taxonomy and BIN Match (Nov 2022)	BOLD:ACB9337							http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACB9337	BOLD:ACB9337								Animalia	Arthropoda	Insecta	Blattodea		Rhinotermitidae				Coptotermes	BOLD:ACB9337						UNRANKED				ACCEPTED			040c5662-da76-4782-a48e-cdea1892d14c	ZZ	2025-01-05T12:10:55.081Z						GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY	StillImage	true	false	10287482	10287482	1	54	216	800	4354	2007379		4802734	Coptotermes acinaciformis	BOLD:ACB9337	BOLD:ACB9337		DWC_ARCHIVE	2025-01-05T12:10:55.081Z	2025-01-05T10:14:33.133Z	true			true	OCEANIA		AUS	Australia	AUS.8_1	South Australia	AUS.8.61_1	Unincorporated South Australia			
4893186754				CC_BY_4_0	2023-03-07T05:14:00Z								DPI	ASCU			PRESERVED_SPECIMEN				cbd789aa-74d3-47bf-a315-912041aa9e4b	FCNI00030952		Hiller															PRESENT	Wet																						1973-12-11		345	345	1973	12	11												OCEANIA				AU	New South Wales			Dural, Dural									-33.67833	151.02333				decimal degrees																																Eldridge, Dr Robert H													https://biodiversity.org.au/afd/taxa/057d6fe4-d2ea-40f7-8b90-4e0f9e7ff665	Coptotermes acinaciformis (Froggatt, 1898)								Animalia	Arthropoda	Insecta	Blattodea		Rhinotermitidae				Coptotermes	Coptotermes			acinaciformis			SPECIES		Subterranean Termite		ACCEPTED			eeaf050f-23d0-4557-9084-ec545cd3d9a7	AU	2025-01-02T23:50:29.459Z						CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;INSTITUTION_MATCH_NONE		true	false	4802734	4802734	1	54	216	800	4354	2007379		4802734	Coptotermes acinaciformis	Coptotermes acinaciformis (Froggatt, 1898)	Coptotermes acinaciformis		DWC_ARCHIVE	2025-01-02T23:50:29.459Z	2025-01-02T23:42:03.708Z	false			false	OCEANIA	OCEANIA	AUS	Australia	AUS.5_1	New South Wales	AUS.5.126_1	The Hills			NE
4893186531				CC_BY_4_0	2023-03-07T05:14:00Z								DPI	ASCU			PRESERVED_SPECIMEN				cae06763-d2b7-407f-af37-7c32d5ae43d0	FCNI00020063		Halling, Luke															PRESENT	Wet																						2003-11-13		317	317	2003	11	13												OCEANIA				AU	South Australia			Aqis									-34.924599	138.600843				decimal degrees																																Reynolds, Judith L													https://biodiversity.org.au/afd/taxa/fb42523d-4ac6-4739-b6c9-f578daa5cb59	Coptotermes acinaciformis acinaciformis								Animalia	Arthropoda	Insecta	Blattodea		Rhinotermitidae				Coptotermes	Coptotermes			acinaciformis	acinaciformis		SUBSPECIES		Subterranean Termite		ACCEPTED			eeaf050f-23d0-4557-9084-ec545cd3d9a7	AU	2025-01-02T23:50:29.401Z						CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;INSTITUTION_MATCH_NONE		true	false	9768238	9768238	1	54	216	800	4354	2007379		4802734	Coptotermes acinaciformis	Coptotermes acinaciformis acinaciformis	Coptotermes acinaciformis acinaciformis		DWC_ARCHIVE	2025-01-02T23:50:29.401Z	2025-01-02T23:42:03.708Z	false			false	OCEANIA	OCEANIA	AUS	Australia	AUS.8_1	South Australia	AUS.8.1_1	Adelaide			
4893186305				CC_BY_4_0	2022-10-17T23:48:00Z								DPI	ASCU			PRESERVED_SPECIMEN				c9ed5f86-e22e-495c-8dd6-5dfc62ef890d	FCNI00001077		Gabb, A															PRESENT	dry																						1971-09-27		270	270	1971	9	27												OCEANIA				AU	New South Wales			Galston Public School, Galston									-33.65	151.0433				decimal degrees																																													https://biodiversity.org.au/afd/taxa/fb42523d-4ac6-4739-b6c9-f578daa5cb59	Coptotermes acinaciformis acinaciformis								Animalia	Arthropoda	Insecta	Blattodea		Rhinotermitidae				Coptotermes	Coptotermes			acinaciformis	acinaciformis		SUBSPECIES		Subterranean Termite		ACCEPTED			eeaf050f-23d0-4557-9084-ec545cd3d9a7	AU	2025-01-02T23:50:29.003Z						CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;INSTITUTION_MATCH_NONE		true	false	9768238	9768238	1	54	216	800	4354	2007379		4802734	Coptotermes acinaciformis	Coptotermes acinaciformis acinaciformis	Coptotermes acinaciformis acinaciformis		DWC_ARCHIVE	2025-01-02T23:50:29.003Z	2025-01-02T23:42:03.708Z	false			false	OCEANIA	OCEANIA	AUS	Australia	AUS.5_1	New South Wales	AUS.5.66_1	Hornsby			
4893182747				CC_BY_4_0	2022-10-18T00:03:00Z								DPI	ASCU			PRESERVED_SPECIMEN				65f1e934-6c80-4775-9a23-8d64bf456853	FCNI000000134		Clarke, K.															PRESENT	dry																						1971-05-10		130	130	1971	5	10												OCEANIA				AU	New South Wales			Concord Rd (near Sydney St), Concord									-33.86667	151.09169				decimal degrees																																													https://biodiversity.org.au/afd/taxa/fb42523d-4ac6-4739-b6c9-f578daa5cb59	Coptotermes acinaciformis acinaciformis								Animalia	Arthropoda	Insecta	Blattodea		Rhinotermitidae				Coptotermes	Coptotermes			acinaciformis	acinaciformis		SUBSPECIES		Subterranean Termite		ACCEPTED			eeaf050f-23d0-4557-9084-ec545cd3d9a7	AU	2025-01-02T23:50:26.536Z						CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;INSTITUTION_MATCH_NONE		true	false	9768238	9768238	1	54	216	800	4354	2007379		4802734	Coptotermes acinaciformis	Coptotermes acinaciformis acinaciformis	Coptotermes acinaciformis acinaciformis		DWC_ARCHIVE	2025-01-02T23:50:26.536Z	2025-01-02T23:42:03.708Z	false			false	OCEANIA	OCEANIA	AUS	Australia	AUS.5_1	New South Wales	AUS.5.28_1	Canada Bay			
4893182580				CC_BY_4_0	2023-03-07T05:15:00Z								DPI	ASCU			PRESERVED_SPECIMEN				653c043b-8db9-46f5-a4b3-a7e73b230591	FCNI00001101		Archer, W A															PRESENT	Wet																						1971-10-26		299	299	1971	10	26												OCEANIA				AU	New South Wales			Manly, Manly ferry Wharf, Sydney, Manly									-33.8	151.28331				decimal degrees																																													https://biodiversity.org.au/afd/taxa/fb42523d-4ac6-4739-b6c9-f578daa5cb59	Coptotermes acinaciformis acinaciformis								Animalia	Arthropoda	Insecta	Blattodea		Rhinotermitidae				Coptotermes	Coptotermes			acinaciformis	acinaciformis		SUBSPECIES		Subterranean Termite		ACCEPTED			eeaf050f-23d0-4557-9084-ec545cd3d9a7	AU	2025-01-02T23:50:26.618Z						CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;INSTITUTION_MATCH_NONE		true	false	9768238	9768238	1	54	216	800	4354	2007379		4802734	Coptotermes acinaciformis	Coptotermes acinaciformis acinaciformis	Coptotermes acinaciformis acinaciformis		DWC_ARCHIVE	2025-01-02T23:50:26.618Z	2025-01-02T23:42:03.708Z	false			false	OCEANIA	OCEANIA									
4893182579				CC_BY_4_0	2023-03-07T05:15:00Z								DPI	ASCU			PRESERVED_SPECIMEN				653b0e1c-e8e3-48de-a55b-af1e6a9c45a3	FCNI00020312		Buchanan, J															PRESENT	Wet																						1971-08-27		239	239	1971	8	27												OCEANIA				AU	New South Wales			Palm Beach, Etival Rd, Palm Beach									-33.6	151.3167				decimal degrees																																													https://biodiversity.org.au/afd/taxa/057d6fe4-d2ea-40f7-8b90-4e0f9e7ff665	Coptotermes acinaciformis (Froggatt, 1898)								Animalia	Arthropoda	Insecta	Blattodea		Rhinotermitidae				Coptotermes	Coptotermes			acinaciformis			SPECIES		Subterranean Termite		ACCEPTED			eeaf050f-23d0-4557-9084-ec545cd3d9a7	AU	2025-01-02T23:50:26.481Z						CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;INSTITUTION_MATCH_NONE		true	false	4802734	4802734	1	54	216	800	4354	2007379		4802734	Coptotermes acinaciformis	Coptotermes acinaciformis (Froggatt, 1898)	Coptotermes acinaciformis		DWC_ARCHIVE	2025-01-02T23:50:26.481Z	2025-01-02T23:42:03.708Z	false			false	OCEANIA	OCEANIA									NE
4893182572				CC_BY_4_0	2023-03-07T05:14:00Z								DPI	ASCU			PRESERVED_SPECIMEN				65335495-3fad-47f7-991b-63a17b8c813a	FCNI000000411		Garland, P															PRESENT	Wet																						1975-03-18		77	77	1975	3	18												OCEANIA				AU	New South Wales			Cnr Florence and Murdock Sts, Cremorne									-33.83833	151.225				decimal degrees																																Eldridge, Dr Robert H													https://biodiversity.org.au/afd/taxa/fb42523d-4ac6-4739-b6c9-f578daa5cb59	Coptotermes acinaciformis acinaciformis								Animalia	Arthropoda	Insecta	Blattodea		Rhinotermitidae				Coptotermes	Coptotermes			acinaciformis	acinaciformis		SUBSPECIES		Subterranean Termite		ACCEPTED			eeaf050f-23d0-4557-9084-ec545cd3d9a7	AU	2025-01-02T23:50:26.641Z						CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;INSTITUTION_MATCH_NONE		true	false	9768238	9768238	1	54	216	800	4354	2007379		4802734	Coptotermes acinaciformis	Coptotermes acinaciformis acinaciformis	Coptotermes acinaciformis acinaciformis		DWC_ARCHIVE	2025-01-02T23:50:26.641Z	2025-01-02T23:42:03.708Z	false			false	OCEANIA	OCEANIA	AUS	Australia	AUS.5_1	New South Wales	AUS.5.101_1	North Sydney			
4893182415				CC_BY_4_0	2023-03-07T05:14:00Z								DPI	ASCU			PRESERVED_SPECIMEN				648b5683-c89c-45ab-a06c-b3c5df1b3687	FCNI00031056		Gardiner, E															PRESENT	Wet																						1974-06-27		178	178	1974	6	27												OCEANIA				AU	New South Wales			Yagoona, Yagoona									-33.9	151.01722				decimal degrees																																Reynolds, Judith L													https://biodiversity.org.au/afd/taxa/057d6fe4-d2ea-40f7-8b90-4e0f9e7ff665	Coptotermes acinaciformis (Froggatt, 1898)								Animalia	Arthropoda	Insecta	Blattodea		Rhinotermitidae				Coptotermes	Coptotermes			acinaciformis			SPECIES		Subterranean Termite		ACCEPTED			eeaf050f-23d0-4557-9084-ec545cd3d9a7	AU	2025-01-02T23:50:26.516Z						CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;INSTITUTION_MATCH_NONE		true	false	4802734	4802734	1	54	216	800	4354	2007379		4802734	Coptotermes acinaciformis	Coptotermes acinaciformis (Froggatt, 1898)	Coptotermes acinaciformis		DWC_ARCHIVE	2025-01-02T23:50:26.516Z	2025-01-02T23:42:03.708Z	false			false	OCEANIA	OCEANIA	AUS	Australia	AUS.5_1	New South Wales	AUS.5.7_1	Bankstown			NE
