,notes,id,send to paul?,ID_cleaned,,,,,,,,,
MD1,,Nasuti,N,Nasuti,,,,,,,,,
MD2,,Coptotermes,N,Copto,,,,,,,,,
MD3,,Amit,N,Ami,,,,,,,,,
MD4,,Nasutitermes,N,Nasuti,,,,,,,,,
MD5,arboreal,Nasutitermes,N,Nasuti,,,,,,,,,
MD6,,Coptotermes,N,Copto,,,,,,,,,
MD7,,Termes-gp,,Macro,,,,,,,,,
MD8,,Coptotermes,N,Copto,,,,,,,,,
MD9,,Coptotermes,N,Copto,,,,,,,,,
MD10,,Amitermes,N,Ami,,,,,,,,,
MD11,,Nasutitermes,N,Nasuti,,,,,,,,,
MD12,,Coptotermes,N,Copto,,,,,,,,,
MD13,,Coptotermes,N,Copto,,,,,,,,,
MD14,one stray worker from MD16,Coptotermes,N,Copto,,,,,,,,,
MD15,,Amitermes,N,Ami,,,,,,,,,
MD16,,Heterotermes?,,Copto,,,,,,,,,
MD17,,workers only,,Macro,,,,,,,,,
MD18,,workers only,,Macro,,,,,,,,,
MD19,arboreal,Termes-gp,,Macro,,,,,,,,,
MD20,missing,NA,NA,,,,,,,,,,
MD21,,Amitermes,N,Ami,,,,,,,,,
MD22,,Ami,N,Ami,,,,,,,,,
MD23,,Ami,N,Ami,,,,,,,,,
MD24,,Ami,N,Ami,,,,,,,,,
MD25,,Nasuti,N,Nasuti,,,,,,,,,
MD26,,Copto,N,Copto,,,,,,,,,
MD27,,Copto,N,Copto,,,,,,,,,
MD28,,Copto,N,Copto,,,,,,,,,
MD29,,Copto,N,Copto,,,,,,,,,
MD30,nasutes + copto?,Copto + Nasuti,N,Copto,,,,,,,,,
MD31,,Nasuti,N,Nasuti,,,,,,,,,
MD32,32 on label 33 on tube,Nasuti,N,Nasuti,,,,,,,,,
MD33,,Copto,N,Copto,,,,,,,,,
MD34,arboreal,Nasutitermes,N,Nasuti,,,,,,,,,
MD35,,Copto,N,Copto,,,,,,,,,
MD36,,Ami,N,Ami,,,,,,,,,
MD37,,Ami,N,Ami,,,,,,,,,
MD38,,Nasuti,N,Nasuti,,,,,,,,,
MD39,,Nasutitermes,N,Nasuti,,,,,,,,,
MD40,,Copto?,,Copto,,,,,,,,,
MD41,ami - nasutes mixed?,Two species of Nasuti or masuti soldier dimorphic,,Ami,,,,,,,,,
MD42,ami - nasutes mixed?,Ami + Nasuti,N,Ami,,,,,,,,,
MD43,,Copto,N,Copto,,,,,,,,,
MD44,,Copto,N,Copto,,,,,,,,,
MD45,,Ami,N,Ami,,,,,,,,,
MD46,,workers only,,,,,,,,,,,Copto
MD47,,Amitermes,N,Ami,,,,,,,,,
MD48,,Copto,N,Copto,,,,,,,,,
MD49,,Copto,N,Copto,,,,,,,,,
MD50,,Nasutitermes,N,Nasuti,,,,,,,,,
MD51,,Nasutitermes,N,Nasuti,,,,,,,,,
MD52,,Nasutitermes,N,Nasuti,,,,,,,,,
MD53,,Copto,N,Copto,,,,,,,,,
MD54,,Ami,N,Ami,,,,,,,,,
MD55,,Copto,N,Copto,,,,,,,,,
MD56,,Nasuti,N,Nasuti,,,,,,,,,
MD57,,Nasuti,N,Nasuti,,,,,,,,,
MD58,,Nasuti,N,Nasuti,,,,,,,,,
MD59,,Copto,N,Copto,,,,,,,,,
MD60,,Nasuti,N,Nasuti,,,,,,,,,
MD61,,Nasuti,N,Nasuti,,,,,,,,,
MD62,,Nasuti,N,Nasuti,,,,,,,,,
MD63,,Copto,N,Copto,,,,,,,,,
MD64,,Nasuti,N,Nasuti,,,,,,,,,
MD65,,Nasuti,N,Nasuti,,,,,,,,,
MD66,,Copto,N,Copto,,,,,,,,,
MD67,,Ami?,,,,,,,,,,,
