ID_measurement,campaign,R2_cutoff,gas,issue_notes,action,new_start,new_end
MD19-1,may,0.4,CO2,weirdly wobbly,RM,,
MD34-2,may,0.4,CO2,was an arboreal measurement - need to clip off end because of bad seal ,FIX,,1065.4262
MD38-4,may,0.4,CO2,"mound measurement, nothing really wrong,  just not a good one ",RM,,
MD39-3,may,0.4,CO2,weirdly wobbly,RM,,
MD45-3,may,0.4,CO2,need to clip off end ,FIX,,1369.3842
MD58-6,may,0.4,CO2,need to clip off beginning,FIX,1734.3896,
MD1-7,may,0.4,CH4,no flux,OK,,
MD1-8,may,0.4,CH4,no flux,OK,,
MD10-6,may,0.4,CH4,no flux,OK,,
MD11-6,may,0.4,CH4,no flux,OK,,
MD11-7,may,0.4,CH4,no flux,OK,,
MD17-6,may,0.4,CH4,no flux,OK,,
MD19-1,may,0.4,CH4,no flux,OK,,
MD2-7,may,0.4,CH4,no flux,OK,,
MD20-1,may,0.4,CH4,no flux,OK,,
MD21-4,may,0.4,CH4,no flux,OK,,
MD21-5,may,0.4,CH4,no flux,OK,,
MD21-6,may,0.4,CH4,no flux,OK,,
MD22-5,may,0.4,CH4,no flux,OK,,
MD23-6,may,0.4,CH4,no flux,OK,,
MD24-5,may,0.4,CH4,no flux,OK,,
MD24-6,may,0.4,CH4,no flux,OK,,
MD25-7,may,0.4,CH4,no flux,OK,,
MD25-8,may,0.4,CH4,no flux,OK,,
MD26-8,may,0.4,CH4,no flux,OK,,
MD27-6,may,0.4,CH4,no flux,OK,,
MD28-1,may,0.4,CH4,no flux,OK,,
MD28-3,may,0.4,CH4,no flux,OK,,
MD29-7,may,0.4,CH4,no flux,OK,,
MD3-5,may,0.4,CH4,no flux,OK,,
MD3-6,may,0.4,CH4,no flux,OK,,
MD3-7,may,0.4,CH4,no flux,OK,,
MD30-8,may,0.4,CH4,no flux,OK,,
MD31-4,may,0.4,CH4,no flux,OK,,
MD31-5,may,0.4,CH4,no flux,OK,,
MD31-6,may,0.4,CH4,no flux,OK,,
MD32-6,may,0.4,CH4,no flux,OK,,
MD34-2,may,0.4,CH4,was an arboreal measurement - need to clip off end because of bad seal ,FIX,,
MD35-7,may,0.4,CH4,no flux,OK,,
MD36-4,may,0.4,CH4,no flux,OK,,
MD36-6,may,0.4,CH4,no flux,OK,,
MD37-6,may,0.4,CH4,no flux,OK,,
MD38-4,may,0.4,CH4,"mound measurement, nothing really wrong,  just not a good one ",RM,,
MD38-8,may,0.4,CH4,no flux,OK,,
MD39-3,may,0.4,CH4,kinda wobbly but not too bad ,OK,,
MD39-6,may,0.4,CH4,no flux,OK,,
MD39-7,may,0.4,CH4,no flux,OK,,
MD4-7,may,0.4,CH4,no flux,OK,,
MD4-8,may,0.4,CH4,no flux,OK,,
MD40-3,may,0.4,CH4,no flux,OK,,
MD40-5,may,0.4,CH4,no flux,OK,,
MD40-6,may,0.4,CH4,no flux,OK,,
MD40-7,may,0.4,CH4,no flux,OK,,
MD41-7,may,0.4,CH4,no flux,OK,,
MD42-7,may,0.4,CH4,no flux,OK,,
MD43-7,may,0.4,CH4,no flux,OK,,
MD43-8,may,0.4,CH4,no flux,OK,,
MD45-3,may,0.4,CH4,need to clip off end ,FIX,,
MD45-6,may,0.4,CH4,no flux,OK,,
MD46-7,may,0.4,CH4,no flux,OK,,
MD47-6,may,0.4,CH4,no flux,OK,,
MD48-6,may,0.4,CH4,no flux,OK,,
MD50-6,may,0.4,CH4,no flux,OK,,
MD51-6,may,0.4,CH4,no flux,OK,,
MD51-8,may,0.4,CH4,no flux,OK,,
MD52-6,may,0.4,CH4,no flux,OK,,
MD52-7,may,0.4,CH4,no flux,OK,,
MD52-8,may,0.4,CH4,no flux,OK,,
MD53-6,may,0.4,CH4,no flux,OK,,
MD53-7,may,0.4,CH4,no flux,OK,,
MD54-7,may,0.4,CH4,no flux,OK,,
MD55-7,may,0.4,CH4,no flux,OK,,
MD55-8,may,0.4,CH4,no flux,OK,,
MD56-7,may,0.4,CH4,no flux,OK,,
MD56-8,may,0.4,CH4,no flux,OK,,
MD57-8,may,0.4,CH4,no flux,OK,,
MD58-6,may,0.4,CO2,need to clip off beginning,FIX,,
MD6-6,may,0.4,CH4,no flux,OK,,
MD60-8,may,0.4,CH4,no flux,OK,,
MD61-6,may,0.4,CH4,no flux,OK,,
MD61-7,may,0.4,CH4,no flux,OK,,
MD61-8,may,0.4,CH4,no flux,OK,,
MD62-6,may,0.4,CH4,no flux,OK,,
MD62-7,may,0.4,CH4,no flux,OK,,
MD62-8,may,0.4,CH4,no flux,OK,,
MD63-7,may,0.4,CH4,no flux,OK,,
MD64-7,may,0.4,CH4,no flux,OK,,
MD64-8,may,0.4,CH4,no flux,OK,,
MD66-6,may,0.4,CH4,no flux,OK,,
MD66-7,may,0.4,CH4,no flux,OK,,
MD8-7,may,0.4,CH4,no flux,OK,,
MD10-3,nov,0.4,CO2,"bit wobbly, could be largely fixed with clip off beginning ",FIX,317.6274,
MD55-6,nov,0.4,CO2,need to clip off beginning,FIX,318.6257,
MD21-5,nov,0.4,CH4,no flux,OK,,
MD27-6,nov,0.4,CH4,no flux,OK,,
MD36-5,nov,0.4,CH4,no flux,OK,,
MD48-2,nov,0.4,CH4,no flux,OK,,
MD50-6,nov,0.4,CH4,no flux,OK,,
MD55-6,nov,0.4,CH4,need to clip off beginning,FIX,318.6257,
MD57-6,nov,0.4,CH4,no flux,OK,,
MD58-6,nov,0.4,CH4,no flux,OK,,
MD59-6,nov,0.4,CH4,no flux,OK,,
MD63-5,nov,0.4,CH4,no flux,OK,,
MD22-1,aug,0.4,CH4,no flux,OK,,
MD50-6,aug,0.4,CH4,no flux,OK,,
MD59-6,aug,0.4,CH4,no flux,OK,,
MD63-3,aug,0.4,CH4,no flux,OK,,
MD63-5,aug,0.4,CH4,no flux,OK,,
MD63-6,aug,0.4,CH4,no flux,OK,,
DM3-2-afternoon,aug_daily,0.4,CO2,need to clip off end ,FIX,,226.6877
DM4-2-midday,aug_daily,0.4,CO2,need to clip off beginning,FIX,227.4617,
DM1-1-morning,aug_daily,0.4,CH4,no flux,OK,,
DM1-3-morning,aug_daily,0.4,CH4,no flux,OK,,
DM1-4-morning,aug_daily,0.4,CH4,no flux,OK,,
DM2-1-morning,aug_daily,0.4,CH4,no flux,OK,,
DM2-3-morning,aug_daily,0.4,CH4,no flux,OK,,
DM3-1-morning,aug_daily,0.4,CH4,no flux,OK,,
DM3-2-morning,aug_daily,0.4,CH4,no flux,OK,,
DM3-3-morning,aug_daily,0.4,CH4,no flux,OK,,
DM3-4-morning,aug_daily,0.4,CH4,no flux,OK,,
DM2-3-midday,aug_daily,0.4,CH4,no flux,OK,,
DM7-2-midday,aug_daily,0.4,CH4,no flux,OK,,
DM3-1-afternoon,aug_daily,0.4,CH4,no flux,OK,,
DM7-2-afternoon,aug_daily,0.4,CH4,no flux,OK,,
DM1-1-night,aug_daily,0.4,CH4,no flux,OK,,
DM3-1-night,aug_daily,0.4,CH4,no flux,OK,,
DM3-3-night,aug_daily,0.4,CH4,no flux,OK,,
