Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,031180,2024,01,01,0.0,,N
IDCJAC0009,031180,2024,01,02,0.0,,N
IDCJAC0009,031180,2024,01,03,0.0,,N
IDCJAC0009,031180,2024,01,04,0.0,,N
IDCJAC0009,031180,2024,01,05,0.0,,N
IDCJAC0009,031180,2024,01,06,0.0,,N
IDCJAC0009,031180,2024,01,07,0.0,,N
IDCJAC0009,031180,2024,01,08,0.0,,N
IDCJAC0009,031180,2024,01,09,0.0,,N
IDCJAC0009,031180,2024,01,10,0.0,,N
IDCJAC0009,031180,2024,01,11,4.0,1,N
IDCJAC0009,031180,2024,01,12,34.0,1,N
IDCJAC0009,031180,2024,01,13,29.0,1,N
IDCJAC0009,031180,2024,01,14,19.0,1,N
IDCJAC0009,031180,2024,01,15,39.0,1,N
IDCJAC0009,031180,2024,01,16,9.0,1,N
IDCJAC0009,031180,2024,01,17,85.0,1,N
IDCJAC0009,031180,2024,01,18,22.0,1,N
IDCJAC0009,031180,2024,01,19,32.0,1,N
IDCJAC0009,031180,2024,01,20,56.0,1,N
IDCJAC0009,031180,2024,01,21,52.0,1,N
IDCJAC0009,031180,2024,01,22,7.0,1,N
IDCJAC0009,031180,2024,01,23,0.0,,N
IDCJAC0009,031180,2024,01,24,0.0,,N
IDCJAC0009,031180,2024,01,25,0.0,,N
IDCJAC0009,031180,2024,01,26,7.0,1,N
IDCJAC0009,031180,2024,01,27,2.0,1,N
IDCJAC0009,031180,2024,01,28,6.0,1,N
IDCJAC0009,031180,2024,01,29,13.0,1,N
IDCJAC0009,031180,2024,01,30,14.0,1,N
IDCJAC0009,031180,2024,01,31,1.0,1,N
IDCJAC0009,031180,2024,02,01,2.0,1,N
IDCJAC0009,031180,2024,02,02,11.0,1,N
IDCJAC0009,031180,2024,02,03,0.0,,N
IDCJAC0009,031180,2024,02,04,0.0,,N
IDCJAC0009,031180,2024,02,05,0.0,,N
IDCJAC0009,031180,2024,02,06,0.0,,N
IDCJAC0009,031180,2024,02,07,12.0,1,N
IDCJAC0009,031180,2024,02,08,0.0,,N
IDCJAC0009,031180,2024,02,09,0.0,,N
IDCJAC0009,031180,2024,02,10,0.0,,N
IDCJAC0009,031180,2024,02,11,0.0,,N
IDCJAC0009,031180,2024,02,12,0.0,,N
IDCJAC0009,031180,2024,02,13,0.0,,N
IDCJAC0009,031180,2024,02,14,0.0,,N
IDCJAC0009,031180,2024,02,15,23.0,1,N
IDCJAC0009,031180,2024,02,16,8.0,1,N
IDCJAC0009,031180,2024,02,17,0.0,,N
IDCJAC0009,031180,2024,02,18,1.2,1,N
IDCJAC0009,031180,2024,02,19,0.0,,N
IDCJAC0009,031180,2024,02,20,0.0,,N
IDCJAC0009,031180,2024,02,21,0.0,,N
IDCJAC0009,031180,2024,02,22,0.0,,N
IDCJAC0009,031180,2024,02,23,34.0,1,N
IDCJAC0009,031180,2024,02,24,6.0,1,N
IDCJAC0009,031180,2024,02,25,14.0,1,N
IDCJAC0009,031180,2024,02,26,6.0,1,N
IDCJAC0009,031180,2024,02,27,9.0,1,N
IDCJAC0009,031180,2024,02,28,9.2,1,N
IDCJAC0009,031180,2024,02,29,4.0,1,N
IDCJAC0009,031180,2024,03,01,3.0,1,N
IDCJAC0009,031180,2024,03,02,0.0,,N
IDCJAC0009,031180,2024,03,03,0.0,,N
IDCJAC0009,031180,2024,03,04,1.0,1,N
IDCJAC0009,031180,2024,03,05,0.0,,N
IDCJAC0009,031180,2024,03,06,1.0,1,N
IDCJAC0009,031180,2024,03,07,0.0,,N
IDCJAC0009,031180,2024,03,08,20.0,1,N
IDCJAC0009,031180,2024,03,09,0.0,,N
IDCJAC0009,031180,2024,03,10,0.0,,N
IDCJAC0009,031180,2024,03,11,0.0,,N
IDCJAC0009,031180,2024,03,12,0.0,,N
IDCJAC0009,031180,2024,03,13,0.0,,N
IDCJAC0009,031180,2024,03,14,0.0,,N
IDCJAC0009,031180,2024,03,15,0.0,,N
IDCJAC0009,031180,2024,03,16,0.0,,N
IDCJAC0009,031180,2024,03,17,12.0,1,N
IDCJAC0009,031180,2024,03,18,15.0,1,N
IDCJAC0009,031180,2024,03,19,4.0,1,N
IDCJAC0009,031180,2024,03,20,12.0,1,N
IDCJAC0009,031180,2024,03,21,1.0,1,N
IDCJAC0009,031180,2024,03,22,0.0,,N
IDCJAC0009,031180,2024,03,23,38.0,1,N
IDCJAC0009,031180,2024,03,24,16.0,1,N
IDCJAC0009,031180,2024,03,25,19.0,1,N
IDCJAC0009,031180,2024,03,26,0.0,,N
IDCJAC0009,031180,2024,03,27,71.0,1,N
IDCJAC0009,031180,2024,03,28,0.0,,N
IDCJAC0009,031180,2024,03,29,2.0,1,N
IDCJAC0009,031180,2024,03,30,12.0,1,N
IDCJAC0009,031180,2024,03,31,,,
IDCJAC0009,031180,2024,04,01,0.0,,N
IDCJAC0009,031180,2024,04,02,0.0,,N
IDCJAC0009,031180,2024,04,03,0.0,,N
IDCJAC0009,031180,2024,04,04,0.0,,N
IDCJAC0009,031180,2024,04,05,0.0,,N
IDCJAC0009,031180,2024,04,06,0.0,,N
IDCJAC0009,031180,2024,04,07,0.0,,N
IDCJAC0009,031180,2024,04,08,0.0,,N
IDCJAC0009,031180,2024,04,09,0.0,,N
IDCJAC0009,031180,2024,04,10,0.0,,N
IDCJAC0009,031180,2024,04,11,0.0,,N
IDCJAC0009,031180,2024,04,12,0.0,,N
IDCJAC0009,031180,2024,04,13,3.0,1,N
IDCJAC0009,031180,2024,04,14,1.0,1,N
IDCJAC0009,031180,2024,04,15,0.0,,N
IDCJAC0009,031180,2024,04,16,68.0,1,N
