id,year,month,day,hour,minute,second,Etime,Tcham,sample
0,2023,8,10,13,22,3,-60,29.51,ami1_F
1,2023,8,10,13,22,4,-59,29.51,ami1_F
2,2023,8,10,13,22,5,-58,29.51,ami1_F
3,2023,8,10,13,22,6,-57,29.59,ami1_F
4,2023,8,10,13,22,7,-56,29.59,ami1_F
5,2023,8,10,13,22,8,-55,29.59,ami1_F
6,2023,8,10,13,22,9,-54,29.59,ami1_F
7,2023,8,10,13,22,11,-53,29.59,ami1_F
8,2023,8,10,13,22,12,-52,29.68,ami1_F
9,2023,8,10,13,22,13,-51,29.68,ami1_F
10,2023,8,10,13,22,14,-50,29.77,ami1_F
11,2023,8,10,13,22,15,-49,29.77,ami1_F
12,2023,8,10,13,22,16,-48,29.77,ami1_F
13,2023,8,10,13,22,17,-47,29.85,ami1_F
14,2023,8,10,13,22,18,-46,29.85,ami1_F
15,2023,8,10,13,22,19,-45,29.85,ami1_F
16,2023,8,10,13,22,20,-44,29.94,ami1_F
17,2023,8,10,13,22,21,-43,29.85,ami1_F
18,2023,8,10,13,22,22,-42,29.85,ami1_F
19,2023,8,10,13,22,23,-41,29.94,ami1_F
20,2023,8,10,13,22,24,-40,29.94,ami1_F
21,2023,8,10,13,22,25,-39,29.94,ami1_F
22,2023,8,10,13,22,26,-38,30.03,ami1_F
23,2023,8,10,13,22,27,-37,30.11,ami1_F
24,2023,8,10,13,22,28,-36,30.03,ami1_F
25,2023,8,10,13,22,29,-35,30.11,ami1_F
26,2023,8,10,13,22,30,-34,30.11,ami1_F
27,2023,8,10,13,22,31,-33,30.11,ami1_F
28,2023,8,10,13,22,32,-32,30.11,ami1_F
29,2023,8,10,13,22,33,-31,30.2,ami1_F
30,2023,8,10,13,22,34,-30,30.2,ami1_F
31,2023,8,10,13,22,35,-29,30.29,ami1_F
32,2023,8,10,13,22,36,-28,30.29,ami1_F
33,2023,8,10,13,22,37,-27,30.29,ami1_F
34,2023,8,10,13,22,38,-26,30.29,ami1_F
35,2023,8,10,13,22,39,-25,30.37,ami1_F
36,2023,8,10,13,22,40,-24,30.37,ami1_F
37,2023,8,10,13,22,41,-23,30.46,ami1_F
38,2023,8,10,13,22,42,-22,30.37,ami1_F
39,2023,8,10,13,22,43,-21,30.37,ami1_F
40,2023,8,10,13,22,44,-20,30.46,ami1_F
41,2023,8,10,13,22,45,-19,30.46,ami1_F
42,2023,8,10,13,22,46,-18,30.55,ami1_F
43,2023,8,10,13,22,48,-17,30.55,ami1_F
44,2023,8,10,13,22,49,-16,30.55,ami1_F
45,2023,8,10,13,22,50,-15,30.55,ami1_F
46,2023,8,10,13,22,51,-14,30.64,ami1_F
47,2023,8,10,13,22,52,-13,30.64,ami1_F
48,2023,8,10,13,22,53,-12,30.64,ami1_F
49,2023,8,10,13,22,54,-11,30.64,ami1_F
50,2023,8,10,13,22,55,-10,30.72,ami1_F
51,2023,8,10,13,22,56,-9,30.72,ami1_F
52,2023,8,10,13,22,57,-8,30.72,ami1_F
53,2023,8,10,13,22,58,-7,30.72,ami1_F
54,2023,8,10,13,22,59,-6,30.72,ami1_F
55,2023,8,10,13,23,0,-5,30.72,ami1_F
56,2023,8,10,13,23,1,-4,30.81,ami1_F
57,2023,8,10,13,23,2,-3,30.72,ami1_F
58,2023,8,10,13,23,3,-2,30.81,ami1_F
59,2023,8,10,13,23,4,-1,30.81,ami1_F
60,2023,8,10,13,23,5,0,30.81,ami1_F
61,2023,8,10,13,23,6,1,30.81,ami1_F
62,2023,8,10,13,23,7,2,30.81,ami1_F
63,2023,8,10,13,23,8,3,30.9,ami1_F
64,2023,8,10,13,23,9,4,30.9,ami1_F
65,2023,8,10,13,23,10,5,30.9,ami1_F
66,2023,8,10,13,23,11,6,30.9,ami1_F
67,2023,8,10,13,23,12,7,30.9,ami1_F
68,2023,8,10,13,23,13,8,30.98,ami1_F
69,2023,8,10,13,23,14,9,30.9,ami1_F
70,2023,8,10,13,23,15,10,30.98,ami1_F
71,2023,8,10,13,23,16,11,30.98,ami1_F
72,2023,8,10,13,23,17,12,30.98,ami1_F
73,2023,8,10,13,23,18,13,30.98,ami1_F
74,2023,8,10,13,23,19,14,31.07,ami1_F
75,2023,8,10,13,23,20,15,30.98,ami1_F
76,2023,8,10,13,23,21,16,31.07,ami1_F
77,2023,8,10,13,23,22,17,31.07,ami1_F
78,2023,8,10,13,23,23,18,31.07,ami1_F
79,2023,8,10,13,23,25,19,31.07,ami1_F
80,2023,8,10,13,23,26,20,31.07,ami1_F
81,2023,8,10,13,23,27,21,31.07,ami1_F
82,2023,8,10,13,23,28,22,31.07,ami1_F
83,2023,8,10,13,23,29,23,31.16,ami1_F
84,2023,8,10,13,23,30,24,31.16,ami1_F
85,2023,8,10,13,23,31,25,31.16,ami1_F
86,2023,8,10,13,23,32,26,31.16,ami1_F
87,2023,8,10,13,23,33,27,31.16,ami1_F
88,2023,8,10,13,23,34,28,31.25,ami1_F
89,2023,8,10,13,23,35,29,31.25,ami1_F
90,2023,8,10,13,23,36,30,31.25,ami1_F
91,2023,8,10,13,23,37,31,31.25,ami1_F
92,2023,8,10,13,23,38,32,31.25,ami1_F
93,2023,8,10,13,23,39,33,31.34,ami1_F
94,2023,8,10,13,23,40,34,31.25,ami1_F
95,2023,8,10,13,23,41,35,31.34,ami1_F
96,2023,8,10,13,23,42,36,31.34,ami1_F
97,2023,8,10,13,23,43,37,31.34,ami1_F
98,2023,8,10,13,23,44,38,31.34,ami1_F
99,2023,8,10,13,23,45,39,31.42,ami1_F
100,2023,8,10,13,23,46,40,31.34,ami1_F
101,2023,8,10,13,23,47,41,31.42,ami1_F
102,2023,8,10,13,23,48,42,31.42,ami1_F
103,2023,8,10,13,23,49,43,31.42,ami1_F
104,2023,8,10,13,23,50,44,31.42,ami1_F
105,2023,8,10,13,23,51,45,31.42,ami1_F
106,2023,8,10,13,23,52,46,31.42,ami1_F
107,2023,8,10,13,23,53,47,31.51,ami1_F
108,2023,8,10,13,23,54,48,31.42,ami1_F
109,2023,8,10,13,23,55,49,31.51,ami1_F
110,2023,8,10,13,23,56,50,31.51,ami1_F
111,2023,8,10,13,23,57,51,31.51,ami1_F
112,2023,8,10,13,23,58,52,31.51,ami1_F
113,2023,8,10,13,23,59,53,31.51,ami1_F
114,2023,8,10,13,24,0,54,31.51,ami1_F
115,2023,8,10,13,24,2,55,31.6,ami1_F
116,2023,8,10,13,24,3,56,31.6,ami1_F
117,2023,8,10,13,24,4,57,31.6,ami1_F
118,2023,8,10,13,24,5,58,31.6,ami1_F
119,2023,8,10,13,24,6,59,31.6,ami1_F
120,2023,8,10,13,24,7,60,31.6,ami1_F
121,2023,8,10,13,24,8,61,31.6,ami1_F
122,2023,8,10,13,24,9,62,31.69,ami1_F
123,2023,8,10,13,24,10,63,31.6,ami1_F
124,2023,8,10,13,24,11,64,31.69,ami1_F
125,2023,8,10,13,24,12,65,31.69,ami1_F
126,2023,8,10,13,24,13,66,31.69,ami1_F
127,2023,8,10,13,24,14,67,31.69,ami1_F
128,2023,8,10,13,24,15,68,31.6,ami1_F
129,2023,8,10,13,24,16,69,31.69,ami1_F
130,2023,8,10,13,24,17,70,31.69,ami1_F
131,2023,8,10,13,24,18,71,31.69,ami1_F
132,2023,8,10,13,24,19,72,31.78,ami1_F
133,2023,8,10,13,24,20,73,31.78,ami1_F
134,2023,8,10,13,24,21,74,31.78,ami1_F
135,2023,8,10,13,24,22,75,31.78,ami1_F
136,2023,8,10,13,24,23,76,31.78,ami1_F
137,2023,8,10,13,24,24,77,31.78,ami1_F
138,2023,8,10,13,24,25,78,31.78,ami1_F
139,2023,8,10,13,24,26,79,31.78,ami1_F
140,2023,8,10,13,24,27,80,31.78,ami1_F
141,2023,8,10,13,24,28,81,31.86,ami1_F
142,2023,8,10,13,24,29,82,31.78,ami1_F
143,2023,8,10,13,24,30,83,31.86,ami1_F
144,2023,8,10,13,24,31,84,31.86,ami1_F
145,2023,8,10,13,24,32,85,31.86,ami1_F
146,2023,8,10,13,24,33,86,31.86,ami1_F
147,2023,8,10,13,24,34,87,31.86,ami1_F
148,2023,8,10,13,24,35,88,31.86,ami1_F
149,2023,8,10,13,24,36,89,31.86,ami1_F
150,2023,8,10,13,24,37,90,31.86,ami1_F
