id,year,month,day,hour,minute,second,Etime,Tcham,sample
241,2023,8,31,13,44,43,-60,23.84,cp3_L
242,2023,8,31,13,44,44,-59,23.84,cp3_L
243,2023,8,31,13,44,45,-58,23.84,cp3_L
244,2023,8,31,13,44,46,-57,23.84,cp3_L
245,2023,8,31,13,44,47,-56,23.84,cp3_L
246,2023,8,31,13,44,48,-55,23.84,cp3_L
247,2023,8,31,13,44,49,-54,23.84,cp3_L
248,2023,8,31,13,44,50,-53,23.84,cp3_L
249,2023,8,31,13,44,51,-52,23.84,cp3_L
250,2023,8,31,13,44,52,-51,23.84,cp3_L
251,2023,8,31,13,44,53,-50,23.84,cp3_L
252,2023,8,31,13,44,54,-49,23.84,cp3_L
253,2023,8,31,13,44,55,-48,23.84,cp3_L
254,2023,8,31,13,44,56,-47,23.84,cp3_L
255,2023,8,31,13,44,57,-46,23.92,cp3_L
256,2023,8,31,13,44,58,-45,23.92,cp3_L
257,2023,8,31,13,44,59,-44,23.84,cp3_L
258,2023,8,31,13,45,0,-43,23.84,cp3_L
259,2023,8,31,13,45,1,-42,23.84,cp3_L
260,2023,8,31,13,45,2,-41,23.84,cp3_L
261,2023,8,31,13,45,3,-40,23.84,cp3_L
262,2023,8,31,13,45,4,-39,23.92,cp3_L
263,2023,8,31,13,45,5,-38,23.84,cp3_L
264,2023,8,31,13,45,6,-37,23.84,cp3_L
265,2023,8,31,13,45,8,-36,23.84,cp3_L
266,2023,8,31,13,45,9,-35,23.84,cp3_L
267,2023,8,31,13,45,10,-34,23.84,cp3_L
268,2023,8,31,13,45,11,-33,23.84,cp3_L
269,2023,8,31,13,45,12,-32,23.84,cp3_L
270,2023,8,31,13,45,13,-31,23.84,cp3_L
271,2023,8,31,13,45,14,-30,23.84,cp3_L
272,2023,8,31,13,45,15,-29,23.92,cp3_L
273,2023,8,31,13,45,16,-28,23.84,cp3_L
274,2023,8,31,13,45,17,-27,23.84,cp3_L
275,2023,8,31,13,45,18,-26,23.84,cp3_L
276,2023,8,31,13,45,19,-25,23.84,cp3_L
277,2023,8,31,13,45,20,-24,23.84,cp3_L
278,2023,8,31,13,45,21,-23,23.84,cp3_L
279,2023,8,31,13,45,22,-22,23.84,cp3_L
280,2023,8,31,13,45,23,-21,23.84,cp3_L
281,2023,8,31,13,45,24,-20,23.84,cp3_L
282,2023,8,31,13,45,25,-19,23.84,cp3_L
283,2023,8,31,13,45,26,-18,23.84,cp3_L
284,2023,8,31,13,45,27,-17,23.84,cp3_L
285,2023,8,31,13,45,28,-16,23.84,cp3_L
286,2023,8,31,13,45,29,-15,23.92,cp3_L
287,2023,8,31,13,45,30,-14,23.84,cp3_L
288,2023,8,31,13,45,31,-13,23.84,cp3_L
289,2023,8,31,13,45,32,-12,23.84,cp3_L
290,2023,8,31,13,45,33,-11,23.92,cp3_L
291,2023,8,31,13,45,34,-10,23.84,cp3_L
292,2023,8,31,13,45,35,-9,23.84,cp3_L
293,2023,8,31,13,45,36,-8,23.84,cp3_L
294,2023,8,31,13,45,37,-7,23.92,cp3_L
295,2023,8,31,13,45,38,-6,23.92,cp3_L
296,2023,8,31,13,45,39,-5,23.92,cp3_L
297,2023,8,31,13,45,40,-4,23.84,cp3_L
298,2023,8,31,13,45,41,-3,23.84,cp3_L
299,2023,8,31,13,45,42,-2,23.84,cp3_L
300,2023,8,31,13,45,44,-1,23.84,cp3_L
301,2023,8,31,13,45,45,0,23.84,cp3_L
302,2023,8,31,13,45,46,1,23.84,cp3_L
303,2023,8,31,13,45,47,2,23.84,cp3_L
304,2023,8,31,13,45,48,3,23.84,cp3_L
305,2023,8,31,13,45,49,4,23.84,cp3_L
