id,year,month,day,hour,minute,second,Etime,Tcham,sample
241,2023,8,10,15,56,36,-60,28.14,cp4_F
242,2023,8,10,15,56,37,-59,28.14,cp4_F
243,2023,8,10,15,56,38,-58,28.14,cp4_F
244,2023,8,10,15,56,39,-57,28.14,cp4_F
245,2023,8,10,15,56,40,-56,28.14,cp4_F
246,2023,8,10,15,56,41,-55,28.05,cp4_F
247,2023,8,10,15,56,42,-54,28.14,cp4_F
248,2023,8,10,15,56,43,-53,28.14,cp4_F
249,2023,8,10,15,56,44,-52,28.05,cp4_F
250,2023,8,10,15,56,45,-51,28.14,cp4_F
251,2023,8,10,15,56,47,-50,28.05,cp4_F
252,2023,8,10,15,56,48,-49,28.05,cp4_F
253,2023,8,10,15,56,49,-48,28.05,cp4_F
254,2023,8,10,15,56,50,-47,28.05,cp4_F
255,2023,8,10,15,56,51,-46,28.05,cp4_F
256,2023,8,10,15,56,52,-45,28.05,cp4_F
257,2023,8,10,15,56,53,-44,28.05,cp4_F
258,2023,8,10,15,56,54,-43,28.05,cp4_F
259,2023,8,10,15,56,55,-42,28.05,cp4_F
260,2023,8,10,15,56,56,-41,28.05,cp4_F
261,2023,8,10,15,56,57,-40,28.05,cp4_F
262,2023,8,10,15,56,58,-39,28.05,cp4_F
263,2023,8,10,15,56,59,-38,28.05,cp4_F
264,2023,8,10,15,57,0,-37,28.05,cp4_F
265,2023,8,10,15,57,1,-36,27.97,cp4_F
266,2023,8,10,15,57,2,-35,28.05,cp4_F
267,2023,8,10,15,57,3,-34,27.97,cp4_F
268,2023,8,10,15,57,4,-33,28.05,cp4_F
269,2023,8,10,15,57,5,-32,28.05,cp4_F
270,2023,8,10,15,57,6,-31,28.05,cp4_F
271,2023,8,10,15,57,7,-30,28.05,cp4_F
272,2023,8,10,15,57,8,-29,27.97,cp4_F
273,2023,8,10,15,57,9,-28,28.05,cp4_F
274,2023,8,10,15,57,10,-27,27.97,cp4_F
275,2023,8,10,15,57,11,-26,28.05,cp4_F
276,2023,8,10,15,57,12,-25,27.97,cp4_F
277,2023,8,10,15,57,13,-24,27.97,cp4_F
278,2023,8,10,15,57,14,-23,28.05,cp4_F
279,2023,8,10,15,57,15,-22,27.97,cp4_F
280,2023,8,10,15,57,16,-21,27.97,cp4_F
281,2023,8,10,15,57,17,-20,27.97,cp4_F
282,2023,8,10,15,57,18,-19,27.97,cp4_F
283,2023,8,10,15,57,19,-18,27.97,cp4_F
284,2023,8,10,15,57,20,-17,27.97,cp4_F
285,2023,8,10,15,57,21,-16,27.97,cp4_F
286,2023,8,10,15,57,23,-15,27.97,cp4_F
287,2023,8,10,15,57,24,-14,27.97,cp4_F
288,2023,8,10,15,57,25,-13,27.97,cp4_F
289,2023,8,10,15,57,26,-12,27.97,cp4_F
290,2023,8,10,15,57,27,-11,27.97,cp4_F
291,2023,8,10,15,57,28,-10,27.88,cp4_F
292,2023,8,10,15,57,29,-9,27.88,cp4_F
293,2023,8,10,15,57,30,-8,27.88,cp4_F
294,2023,8,10,15,57,31,-7,27.88,cp4_F
295,2023,8,10,15,57,32,-6,27.88,cp4_F
296,2023,8,10,15,57,33,-5,27.88,cp4_F
297,2023,8,10,15,57,34,-4,27.88,cp4_F
298,2023,8,10,15,57,35,-3,27.88,cp4_F
299,2023,8,10,15,57,36,-2,27.88,cp4_F
300,2023,8,10,15,57,37,-1,27.88,cp4_F
301,2023,8,10,15,57,38,0,27.88,cp4_F
302,2023,8,10,15,57,39,1,27.79,cp4_F
303,2023,8,10,15,57,40,2,27.88,cp4_F
304,2023,8,10,15,57,41,3,27.79,cp4_F
305,2023,8,10,15,57,42,4,27.88,cp4_F
306,2023,8,10,15,57,43,5,27.88,cp4_F
307,2023,8,10,15,57,44,6,27.79,cp4_F
308,2023,8,10,15,57,45,7,27.79,cp4_F
309,2023,8,10,15,57,46,8,27.88,cp4_F
310,2023,8,10,15,57,47,9,27.88,cp4_F
311,2023,8,10,15,57,48,10,27.79,cp4_F
312,2023,8,10,15,57,49,11,27.79,cp4_F
313,2023,8,10,15,57,50,12,27.79,cp4_F
314,2023,8,10,15,57,51,13,27.79,cp4_F
315,2023,8,10,15,57,52,14,27.79,cp4_F
316,2023,8,10,15,57,53,15,27.79,cp4_F
317,2023,8,10,15,57,54,16,27.79,cp4_F
318,2023,8,10,15,57,55,17,27.79,cp4_F
319,2023,8,10,15,57,56,18,27.79,cp4_F
320,2023,8,10,15,57,57,19,27.79,cp4_F
321,2023,8,10,15,57,58,20,27.79,cp4_F
322,2023,8,10,15,58,0,21,27.79,cp4_F
323,2023,8,10,15,58,1,22,27.79,cp4_F
324,2023,8,10,15,58,2,23,27.79,cp4_F
325,2023,8,10,15,58,3,24,27.79,cp4_F
326,2023,8,10,15,58,4,25,27.71,cp4_F
327,2023,8,10,15,58,5,26,27.71,cp4_F
328,2023,8,10,15,58,6,27,27.71,cp4_F
329,2023,8,10,15,58,7,28,27.71,cp4_F
330,2023,8,10,15,58,8,29,27.71,cp4_F
331,2023,8,10,15,58,9,30,27.71,cp4_F
332,2023,8,10,15,58,10,31,27.79,cp4_F
333,2023,8,10,15,58,11,32,27.79,cp4_F
334,2023,8,10,15,58,12,33,27.71,cp4_F
335,2023,8,10,15,58,13,34,27.62,cp4_F
336,2023,8,10,15,58,14,35,27.71,cp4_F
337,2023,8,10,15,58,15,36,27.71,cp4_F
