id,year,month,day,hour,minute,second,Etime,Tcham,sample
0,2023,8,31,13,27,3,-60,23.84,nas2_L
1,2023,8,31,13,27,4,-59,23.84,nas2_L
2,2023,8,31,13,27,5,-58,23.84,nas2_L
3,2023,8,31,13,27,6,-57,23.84,nas2_L
4,2023,8,31,13,27,7,-56,23.84,nas2_L
5,2023,8,31,13,27,8,-55,23.76,nas2_L
6,2023,8,31,13,27,9,-54,23.84,nas2_L
7,2023,8,31,13,27,10,-53,23.84,nas2_L
8,2023,8,31,13,27,11,-52,23.76,nas2_L
9,2023,8,31,13,27,12,-51,23.84,nas2_L
10,2023,8,31,13,27,13,-50,23.84,nas2_L
11,2023,8,31,13,27,14,-49,23.76,nas2_L
12,2023,8,31,13,27,15,-48,23.84,nas2_L
13,2023,8,31,13,27,16,-47,23.84,nas2_L
14,2023,8,31,13,27,17,-46,23.84,nas2_L
15,2023,8,31,13,27,18,-45,23.76,nas2_L
16,2023,8,31,13,27,20,-44,23.84,nas2_L
17,2023,8,31,13,27,21,-43,23.76,nas2_L
18,2023,8,31,13,27,22,-42,23.76,nas2_L
19,2023,8,31,13,27,23,-41,23.84,nas2_L
20,2023,8,31,13,27,24,-40,23.84,nas2_L
21,2023,8,31,13,27,25,-39,23.84,nas2_L
22,2023,8,31,13,27,26,-38,23.84,nas2_L
23,2023,8,31,13,27,27,-37,23.76,nas2_L
24,2023,8,31,13,27,28,-36,23.84,nas2_L
25,2023,8,31,13,27,29,-35,23.76,nas2_L
26,2023,8,31,13,27,30,-34,23.76,nas2_L
27,2023,8,31,13,27,31,-33,23.84,nas2_L
28,2023,8,31,13,27,32,-32,23.76,nas2_L
29,2023,8,31,13,27,33,-31,23.84,nas2_L
30,2023,8,31,13,27,34,-30,23.76,nas2_L
31,2023,8,31,13,27,35,-29,23.76,nas2_L
32,2023,8,31,13,27,36,-28,23.84,nas2_L
33,2023,8,31,13,27,37,-27,23.76,nas2_L
34,2023,8,31,13,27,38,-26,23.84,nas2_L
35,2023,8,31,13,27,39,-25,23.84,nas2_L
36,2023,8,31,13,27,40,-24,23.84,nas2_L
37,2023,8,31,13,27,41,-23,23.76,nas2_L
38,2023,8,31,13,27,42,-22,23.76,nas2_L
39,2023,8,31,13,27,43,-21,23.84,nas2_L
40,2023,8,31,13,27,44,-20,23.84,nas2_L
41,2023,8,31,13,27,45,-19,23.76,nas2_L
42,2023,8,31,13,27,46,-18,23.76,nas2_L
43,2023,8,31,13,27,47,-17,23.76,nas2_L
44,2023,8,31,13,27,48,-16,23.84,nas2_L
45,2023,8,31,13,27,49,-15,23.76,nas2_L
46,2023,8,31,13,27,50,-14,23.76,nas2_L
47,2023,8,31,13,27,51,-13,23.84,nas2_L
48,2023,8,31,13,27,52,-12,23.84,nas2_L
49,2023,8,31,13,27,53,-11,23.84,nas2_L
50,2023,8,31,13,27,54,-10,23.76,nas2_L
51,2023,8,31,13,27,56,-9,23.84,nas2_L
52,2023,8,31,13,27,57,-8,23.84,nas2_L
53,2023,8,31,13,27,58,-7,23.76,nas2_L
54,2023,8,31,13,27,59,-6,23.84,nas2_L
55,2023,8,31,13,28,0,-5,23.84,nas2_L
56,2023,8,31,13,28,1,-4,23.84,nas2_L
57,2023,8,31,13,28,2,-3,23.76,nas2_L
58,2023,8,31,13,28,3,-2,23.84,nas2_L
59,2023,8,31,13,28,4,-1,23.84,nas2_L
60,2023,8,31,13,28,5,0,23.84,nas2_L
61,2023,8,31,13,28,6,1,23.76,nas2_L
62,2023,8,31,13,28,7,2,23.76,nas2_L
63,2023,8,31,13,28,8,3,23.76,nas2_L
64,2023,8,31,13,28,9,4,23.84,nas2_L
65,2023,8,31,13,28,10,5,23.76,nas2_L
66,2023,8,31,13,28,11,6,23.76,nas2_L
67,2023,8,31,13,28,12,7,23.76,nas2_L
68,2023,8,31,13,28,13,8,23.76,nas2_L
69,2023,8,31,13,28,14,9,23.76,nas2_L
70,2023,8,31,13,28,15,10,23.76,nas2_L
71,2023,8,31,13,28,16,11,23.84,nas2_L
72,2023,8,31,13,28,17,12,23.76,nas2_L
73,2023,8,31,13,28,18,13,23.84,nas2_L
74,2023,8,31,13,28,19,14,23.76,nas2_L
75,2023,8,31,13,28,20,15,23.84,nas2_L
76,2023,8,31,13,28,21,16,23.76,nas2_L
77,2023,8,31,13,28,22,17,23.76,nas2_L
78,2023,8,31,13,28,23,18,23.84,nas2_L
79,2023,8,31,13,28,24,19,23.76,nas2_L
80,2023,8,31,13,28,25,20,23.76,nas2_L
81,2023,8,31,13,28,26,21,23.76,nas2_L
82,2023,8,31,13,28,27,22,23.76,nas2_L
83,2023,8,31,13,28,28,23,23.76,nas2_L
84,2023,8,31,13,28,29,24,23.76,nas2_L
85,2023,8,31,13,28,30,25,23.84,nas2_L
86,2023,8,31,13,28,31,26,23.84,nas2_L
87,2023,8,31,13,28,32,27,23.76,nas2_L
88,2023,8,31,13,28,34,28,23.84,nas2_L
89,2023,8,31,13,28,35,29,23.76,nas2_L
90,2023,8,31,13,28,36,30,23.84,nas2_L
91,2023,8,31,13,28,37,31,23.76,nas2_L
92,2023,8,31,13,28,38,32,23.76,nas2_L
93,2023,8,31,13,28,39,33,23.76,nas2_L
94,2023,8,31,13,28,40,34,23.84,nas2_L
95,2023,8,31,13,28,41,35,23.76,nas2_L
96,2023,8,31,13,28,42,36,23.76,nas2_L
97,2023,8,31,13,28,43,37,23.84,nas2_L
98,2023,8,31,13,28,44,38,23.84,nas2_L
99,2023,8,31,13,28,45,39,23.84,nas2_L
100,2023,8,31,13,28,46,40,23.76,nas2_L
101,2023,8,31,13,28,47,41,23.76,nas2_L
102,2023,8,31,13,28,48,42,23.76,nas2_L
103,2023,8,31,13,28,49,43,23.84,nas2_L
104,2023,8,31,13,28,50,44,23.76,nas2_L
105,2023,8,31,13,28,51,45,23.76,nas2_L
106,2023,8,31,13,28,52,46,23.76,nas2_L
107,2023,8,31,13,28,53,47,23.76,nas2_L
108,2023,8,31,13,28,54,48,23.84,nas2_L
109,2023,8,31,13,28,55,49,23.84,nas2_L
110,2023,8,31,13,28,56,50,23.76,nas2_L
111,2023,8,31,13,28,57,51,23.84,nas2_L
112,2023,8,31,13,28,58,52,23.76,nas2_L
113,2023,8,31,13,28,59,53,23.76,nas2_L
114,2023,8,31,13,29,0,54,23.84,nas2_L
115,2023,8,31,13,29,1,55,23.76,nas2_L
116,2023,8,31,13,29,2,56,23.84,nas2_L
117,2023,8,31,13,29,3,57,23.84,nas2_L
118,2023,8,31,13,29,4,58,23.76,nas2_L
119,2023,8,31,13,29,5,59,23.76,nas2_L
120,2023,8,31,13,29,6,60,23.84,nas2_L
121,2023,8,31,13,29,7,61,23.76,nas2_L
122,2023,8,31,13,29,8,62,23.84,nas2_L
123,2023,8,31,13,29,9,63,23.76,nas2_L
124,2023,8,31,13,29,11,64,23.76,nas2_L
125,2023,8,31,13,29,12,65,23.84,nas2_L
126,2023,8,31,13,29,13,66,23.84,nas2_L
127,2023,8,31,13,29,14,67,23.84,nas2_L
128,2023,8,31,13,29,15,68,23.84,nas2_L
129,2023,8,31,13,29,16,69,23.76,nas2_L
130,2023,8,31,13,29,17,70,23.84,nas2_L
131,2023,8,31,13,29,18,71,23.76,nas2_L
132,2023,8,31,13,29,19,72,23.76,nas2_L
133,2023,8,31,13,29,20,73,23.76,nas2_L
134,2023,8,31,13,29,21,74,23.84,nas2_L
135,2023,8,31,13,29,22,75,23.76,nas2_L
136,2023,8,31,13,29,23,76,23.76,nas2_L
